component,effective_value,evidence_class,supporting_tasks,supporting_artifacts,confidence,author_method_confirmed,limitations
Published periods and BIC differences,Catalog values for the five examined published QPP detections,DIRECT_PUBLIC_CATALOG,F0.1; F0.6; F0.10; F0.11; F0.14,fase0_tarea01_auditoria_estudio_base.md [1866e8163c6f135ae75f653f2b5cb43d9b599fe9d8009e18762f6295a8b3ab18]; fase0_tarea11_validation_cohort.csv [b48cdc09d37b2ea4c4faec430903f81b0f7b9e4f4b026510175881a2c766fb36]; fase0_tarea14_primary_cohort_summary.csv [c02f42883ca0a82d1b98b139638442c8e17eaab8c8ec30003091999aad1e77fa],VERY_HIGH,true,"The catalog contains outputs, not the complete code path that generated them."
Catalog event markers and Tau=0 rows,Six-decimal start/end markers and Tau=0 entries used for the examined positives,DIRECT_PUBLIC_CATALOG,F0.1; F0.6; F0.11,fase0_tarea01_auditoria_estudio_base.md [1866e8163c6f135ae75f653f2b5cb43d9b599fe9d8009e18762f6295a8b3ab18]; fase0_tarea11_validation_cohort.csv [b48cdc09d37b2ea4c4faec430903f81b0f7b9e4f4b026510175881a2c766fb36],VERY_HIGH,true,Rounded markers do not directly identify FITS indices.
Synthetic functional baseline,Null 0/10; injected 80 s QPP 10/10; recovered median period 81.241062 s,EMPIRICALLY_IDENTIFIED,F0.5,fase0_tarea05_results.csv [0110eb02602542bd611882256128c5b27cc0ef6e50e37c7e8aea4e39f9df1097]; fase0_tarea05_synthetic_model_selection.md [0bee6b63e1ee514527df16f8b36145966c3c0ee3b801dc19f97f3430bcf681ff],HIGH,false,Deliberately easy stationary signal; not a robustness or completeness benchmark.
Primary flux product,PDCSAP_FLUX,EMPIRICALLY_IDENTIFIED,F0.10; F0.14,fase0_tarea10_index_window_results.csv [7b5f8a6f88e7cbd35df37b4ce2baee410f91fae56f6036c63edeab05a55941db]; fase0_tarea14_primary_cohort_summary.csv [c02f42883ca0a82d1b98b139638442c8e17eaab8c8ec30003091999aad1e77fa],VERY_HIGH,false,Identified for the five reproduced rows; global use throughout the article remains unconfirmed.
Primary quality policy,finite_all: retain finite TIME/flux regardless of QUALITY,EMPIRICALLY_IDENTIFIED,F0.10; F0.12; F0.13; F0.14,fase0_tarea12_event_reconstruction.csv [d168907f616ff14898f86b5e318914d0deba2d954b1dbe1d05353d242966c4c5]; fase0_tarea13_validation_input_manifest.csv [5046f335d375af85ce6f1b5d58f0336688f1b2225887793f727d76cf46c57323]; fase0_tarea14_primary_cohort_summary.csv [c02f42883ca0a82d1b98b139638442c8e17eaab8c8ec30003091999aad1e77fa],HIGH,false,Reproduces examined rows; the global author policy for QUALITY is unknown.
Inclusive cadence-index window,"tau0_nearest_cadence_indices, inclusive start_index through end_index",EMPIRICALLY_IDENTIFIED,F0.9; F0.10; F0.12,fase0_tarea10_f08_f10_comparison.csv [330d87511925b456b7326c7330ca400df2b7b31eb0ab6c94c900baf1cb8a5da9]; fase0_tarea12_marker_audit.csv [c4c78041099214f913cc8e3a0f4e8e0d833e82ae523ecffec27faecac43fef4a],VERY_HIGH,false,Numerically identified; not documented by the authors as their exact indexing rule.
Marker-to-cadence tolerance,Unique FITS index within ±0.5e-6 d (±0.0432 s),EMPIRICALLY_IDENTIFIED,F0.9; F0.12,fase0_tarea12_marker_audit.csv [c4c78041099214f913cc8e3a0f4e8e0d833e82ae523ecffec27faecac43fef4a]; fase0_tarea12_reconstruction_audit.json [f40d6eef155ac73589b3fd4ed363f50a7529d1f4d45b930712185f65cc2d6875],VERY_HIGH,false,"A reconstruction rule for rounded catalog times, not a stated author rule."
Relative-time conversion,(time_tbjd-time_tbjd[0])*86400,EMPIRICALLY_IDENTIFIED,F0.8; F0.10; F0.14,fase0_tarea10_run_index_window_pilot.py [07d3b54ec0fdc1225638339b73a06dae07dbd5367b724b5a32359fa47942cf31]; fase0_tarea14_execution_audit.json [7d77da2d862d8052b7b9a70897ff9f3b809c275217416b1aaf447447d480efa6],VERY_HIGH,false,Effective reproduction wrapper; exact private adapter remains unknown.
Effective spectral cutoff,1/40 Hz = 0.025 Hz,EMPIRICALLY_IDENTIFIED,F0.10; F0.14,fase0_tarea10_execution_audit.json [f06ad189a8e0ff67f64399fa8279f6bde0007c9b01fe73cc02f59c6d07f5b50e]; fase0_tarea14_execution_audit.json [7d77da2d862d8052b7b9a70897ff9f3b809c275217416b1aaf447447d480efa6],VERY_HIGH,false,The public argument name is misleading; the observed code path retains frequencies below the value.
Effective M1 period bounds,"40–300 s via a4 in [ln(1/300), ln(1/40)] and width a5 in [0.05, 0.25]",EMPIRICALLY_IDENTIFIED,F0.10; F0.14,fase0_tarea10_run_index_window_pilot.py [07d3b54ec0fdc1225638339b73a06dae07dbd5367b724b5a32359fa47942cf31]; fase0_tarea14_execution_audit.json [7d77da2d862d8052b7b9a70897ff9f3b809c275217416b1aaf447447d480efa6],VERY_HIGH,false,Other private bounds and wrapper details were not published.
Double strict-BIC classification rule,(BIC_M0-BIC_M1)>10 and (BIC_M2-BIC_M1)>10,EMPIRICALLY_IDENTIFIED,F0.5; F0.10; F0.14,fase0_tarea05_synthetic_model_selection.md [0bee6b63e1ee514527df16f8b36145966c3c0ee3b801dc19f97f3430bcf681ff]; fase0_tarea10_index_window_report.md [c2a10970f6e9bd12f91ee6ed95a79aef3eb0ea3fbfb7ca4dc0a05337be896d6e]; fase0_tarea14_validation_report.md [9f5afbc52fbfcb6ca1604ffe91295c035689b6d83e7507313648c8af4727113d],VERY_HIGH,false,The generic public package does not implement the full TESS classification wrapper.
Validation seed protocol,"Seeds 0–9, reset immediately before every M0/M1/M2 call",EMPIRICALLY_IDENTIFIED,F0.5; F0.10; F0.14,fase0_tarea05_synthetic_model_selection.py [4fbe868786fd96bf3c81862931f1e661a402f8cad727287d9c2c865ef0c02fd1]; fase0_tarea10_run_index_window_pilot.py [07d3b54ec0fdc1225638339b73a06dae07dbd5367b724b5a32359fa47942cf31]; fase0_tarea14_execution_audit.json [7d77da2d862d8052b7b9a70897ff9f3b809c275217416b1aaf447447d480efa6],VERY_HIGH,false,Reproducibility protocol for this project; not asserted as the authors' seed protocol.
Published detections reproduced,"5 distinct published QPP events across 5 TICs, each selected in 10/10 seeds",EMPIRICALLY_IDENTIFIED,F0.10; F0.14,fase0_tarea10_index_window_results.csv [7b5f8a6f88e7cbd35df37b4ce2baee410f91fae56f6036c63edeab05a55941db]; fase0_tarea14_primary_cohort_summary.csv [c02f42883ca0a82d1b98b139638442c8e17eaab8c8ec30003091999aad1e77fa],VERY_HIGH,false,Five events are not a population-performance estimate.
Matched events retaining non-selection,"5 distinct matched events, each selected in 0/10 seeds",EMPIRICALLY_IDENTIFIED,F0.10; F0.14,fase0_tarea10_index_window_results.csv [7b5f8a6f88e7cbd35df37b4ce2baee410f91fae56f6036c63edeab05a55941db]; fase0_tarea14_primary_cohort_summary.csv [c02f42883ca0a82d1b98b139638442c8e17eaab8c8ec30003091999aad1e77fa],VERY_HIGH,false,"They are catalog non-selections, not physical negatives or perfectly balanced controls."
Numerical concordance with catalog,"Selection, period, delta-BIC01 and median delta-BIC21 reproduced for all five positives",EMPIRICALLY_IDENTIFIED,F0.10; F0.14,fase0_tarea10_index_window_report.md [c2a10970f6e9bd12f91ee6ed95a79aef3eb0ea3fbfb7ca4dc0a05337be896d6e]; fase0_tarea14_primary_cohort_summary.csv [c02f42883ca0a82d1b98b139638442c8e17eaab8c8ec30003091999aad1e77fa]; fase0_tarea14_validation_report.md [9f5afbc52fbfcb6ca1604ffe91295c035689b6d83e7507313648c8af4727113d],VERY_HIGH,false,"M2 has seed-dependent alternative solutions in P1, P3 and P4."
M2 multiplicity of numerical solutions,"Alternative M2 solutions observed in primary positives P1, P3 and P4 without changing classification",EMPIRICALLY_IDENTIFIED,F0.14,fase0_tarea14_validation_results.csv [e832059ace112013d3545ee768d013942ffdc2d752dc31f31ce8424546a2ba35]; fase0_tarea14_execution_audit.json [7d77da2d862d8052b7b9a70897ff9f3b809c275217416b1aaf447447d480efa6]; fase0_tarea14_validation_report.md [9f5afbc52fbfcb6ca1604ffe91295c035689b6d83e7507313648c8af4727113d],VERY_HIGH,false,Formal convergence and global-optimum uniqueness are not observable from main_analysis.
Frequent bound hits,F0.14: M1 222/320 rows and M2 295/320 rows at one or more tracked bounds,EMPIRICALLY_IDENTIFIED,F0.5; F0.10; F0.14,fase0_tarea05_synthetic_model_selection.md [0bee6b63e1ee514527df16f8b36145966c3c0ee3b801dc19f97f3430bcf681ff]; fase0_tarea10_execution_audit.json [f06ad189a8e0ff67f64399fa8279f6bde0007c9b01fe73cc02f59c6d07f5b50e]; fase0_tarea14_execution_audit.json [7d77da2d862d8052b7b9a70897ff9f3b809c275217416b1aaf447447d480efa6],VERY_HIGH,false,A bound hit is diagnostic; it does not by itself prove an invalid fit.
M2 warnings,"F0.14: 194/320 rows, 1775 warnings, dominated by overflow in exp and invalid subtract",EMPIRICALLY_IDENTIFIED,F0.5; F0.10; F0.14,fase0_tarea14_execution_audit.json [7d77da2d862d8052b7b9a70897ff9f3b809c275217416b1aaf447447d480efa6]; fase0_tarea14_validation_report.md [9f5afbc52fbfcb6ca1604ffe91295c035689b6d83e7507313648c8af4727113d],VERY_HIGH,false,"Final outputs were finite, but intermediate numerical instability is substantial."
Single-cadence sensitivity,Calibration changed from 0/10 to 10/10 when N changed 14→15 and retained bins 6→7,EMPIRICALLY_IDENTIFIED,F0.8; F0.9; F0.10,fase0_tarea10_f08_f10_comparison.csv [330d87511925b456b7326c7330ca400df2b7b31eb0ab6c94c900baf1cb8a5da9]; fase0_tarea10_index_window_report.md [c2a10970f6e9bd12f91ee6ed95a79aef3eb0ea3fbfb7ca4dc0a05337be896d6e],VERY_HIGH,false,"The causal effect combines normalization, Hann window, FFT grid and likelihood changes."
SAP/PDCSAP dependence,"F0.14 finite_all positives: SAP reproduces 2/4, PDCSAP reproduces 4/4",EMPIRICALLY_IDENTIFIED,F0.10; F0.14,fase0_tarea10_index_window_report.md [c2a10970f6e9bd12f91ee6ed95a79aef3eb0ea3fbfb7ca4dc0a05337be896d6e]; fase0_tarea14_validation_decisions.csv [e427b8fcf9049cba1a91f33a98b04e7eebb71314576a07cca4156e64af0141d8]; fase0_tarea14_validation_report.md [9f5afbc52fbfcb6ca1604ffe91295c035689b6d83e7507313648c8af4727113d],VERY_HIGH,false,PDCSAP is best supported globally for examined rows; SAP can still reproduce individual events.
QUALITY filtering effect,12 q0 variants become irregular; 40 all/q0 decisions change; P2 q0 removes the catalog peak,EMPIRICALLY_IDENTIFIED,F0.12; F0.13; F0.14,fase0_tarea12_event_reconstruction.csv [d168907f616ff14898f86b5e318914d0deba2d954b1dbe1d05353d242966c4c5]; fase0_tarea13_validation_input_audit.json [4014c9f6888b3bc01447571e84ef698365ff917fd8c7618c11dbd212e42d4c4f]; fase0_tarea14_execution_audit.json [7d77da2d862d8052b7b9a70897ff9f3b809c275217416b1aaf447447d480efa6],VERY_HIGH,false,Diagnostic irregular variants cannot establish whether QUALITY filtering improves the method.
Short-window spectral limitation,Primary/matched windows reach as few as 16 samples and 7 retained bins,EMPIRICALLY_IDENTIFIED,F0.10; F0.13; F0.14,fase0_tarea13_validation_input_manifest.csv [5046f335d375af85ce6f1b5d58f0336688f1b2225887793f727d76cf46c57323]; fase0_tarea14_primary_cohort_summary.csv [c02f42883ca0a82d1b98b139638442c8e17eaab8c8ec30003091999aad1e77fa],VERY_HIGH,false,Few bins limit model discrimination and can amplify sensitivity to individual cadences.
FITS checksum incidence,All 6 validation products: PRIMARY valid; LIGHTCURVE and APERTURE checksum verification failed,EMPIRICALLY_IDENTIFIED,F0.12; F0.13,fase0_tarea12_product_manifest.csv [19b8cc1ad53c193a08e1f38405b196598a0fae96aec444ebfd087907e4fe3270]; fase0_tarea12_reconstruction_audit.json [f40d6eef155ac73589b3fd4ed363f50a7529d1f4d45b930712185f65cc2d6875]; fase0_tarea13_validation_input_audit.json [4014c9f6888b3bc01447571e84ef698365ff917fd8c7618c11dbd212e42d4c4f],VERY_HIGH,false,"Files matched MAST sizes and were readable, but complete integrity is not independently proven."
Global use of PDCSAP in the article,Best-supported working explanation,SUPPORTED_INFERENCE,F0.10; F0.14,fase0_tarea10_index_window_report.md [c2a10970f6e9bd12f91ee6ed95a79aef3eb0ea3fbfb7ca4dc0a05337be896d6e]; fase0_tarea14_validation_report.md [9f5afbc52fbfcb6ca1604ffe91295c035689b6d83e7507313648c8af4727113d],HIGH,false,Only five published detections were numerically examined.
AFINO-public or numerically equivalent core used for examined catalog rows,Strongly supported by near-floating-point agreement of periods and BIC differences,SUPPORTED_INFERENCE,F0.10; F0.14,fase0_tarea10_index_window_results.csv [7b5f8a6f88e7cbd35df37b4ce2baee410f91fae56f6036c63edeab05a55941db]; fase0_tarea14_validation_results.csv [e832059ace112013d3545ee768d013942ffdc2d752dc31f31ce8424546a2ba35]; fase0_tarea14_primary_cohort_summary.csv [c02f42883ca0a82d1b98b139638442c8e17eaab8c8ec30003091999aad1e77fa],HIGH,false,Numerical equivalence does not identify the exact private wrapper or source tree.
Complete TESS adaptation/wrapper,Unknown,UNRESOLVED,F0.1; F0.2; F0.10; F0.14,fase0_tarea01_auditoria_estudio_base.md [1866e8163c6f135ae75f653f2b5cb43d9b599fe9d8009e18762f6295a8b3ab18]; fase0_tarea02_auditoria_afino.md [26558f31ad38f475a0fe4b8078f96cfd1bc6796103e6d5d6073cf4b464efac9d]; fase0_tarea14_validation_report.md [9f5afbc52fbfcb6ca1604ffe91295c035689b6d83e7507313648c8af4727113d],HIGH,false,Not published and not supplied by the authors.
Complete flare-detection pipeline,Unknown,UNRESOLVED,F0.1; F0.2,fase0_tarea01_auditoria_estudio_base.md [1866e8163c6f135ae75f653f2b5cb43d9b599fe9d8009e18762f6295a8b3ab18]; fase0_tarea02_auditoria_afino.md [26558f31ad38f475a0fe4b8078f96cfd1bc6796103e6d5d6073cf4b464efac9d],HIGH,false,The present baseline starts from cataloged flare windows.
Global treatment of QUALITY,Unknown,UNRESOLVED,F0.1; F0.12; F0.14,fase0_tarea01_auditoria_estudio_base.md [1866e8163c6f135ae75f653f2b5cb43d9b599fe9d8009e18762f6295a8b3ab18]; fase0_tarea12_reconstruction_report.md [4990370916d9215986ef90601de6d117e2bd52d699375b5208b03845a6124bf3]; fase0_tarea14_validation_report.md [9f5afbc52fbfcb6ca1604ffe91295c035689b6d83e7507313648c8af4727113d],HIGH,false,"finite_all reproduces examined rows, but no global author rule is documented."
"Temporal extensions 1τ, 2τ and 3τ",Not reproduced,UNRESOLVED,F0.1; F0.14,fase0_tarea01_auditoria_estudio_base.md [1866e8163c6f135ae75f653f2b5cb43d9b599fe9d8009e18762f6295a8b3ab18]; fase0_tarea14_validation_report.md [9f5afbc52fbfcb6ca1604ffe91295c035689b6d83e7507313648c8af4727113d],VERY_HIGH,false,All validated events used Tau=0 only.
All 61 published QPP detections,Not reproduced,UNRESOLVED,F0.11; F0.14,fase0_tarea11_validation_cohort_audit.json [6b072e9ad777df52b50f742ab878c3937195922274f87785dec889e146766430]; fase0_tarea14_validation_report.md [9f5afbc52fbfcb6ca1604ffe91295c035689b6d83e7507313648c8af4727113d],VERY_HIGH,false,Five published detections were examined.
Outputs for 3817 non-selected events,Unavailable and not reproduced,UNRESOLVED,F0.1; F0.14,fase0_tarea01_auditoria_estudio_base.md [1866e8163c6f135ae75f653f2b5cb43d9b599fe9d8009e18762f6295a8b3ab18]; fase0_tarea14_validation_report.md [9f5afbc52fbfcb6ca1604ffe91295c035689b6d83e7507313648c8af4727113d],VERY_HIGH,false,The public flare catalog does not contain their AFINO model outputs.
Published period-uncertainty calculation,Unknown,UNRESOLVED,F0.2,fase0_tarea02_auditoria_afino.md [26558f31ad38f475a0fe4b8078f96cfd1bc6796103e6d5d6073cf4b464efac9d],VERY_HIGH,false,The public package returns a bump center/width but not the catalog Error_P calculation.
Formal optimizer convergence,NOT_AUDITABLE,UNRESOLVED,F0.5; F0.10; F0.14,fase0_tarea05_synthetic_model_selection.md [0bee6b63e1ee514527df16f8b36145966c3c0ee3b801dc19f97f3430bcf681ff]; fase0_tarea10_index_window_report.md [c2a10970f6e9bd12f91ee6ed95a79aef3eb0ea3fbfb7ca4dc0a05337be896d6e]; fase0_tarea14_execution_audit.json [7d77da2d862d8052b7b9a70897ff9f3b809c275217416b1aaf447447d480efa6],VERY_HIGH,false,main_analysis does not retain res.success or res.message.
Independent observational ground truth,Absent,UNRESOLVED,F0.11; F0.14,fase0_tarea11_validation_cohort_report.md [9565b31394e9d6c6af88e81e9b7ff620f104403e4439fb26739641dae33fb030]; fase0_tarea14_validation_report.md [9f5afbc52fbfcb6ca1604ffe91295c035689b6d83e7507313648c8af4727113d],VERY_HIGH,false,"Catalog detections and non-selections are method outcomes, not independently proven physical labels."
"Population sensitivity, specificity and false-selection rate",Unknown,UNRESOLVED,F0.5; F0.14,fase0_tarea05_synthetic_model_selection.md [0bee6b63e1ee514527df16f8b36145966c3c0ee3b801dc19f97f3430bcf681ff]; fase0_tarea14_validation_report.md [9f5afbc52fbfcb6ca1604ffe91295c035689b6d83e7507313648c8af4727113d],VERY_HIGH,false,Neither the synthetic functional test nor five matched pairs support a population estimate.
