planned_decision_id,decision_order,decision_class,phase3a_event_id,pair_id,observational_reference_role,variant_id,matrix_cell_id,window_variant_id,processing_profile_id,external_optimizer_seed,payload_id,payload_logical_sha256,input_n_samples,resolved_decision_status,canary_selection_component,canary_selection_reason
F3ADP000065,39,PRIMARY,F3AE000001,F3AP0001,PUBLISHED_QPP_REFERENCE,F3AV000065,F3AC065,WC1,P04,0,F3APAY000039,86dbf7c3592073bfc61503974a06caab368c47e86de80954506829ce95a729ff,28,READY_FOR_AFINO,A_STRUCTURAL_COVERAGE,role=PUBLISHED_QPP_REFERENCE;window=WC1;assigned_profile=P04;lexicographically_smallest_phase3a_event_id
F3ADP000072,44,PRIMARY,F3AE000001,F3AP0001,PUBLISHED_QPP_REFERENCE,F3AV000072,F3AC072,WX2,P05,0,F3APAY000044,d1b899af1dbd794b8b4261c9bc3a3fc8d40a17b01773018d7f990b2d70d57506,34,READY_FOR_AFINO,A_STRUCTURAL_COVERAGE,role=PUBLISHED_QPP_REFERENCE;window=WX2;assigned_profile=P05;lexicographically_smallest_phase3a_event_id
F3ADP000229,145,PRIMARY,F3AE000003,F3AP0002,PUBLISHED_QPP_REFERENCE,F3AV000229,F3AC073,WC2,P00,0,F3APAY000145,f8bfeb477023e00593f6e9240b444049e99a51976ba2a97408cb596eb28a6dbc,27,READY_FOR_AFINO,A_STRUCTURAL_COVERAGE,role=PUBLISHED_QPP_REFERENCE;window=WC2;assigned_profile=P00;lexicographically_smallest_phase3a_event_id
F3ADP000079,45,PRIMARY,F3AE000002,F3AP0001,PUBLISHED_NOT_SELECTED_REFERENCE,F3AV000079,F3AC001,W00,P00,0,F3APAY000045,55b948e36dc833207dac681f397fa50a0ca6009e9432fb5c6cb0dbbeab819b96,28,READY_FOR_AFINO,A_STRUCTURAL_COVERAGE,role=PUBLISHED_NOT_SELECTED_REFERENCE;window=W00;assigned_profile=P00;lexicographically_smallest_phase3a_event_id
F3ADP000086,50,PRIMARY,F3AE000002,F3AP0001,PUBLISHED_NOT_SELECTED_REFERENCE,F3AV000086,F3AC008,WSm2,P01,0,F3APAY000050,c861108f1dd83d91ff64834356f3cca8a952498fbe4c6b612552c18a0b9b0dc6,30,READY_FOR_AFINO,A_STRUCTURAL_COVERAGE,role=PUBLISHED_NOT_SELECTED_REFERENCE;window=WSm2;assigned_profile=P01;lexicographically_smallest_phase3a_event_id
F3ADP000249,163,PRIMARY,F3AE000004,F3AP0002,PUBLISHED_NOT_SELECTED_REFERENCE,F3AV000249,F3AC015,WSm1,P02,0,F3APAY000163,d2a91d83e2a6d902c9b9fca6aee564372ea60391a0e0a5799b497704a0d1556d,18,READY_FOR_AFINO,A_STRUCTURAL_COVERAGE,role=PUBLISHED_NOT_SELECTED_REFERENCE;window=WSm1;assigned_profile=P02;lexicographically_smallest_phase3a_event_id
F3ADP000256,170,PRIMARY,F3AE000004,F3AP0002,PUBLISHED_NOT_SELECTED_REFERENCE,F3AV000256,F3AC022,WSp1,P03,0,F3APAY000170,a3935d9022388529ab7b3b668547c0bb090388b307447bdfd7c04ac34e1730f6,16,READY_FOR_AFINO,A_STRUCTURAL_COVERAGE,role=PUBLISHED_NOT_SELECTED_REFERENCE;window=WSp1;assigned_profile=P03;lexicographically_smallest_phase3a_event_id
F3ADP000107,63,PRIMARY,F3AE000002,F3AP0001,PUBLISHED_NOT_SELECTED_REFERENCE,F3AV000107,F3AC029,WSp2,P04,0,F3APAY000063,5d90e04c8867d9f45c3dcee6a9be7f5981e9a6f5f4027c5ffe2181cd66fad373,26,READY_FOR_AFINO,A_STRUCTURAL_COVERAGE,role=PUBLISHED_NOT_SELECTED_REFERENCE;window=WSp2;assigned_profile=P04;lexicographically_smallest_phase3a_event_id
F3ADP000114,68,PRIMARY,F3AE000002,F3AP0001,PUBLISHED_NOT_SELECTED_REFERENCE,F3AV000114,F3AC036,WEm2,P05,0,F3APAY000068,82525c49f7753bd033827c41e004a6f6a5ddc1e7d5b38a73c42ee248b4cd5c42,26,READY_FOR_AFINO,A_STRUCTURAL_COVERAGE,role=PUBLISHED_NOT_SELECTED_REFERENCE;window=WEm2;assigned_profile=P05;lexicographically_smallest_phase3a_event_id
F3ADP000115,69,PRIMARY,F3AE000002,F3AP0001,PUBLISHED_NOT_SELECTED_REFERENCE,F3AV000115,F3AC037,WEm1,P00,0,F3APAY000069,32d8cbdad867f72c6c2a6753c8d91e894487e2523111bfece45e249480f8c4d9,27,READY_FOR_AFINO,A_STRUCTURAL_COVERAGE,role=PUBLISHED_NOT_SELECTED_REFERENCE;window=WEm1;assigned_profile=P00;lexicographically_smallest_phase3a_event_id
F3ADP000122,74,PRIMARY,F3AE000002,F3AP0001,PUBLISHED_NOT_SELECTED_REFERENCE,F3AV000122,F3AC044,WEp1,P01,0,F3APAY000074,e8427048300b0109343176c403c190f8176683e6083e86a2df6f9bcb4a30bba6,29,READY_FOR_AFINO,A_STRUCTURAL_COVERAGE,role=PUBLISHED_NOT_SELECTED_REFERENCE;window=WEp1;assigned_profile=P01;lexicographically_smallest_phase3a_event_id
F3ADP000285,199,PRIMARY,F3AE000004,F3AP0002,PUBLISHED_NOT_SELECTED_REFERENCE,F3AV000285,F3AC051,WEp2,P02,0,F3APAY000199,1b9c3837d15656135e8da1892e106c72a566e065425f26594148ee284fdc640e,19,READY_FOR_AFINO,A_STRUCTURAL_COVERAGE,role=PUBLISHED_NOT_SELECTED_REFERENCE;window=WEp2;assigned_profile=P02;lexicographically_smallest_phase3a_event_id
F3ADP000292,206,PRIMARY,F3AE000004,F3AP0002,PUBLISHED_NOT_SELECTED_REFERENCE,F3AV000292,F3AC058,WX1,P03,0,F3APAY000206,bd0847e6fe833dc957854eaf93a224c86dfb7de4efd86be7d23b57eb83325fe7,19,READY_FOR_AFINO,A_STRUCTURAL_COVERAGE,role=PUBLISHED_NOT_SELECTED_REFERENCE;window=WX1;assigned_profile=P03;lexicographically_smallest_phase3a_event_id
F3ADP000143,87,PRIMARY,F3AE000002,F3AP0001,PUBLISHED_NOT_SELECTED_REFERENCE,F3AV000143,F3AC065,WC1,P04,0,F3APAY000087,91e577597d5d9850daa4edc5319417e2bd541761ba173aa7b2cc4ec52058fc5a,26,READY_FOR_AFINO,A_STRUCTURAL_COVERAGE,role=PUBLISHED_NOT_SELECTED_REFERENCE;window=WC1;assigned_profile=P04;lexicographically_smallest_phase3a_event_id
F3ADP000150,92,PRIMARY,F3AE000002,F3AP0001,PUBLISHED_NOT_SELECTED_REFERENCE,F3AV000150,F3AC072,WX2,P05,0,F3APAY000092,53ffa80a9615b166f278a07a9645dce531549475e345622e59ff6ffb35267956,32,READY_FOR_AFINO,A_STRUCTURAL_COVERAGE,role=PUBLISHED_NOT_SELECTED_REFERENCE;window=WX2;assigned_profile=P05;lexicographically_smallest_phase3a_event_id
F3ADP000151,93,PRIMARY,F3AE000002,F3AP0001,PUBLISHED_NOT_SELECTED_REFERENCE,F3AV000151,F3AC073,WC2,P00,0,F3APAY000093,0298dd92c50478c5193ef4b527ced5639803e5f1909338b8c46215bcafe35121,24,READY_FOR_AFINO,A_STRUCTURAL_COVERAGE,role=PUBLISHED_NOT_SELECTED_REFERENCE;window=WC2;assigned_profile=P00;lexicographically_smallest_phase3a_event_id
F3ADP000313,221,PRIMARY,F3AE000005,F3AP0003,PUBLISHED_QPP_REFERENCE,F3AV000313,F3AC001,W00,P00,0,F3APAY000221,8d76f8759e4adc03f419b4660e786776713eab31d5899e0f4cf375e6100f1bec,15,READY_FOR_AFINO,B_LENGTH_EXTREMES,role=PUBLISHED_QPP_REFERENCE;primary_min_input_n_samples=15;planned_decision_id_lexicographic_tiebreak
F3ADP008959,6025,PRIMARY,F3AE000115,F3AP0058,PUBLISHED_QPP_REFERENCE,F3AV008959,F3AC067,WX2,P00,0,F3APAY006025,b8c957b6373ad2c97c3f70e797524d08afd1e4136cdc6569fe6fb76a2e86bc70,222,READY_FOR_AFINO,B_LENGTH_EXTREMES,role=PUBLISHED_QPP_REFERENCE;primary_max_input_n_samples=222;planned_decision_id_lexicographic_tiebreak
F3ADP000259,173,PRIMARY,F3AE000004,F3AP0002,PUBLISHED_NOT_SELECTED_REFERENCE,F3AV000259,F3AC025,WSp2,P00,0,F3APAY000173,b7737be2dbc466a6c65ad9c6351a32a97104c3e3223f79770e2f3562e4176bc0,15,READY_FOR_AFINO,B_LENGTH_EXTREMES,role=PUBLISHED_NOT_SELECTED_REFERENCE;primary_min_input_n_samples=15;planned_decision_id_lexicographic_tiebreak
F3ADP008881,5973,PRIMARY,F3AE000114,F3AP0057,PUBLISHED_NOT_SELECTED_REFERENCE,F3AV008881,F3AC067,WX2,P00,0,F3APAY005973,85ac8e350c8fe5b2f34527c643fdc79a08d88fe1938eddbacabdc6de1a4cc19f,215,READY_FOR_AFINO,B_LENGTH_EXTREMES,role=PUBLISHED_NOT_SELECTED_REFERENCE;primary_max_input_n_samples=215;planned_decision_id_lexicographic_tiebreak
F3ADS000001,6423,STABILITY,F3AE000001,F3AP0001,PUBLISHED_QPP_REFERENCE,F3AV000001,F3AC001,W00,P00,1,F3APAY000001,1d02146c8a280c6810f282a46c92a9d46209796954131b2c1022de6e37a3d764,30,READY_FOR_AFINO,C_SEED_CHECKPOINT,role=PUBLISHED_QPP_REFERENCE;w00_p00_lexicographically_smallest_event=F3AE000001;same_variant_as_seed0_anchor;external_optimizer_seed=1
F3ADS000009,6431,STABILITY,F3AE000001,F3AP0001,PUBLISHED_QPP_REFERENCE,F3AV000001,F3AC001,W00,P00,9,F3APAY000001,1d02146c8a280c6810f282a46c92a9d46209796954131b2c1022de6e37a3d764,30,READY_FOR_AFINO,C_SEED_CHECKPOINT,role=PUBLISHED_QPP_REFERENCE;w00_p00_lexicographically_smallest_event=F3AE000001;same_variant_as_seed0_anchor;external_optimizer_seed=9
F3ADS000010,6432,STABILITY,F3AE000002,F3AP0001,PUBLISHED_NOT_SELECTED_REFERENCE,F3AV000079,F3AC001,W00,P00,1,F3APAY000045,55b948e36dc833207dac681f397fa50a0ca6009e9432fb5c6cb0dbbeab819b96,28,READY_FOR_AFINO,C_SEED_CHECKPOINT,role=PUBLISHED_NOT_SELECTED_REFERENCE;w00_p00_lexicographically_smallest_event=F3AE000002;same_variant_as_seed0_anchor;external_optimizer_seed=1
F3ADS000018,6440,STABILITY,F3AE000002,F3AP0001,PUBLISHED_NOT_SELECTED_REFERENCE,F3AV000079,F3AC001,W00,P00,9,F3APAY000045,55b948e36dc833207dac681f397fa50a0ca6009e9432fb5c6cb0dbbeab819b96,28,READY_FOR_AFINO,C_SEED_CHECKPOINT,role=PUBLISHED_NOT_SELECTED_REFERENCE;w00_p00_lexicographically_smallest_event=F3AE000002;same_variant_as_seed0_anchor;external_optimizer_seed=9
