claim_id,evidence_plane,claim_text,source_phase,source_artifact,source_locator,source_sha256,evidence_class,scope,allowed_interpretation,prohibited_interpretation
E011,OPERATIONAL_DIAGNOSTICS,"El control externo mediana/rfftfreq no coincidió con la convención efectiva de AFINO 0.5, basada en media/fftfreq positivo.",F2.3/F2.4,fase2_tarea03_observational_runner_validation_audit.json dentro del paquete F2.3; fase2_tarea04_full_execution_audit.json,temporal_contract_resolution; temporal_validation_status; temporal_contract,56fc2eb4eec927b6032a991c2c96dc1867da394ef08129f7a774d58f5c417d7c;9c406be909cbdccbf7dff196c309568d228973ed5dbb3fae4e06573e8ada5b07,DOCUMENTED_VALIDATION_LIMITATION,Contrato temporal de la implementación congelada AFINO 0.5.,La ejecución es coherente con la convención observada de AFINO 0.5.,No debe afirmarse que AFINO 0.5 cumple el control prerregistrado mediana/rfftfreq.
E012,OPERATIONAL_DIAGNOSTICS,F2.4 completó exactamente 2.784 llamadas y 928 decisiones válidas sin trabajos pendientes.,F2.4,fase2_tarea04_full_execution_audit.json,execution_status; planned_jobs; decision_rows; result_status_counts; decision_status_counts; pending_jobs,9c406be909cbdccbf7dff196c309568d228973ed5dbb3fae4e06573e8ada5b07,COMPLETE_EXECUTION,Plan observacional exacto F2.2.,La base de resultados usada en F2.5 es estructuralmente completa.,Completitud operativa no equivale a validez científica.
E013,CLASSIFICATION_ROBUSTNESS,"Las 780 variantes primarias quedaron en 140 SELECTED, 374 NOT_SELECTED y 266 INPUT_INADMISSIBLE.",F2.5,fase2_tarea05_observational_robustness_audit.json,primary_outcome_counts,be80d4bcb56199624787bc49ad15a59648cc541d44907c975229967ef74ca3d1,FROZEN_COHORT_DESCRIPTIVE_RESULT,Diez eventos con medidas repetidas de ventana y procesamiento.,La cohorte muestra heterogeneidad de clasificación y de admisibilidad.,No es una estimación poblacional ni una tasa global independiente.
E014,CLASSIFICATION_ROBUSTNESS,"Respecto a W00/P00 hubo 140 selecciones retenidas, 136 pérdidas, 238 no selecciones retenidas y 0 ganancias.",F2.5,fase2_tarea05_observational_robustness_audit.json,baseline_comparison_status_counts,be80d4bcb56199624787bc49ad15a59648cc541d44907c975229967ef74ca3d1,BASELINE_TRANSITION_TABLE,Comparación de cada variante con el baseline global de su evento.,Las clasificaciones publicadas reproducidas no permanecieron seleccionadas bajo todas las variantes; los controles no ganaron selección respecto a W00/P00.,Pérdida no significa falso negativo y retención del control no significa verdadero negativo.
E015,CLASSIFICATION_ROBUSTNESS,SELECTION_GAINED=0 respecto a W00/P00 no contradice las transiciones locales 0→1 de ventana o procesamiento.,F2.5,fase2_tarea05_observational_robustness_report.md,§2 comparación con baseline; §3 perturbaciones temporales; §4 perfiles de procesamiento,0b9b2451be1fbe46418ad810591d6c54c8ddf6a2cb93e2b67dfd65196dc530aa,REFERENCE_FRAME_CLARIFICATION,Tres comparaciones con referencias distintas.,El baseline global usa W00/P00; los contrastes locales usan W00 del mismo perfil o el perfil izquierdo.,No se deben mezclar transiciones definidas contra referencias distintas.
E016,CLASSIFICATION_ROBUSTNESS,"Los contrastes temporales incluyeron 468 pares BOTH_ELIGIBLE con 302 transiciones 0→0, 4 de 0→1, 41 de 1→0 y 121 de 1→1.",F2.5,fase2_tarea05_observational_robustness_audit.json,window_contrast_comparability_counts; window_contrast_transition_counts,be80d4bcb56199624787bc49ad15a59648cc541d44907c975229967ef74ca3d1,PAIRED_WINDOW_CONTRASTS,Ventanas no-W00 comparadas con W00 del mismo evento y perfil.,La clasificación depende de la ventana en parte de la cohorte.,Los 720 contrastes no son 720 observaciones independientes.
E017,CLASSIFICATION_ROBUSTNESS,"Los contrastes de procesamiento incluyeron 429 pares BOTH_ELIGIBLE con 292 transiciones 0→0, 1 de 0→1, 44 de 1→0 y 92 de 1→1.",F2.5,fase2_tarea05_observational_robustness_audit.json,processing_contrast_comparability_counts; processing_contrast_transition_counts,be80d4bcb56199624787bc49ad15a59648cc541d44907c975229967ef74ca3d1,PAIRED_PROCESSING_CONTRASTS,Seis contrastes prerregistrados dentro del mismo evento y ventana.,La clasificación depende del perfil de procesamiento en parte de la cohorte.,"No demuestra causalidad de PDCSAP, SAP, QUALITY o detrending."
E018,OPTIMIZER_NUMERICAL_STABILITY,Las 46 variantes W00 elegibles mantuvieron la misma clasificación en seeds 0–9.,F2.5,fase2_tarea05_observational_robustness_audit.json,stability_variants; stability_selected_seed_count_distribution; stability_decision_discordant_variants,be80d4bcb56199624787bc49ad15a59648cc541d44907c975229967ef74ca3d1,SEED_CLASSIFICATION_STABILITY,"46 variantes W00, diez seeds por variante.",La clasificación fue estable frente a la seed externa en este subconjunto.,No demuestra convergencia ni unicidad numérica.
E019,OPTIMIZER_NUMERICAL_STABILITY,Cada variante de estabilidad presentó múltiples payloads de parámetros entre seeds.,F2.5,fase2_tarea05_observational_robustness_report.md,§5 estabilidad frente a seed externa,0b9b2451be1fbe46418ad810591d6c54c8ddf6a2cb93e2b67dfd65196dc530aa,PARAMETER_MULTIPLICITY_DIAGNOSTIC,"Payloads serializados de M0, M1 y M2 para las diez seeds.",stable classification ≠ unique numerical optimum.,Payloads distintos no demuestran óptimos físicos o estadísticos distintos.
E020,CLASSIFICATION_ROBUSTNESS,En el benchmark sintético principal no hubo selección en 0/480 realizaciones nulas.,F1.14,fase1_tarea14_phase1_evidence_ledger.csv,claim_id=C005,ab471a68016c19abb6672be7ab29f1f890d9b9c67dfdf750edfb224afbae975a,SYNTHETIC_GROUND_TRUTH,Nulo sintético estacionario congelado.,No hubo synthetic false selection en ese generador y diseño.,No es una tasa observacional de falsos positivos.
E021,CLASSIFICATION_ROBUSTNESS,Las condiciones positivas sintéticas fueron fuertemente estratificadas: 21/99 tuvieron alguna selección y 78/99 ninguna.,F1.14,fase1_tarea14_phase1_evidence_ledger.csv,claim_id=C006,ab471a68016c19abb6672be7ab29f1f890d9b9c67dfdf750edfb224afbae975a,SYNTHETIC_GROUND_TRUTH,Grid sintético estacionario F1.1.,"La detectabilidad depende de longitud, periodo, ruido y amplitud.",No define una sensibilidad global ni extrapolable a TESS real.
E022,CLASSIFICATION_ROBUSTNESS,En las 2.040 decisiones sintéticas cortas fallaron ambas comparaciones y M0 fue el ganador BIC.,F1.14,fase1_tarea14_phase1_synthesis_report.md,§ Ground truth sintético y dominio de funcionamiento,5d748476630023ec6b0f4a11c0851711f34b5b5c7a20a2e30fce1b1138a6c466,SHORT_WINDOW_SYNTHETIC_DIAGNOSTIC,Condiciones N=15 y N=30 del benchmark congelado.,Las ventanas cortas probadas fueron desfavorables frente a M0 y M2.,No demuestra que AFINO nunca pueda detectar QPP en ventanas cortas.
E023,CLASSIFICATION_ROBUSTNESS,El benchmark anidado mostró cruces ascendentes y descendentes; la selección no fue monotónica con la extensión temporal.,F1.14,fase1_tarea14_phase1_synthesis_report.md,§ Aporte y límites del benchmark anidado,5d748476630023ec6b0f4a11c0851711f34b5b5c7a20a2e30fce1b1138a6c466,NESTED_SYNTHETIC_DIAGNOSTIC,"Prefijos anidados con cambios conjuntos de cola, normalización, Hann y FFT.",La sensibilidad a ventana justificó el análisis observacional F2.,No establece un efecto causal puro del número de bins.
E024,PERIOD_ROBUSTNESS,La robustez del periodo contiene 140 filas condicionadas a baseline y variante seleccionados con periodos disponibles.,F2.5,fase2_tarea05_observational_robustness_audit.json,period_robustness_rows; period_absolute_change_summary,be80d4bcb56199624787bc49ad15a59648cc541d44907c975229967ef74ca3d1,CONDITIONAL_PERIOD_RESULT,Variantes cuya selección sobrevivió.,"El cambio absoluto mediano fue 0,244031 s y el máximo 2,714694 s dentro de esa población condicionada.",No caracteriza las 136 pérdidas ni las 266 inadmisibles.
E025,PERIOD_ROBUSTNESS,Los 374 centros formales M1 de decisiones no seleccionadas permanecieron separados del periodo recuperado.,F2.5,fase2_tarea05_observational_robustness_audit.json,formal_m1_center_not_selected_count,be80d4bcb56199624787bc49ad15a59648cc541d44907c975229967ef74ca3d1,PERIOD_LABEL_SEPARATION,Decisiones primarias no seleccionadas con centro formal disponible.,El centro formal puede auditarse como output M1.,No puede presentarse como periodo recuperado.
E026,OPERATIONAL_DIAGNOSTICS,"M1 registró bounds en 632/928 llamadas y M2 warnings en 555/928, 4.690 warnings totales y bounds en 827/928.",F2.4,fase2_tarea04_full_execution_audit.json,operational_diagnostics.M1; operational_diagnostics.M2,9c406be909cbdccbf7dff196c309568d228973ed5dbb3fae4e06573e8ada5b07,NUMERICAL_DIAGNOSTIC,"Plan completo observacional, desglosado por modelo.",Warnings y bounds deben acompañar la lectura metodológica.,No explican causalmente los cambios de clasificación.
E027,OPERATIONAL_DIAGNOSTICS,convergence_status permaneció NOT_AUDITABLE en las 2.784 llamadas.,F2.4,fase2_tarea04_full_execution_audit.json,operational_diagnostics.*.convergence_status_counts,9c406be909cbdccbf7dff196c309568d228973ed5dbb3fae4e06573e8ada5b07,CONVERGENCE_LIMITATION,"M0, M1 y M2 en el plan completo.",La convergencia formal no fue auditada.,Estabilidad de clasificación no puede equipararse a convergencia demostrada.
E028,INTERPRETATION_LIMITS,"La cohorte contiene diez eventos y cinco parejas con ventanas, perfiles y seeds como medidas repetidas.",F2.5,fase2_tarea05_observational_robustness_audit.json,cohort_events; cohort_pairs; statistical_scope,be80d4bcb56199624787bc49ad15a59648cc541d44907c975229967ef74ca3d1,SCOPE_LIMITATION,Unidad observacional: evento.,Los resultados describen estabilidad interna de esta cohorte.,No se deben tratar 780 variantes como observaciones independientes.
E029,INTERPRETATION_LIMITS,No se estableció ground truth observacional o físico.,F2.5,fase2_tarea05_observational_robustness_audit.json,confirmations.observational_ground_truth_established; confirmations.physical_qpp_truth_inferred,be80d4bcb56199624787bc49ad15a59648cc541d44907c975229967ef74ca3d1,GROUND_TRUTH_NOT_ESTABLISHED,Roles publicados y controles emparejados.,Los roles describen la construcción de la cohorte.,PUBLISHED_QPP_REPRODUCED no significa QPP física demostrada y MATCHED_NOT_SELECTED no significa verdadero negativo.
E030,INTERPRETATION_LIMITS,"No se estimaron sensibilidad, especificidad ni tasa observacional de falsos positivos.",F2.5,fase2_tarea05_observational_robustness_audit.json,confirmations.sensitivity_estimated; confirmations.specificity_estimated; confirmations.observational_false_positive_rate_estimated,be80d4bcb56199624787bc49ad15a59648cc541d44907c975229967ef74ca3d1,PERFORMANCE_NOT_ESTIMATED,Cohorte congelada sin ground truth independiente.,El resultado es robustez descriptiva.,"No se permite lenguaje de accuracy, sensibilidad, especificidad, FPR o FNR."
E031,INTERPRETATION_LIMITS,El descubrimiento de candidatos permaneció bloqueado durante toda la Fase 2.,F1.14/F2.1–F2.5,fase1_tarea14_phase1_decision.json; auditorías F2.1–F2.5,candidate_discovery_allowed/authorized=false,356504bce1df734bfd5cf01cf1e84211fc5a458f6bf81ddb5458ef0a9166ef1a;be80d4bcb56199624787bc49ad15a59648cc541d44907c975229967ef74ca3d1,PROTOCOL_CONSTRAINT,Diez observaciones congeladas.,La Fase 2 no amplió la población ni exploró nuevos eventos.,No autoriza claims de descubrimiento.
E032,INTERPRETATION_LIMITS,Toda la evidencia observacional procede de AFINO 0.5 en un único commit congelado.,F2.4,fase2_tarea04_full_execution_audit.json,environment.afino_commit; environment.afino_package_version,9c406be909cbdccbf7dff196c309568d228973ed5dbb3fae4e06573e8ada5b07,IMPLEMENTATION_SCOPE,"Commit 6aceac9518fc8056052807e666da9d0c8bebb010, paquete 0.5.",Las conclusiones se aplican a esa implementación congelada.,No se generalizan automáticamente a otras versiones o configuraciones.
E033,INTERPRETATION_LIMITS,Un manuscrito metodológico de reproducción y robustez es defendible con limitaciones explícitas.,F1.14+F2.5,fase1_tarea14_phase1_decision.json; fase2_tarea05_observational_robustness_audit.json,decision_basis; analysis_conclusion; limitations,356504bce1df734bfd5cf01cf1e84211fc5a458f6bf81ddb5458ef0a9166ef1a;be80d4bcb56199624787bc49ad15a59648cc541d44907c975229967ef74ca3d1,DOCUMENTARY_SYNTHESIS_DECISION,"Reproducción efectiva, benchmarks sintéticos, cohorte F2 congelada y análisis descriptivo.","Puede defenderse un artículo sobre robustez interna, admisibilidad y diagnósticos numéricos.",No debe presentarse como validación observacional general de AFINO.
E034,INTERPRETATION_LIMITS,No se desarrolló ni validó una corrección del procedimiento de selección.,F2.5,fase2_tarea05_observational_robustness_audit.json,confirmations.robustness_threshold_added=false; limitations,be80d4bcb56199624787bc49ad15a59648cc541d44907c975229967ef74ca3d1,CORRECTION_NOT_ESTABLISHED,F2.5 caracteriza el método congelado; no diseña una regla nueva.,La corrección es una ruta futura separada.,No se puede diseñar una regla tras ver F2.5 y presentar F2.5 como su validación.
