overlap_evidence_id,work_id,target_phase,comparison_dimension,overlap_level,literature_description,project_reference_description,evidence_ids,project_reference_source,project_reference_locator,assessment_rationale
BAII4O0011,BAIIW0024,F3A,F3A_PROCESSING_ROBUSTNESS,PARTIAL,Processing/detrending robustness: detrending=YES; tested=YES; primary method=Three-state hidden Markov model with celerite baseline.,Dependence on processing choices is a primary observational-robustness dimension; processing profiles must be explicitly frozen prospectively.,BAII4E0029;BAII4E0030;BAII4E0031,workflows/phase3a/ENTRY_CONTRACT.md,Phase 3A scientific role; Required prospective design,The work addresses a related observational/methodological dimension but does not duplicate the full prospective F3A design.
BAII4O0012,BAIIW0024,F3B,F3B_INJECTION_RECOVERY,DIRECT,Injection–recovery=YES; completeness=YES; false-selection=YES.,Phase 3B is reserved for realistic injection-recovery and independent held-out validation.,BAII4E0030;BAII4E0031;BAII4E0032,workflows/phase3b/README.md,Phase 3B,The work directly evaluates a validation element reserved for F3B.
BAII4O0013,BAIIW0024,F3B,F3B_SYNTHETIC_GROUND_TRUTH,DIRECT,Synthetic data=YES; ground truth known=YES; signal family=Injected stellar-flare signals used to test detection and characterization..,Explicit synthetic ground truth is required for classification and period; observational roles must not be treated as physical truth.,BAII4E0030;BAII4E0031;BAII4E0032,foundation/f0-f2/phase2/fase2_tarea06_phase3_entry_requirements.csv,B003,The work directly evaluates a validation element reserved for F3B.
BAII4O0014,BAIIW0025,F3A,F3A_COHORT_UNIVERSE,PARTIAL,Known active M dwarfs plus a volume-limited 15 pc M-dwarf sample; reported scale 538 M dwarfs within 15 pc (276 flaring) plus an active comparison population and NOT_REPORTED flares.,"Prospectively defined catalogue-scale observational cohort; source catalogue(s), eligibility criteria, cohort construction, inclusion/exclusion, duplicates/repeated observations and observational roles/strata must be frozen before execution.",BAII4E0033;BAII4E0034;BAII4E0035,workflows/phase3a/ENTRY_CONTRACT.md,Phase 3A scientific role; Required prospective design,The work addresses a related observational/methodological dimension but does not duplicate the full prospective F3A design.
BAII4O0015,BAIIW0027,F3A,F3A_COHORT_UNIVERSE,PARTIAL,"TESS flaring-star sample with inclination information; reported scale 1510 flaring stars and ~27,000 flares.","Prospectively defined catalogue-scale observational cohort; source catalogue(s), eligibility criteria, cohort construction, inclusion/exclusion, duplicates/repeated observations and observational roles/strata must be frozen before execution.",BAII4E0037;BAII4E0038;BAII4E0039,workflows/phase3a/ENTRY_CONTRACT.md,Phase 3A scientific role; Required prospective design,The work addresses a related observational/methodological dimension but does not duplicate the full prospective F3A design.
BAII4O0016,BAIIW0028,F3A,F3A_COHORT_UNIVERSE,PARTIAL,RS CVn candidates crossmatched to TESS/LAMOST; reported scale 1812 RS CVn candidates; TESS subset reported in article and 1254 flares in 144 flare stars flares.,"Prospectively defined catalogue-scale observational cohort; source catalogue(s), eligibility criteria, cohort construction, inclusion/exclusion, duplicates/repeated observations and observational roles/strata must be frozen before execution.",BAII4E0041;BAII4E0042;BAII4E0043,workflows/phase3a/ENTRY_CONTRACT.md,Phase 3A scientific role; Required prospective design,The work addresses a related observational/methodological dimension but does not duplicate the full prospective F3A design.
BAII4O0017,BAIIW0029,F3A,F3A_EVENT_SELECTION,PARTIAL,"Target/flare/QPP selection: Wolf 359 in TESS Sectors 45, 46 and 72. Flare events identified per sector; exact rule not resolved from provider-level evidence. Oscillatory signatures measured in two complex flares; detailed detector not resolved here.","Event eligibility, cohort construction, inclusion/exclusion, duplicate handling and provenance/selection of QPP-labelled or comparison events must be defined prospectively; candidate discovery is not authorized.",BAII4E0045;BAII4E0046;BAII4E0047,workflows/phase3a/ENTRY_CONTRACT.md,Required prospective design; Candidate discovery,The work addresses a related observational/methodological dimension but does not duplicate the full prospective F3A design.
BAII4O0018,BAIIW0033,F3A,F3A_COHORT_UNIVERSE,PARTIAL,Ultra-cool dwarfs M4–L4; reported scale 208 UCDs and 778 flares in 103 UCDs flares.,"Prospectively defined catalogue-scale observational cohort; source catalogue(s), eligibility criteria, cohort construction, inclusion/exclusion, duplicates/repeated observations and observational roles/strata must be frozen before execution.",BAII4E0049;BAII4E0050;BAII4E0051,workflows/phase3a/ENTRY_CONTRACT.md,Phase 3A scientific role; Required prospective design,The work addresses a related observational/methodological dimension but does not duplicate the full prospective F3A design.
BAII4O0019,BAIIW0035,F3A,F3A_COHORT_UNIVERSE,PARTIAL,Kepler/TESS star–planet systems; reported scale 1811 systems searched; 25 single stars with ≥3 flares and NOT_REPORTED flares.,"Prospectively defined catalogue-scale observational cohort; source catalogue(s), eligibility criteria, cohort construction, inclusion/exclusion, duplicates/repeated observations and observational roles/strata must be frozen before execution.",BAII4E0053;BAII4E0054;BAII4E0055,workflows/phase3a/ENTRY_CONTRACT.md,Phase 3A scientific role; Required prospective design,The work addresses a related observational/methodological dimension but does not duplicate the full prospective F3A design.
BAII4O0020,BAIIW0037,F3A,F3A_PROCESSING_ROBUSTNESS,PARTIAL,Processing/detrending robustness: detrending=YES; tested=YES; primary method=Time-varying harmonic trend + ARMA/GARCH flare detection.,Dependence on processing choices is a primary observational-robustness dimension; processing profiles must be explicitly frozen prospectively.,BAII4E0057;BAII4E0058;BAII4E0059,workflows/phase3a/ENTRY_CONTRACT.md,Phase 3A scientific role; Required prospective design,The work addresses a related observational/methodological dimension but does not duplicate the full prospective F3A design.
BAII4O0021,BAIIW0040,F3A,F3A_COHORT_UNIVERSE,PARTIAL,Solar-type superflare stars; reported scale 711 selected TESS superflare stars; 401 with KWS records and NOT_REPORTED flares.,"Prospectively defined catalogue-scale observational cohort; source catalogue(s), eligibility criteria, cohort construction, inclusion/exclusion, duplicates/repeated observations and observational roles/strata must be frozen before execution.",BAII4E0061;BAII4E0062;BAII4E0063,workflows/phase3a/ENTRY_CONTRACT.md,Phase 3A scientific role; Required prospective design,The work addresses a related observational/methodological dimension but does not duplicate the full prospective F3A design.
BAII4O0022,BAIIW0041,F3A,F3A_COHORT_UNIVERSE,PARTIAL,"26 young moving groups/clusters/associations (<300 Myr); reported scale 3157 flaring stars; rotation periods for 1847 and 26,355 flares.","Prospectively defined catalogue-scale observational cohort; source catalogue(s), eligibility criteria, cohort construction, inclusion/exclusion, duplicates/repeated observations and observational roles/strata must be frozen before execution.",BAII4E0065;BAII4E0066;BAII4E0067,workflows/phase3a/ENTRY_CONTRACT.md,Phase 3A scientific role; Required prospective design,The work addresses a related observational/methodological dimension but does not duplicate the full prospective F3A design.
BAII4O0023,BAIIW0043,F3A,F3A_COHORT_UNIVERSE,PARTIAL,eRASS1 X-ray stars crossmatched with TESS and LAMOST; reported scale 1430 flare-active stars reported in accessible abstract summary and 7229 reported flares flares.,"Prospectively defined catalogue-scale observational cohort; source catalogue(s), eligibility criteria, cohort construction, inclusion/exclusion, duplicates/repeated observations and observational roles/strata must be frozen before execution.",BAII4E0069;BAII4E0070;BAII4E0071,workflows/phase3a/ENTRY_CONTRACT.md,Phase 3A scientific role; Required prospective design,The work addresses a related observational/methodological dimension but does not duplicate the full prospective F3A design.
BAII4O0024,BAIIW0050,F3A,F3A_COHORT_UNIVERSE,PARTIAL,Sample of active M dwarfs; reported scale NOT_REPORTED and NOT_REPORTED flares.,"Prospectively defined catalogue-scale observational cohort; source catalogue(s), eligibility criteria, cohort construction, inclusion/exclusion, duplicates/repeated observations and observational roles/strata must be frozen before execution.",BAII4E0073;BAII4E0074;BAII4E0075,workflows/phase3a/ENTRY_CONTRACT.md,Phase 3A scientific role; Required prospective design,The work addresses a related observational/methodological dimension but does not duplicate the full prospective F3A design.
BAII4O0025,BAIIW0053,F3A,F3A_COHORT_UNIVERSE,PARTIAL,Three nearby young solar-type stars over ~7 years; reported scale 3 stars and NOT_REPORTED flares.,"Prospectively defined catalogue-scale observational cohort; source catalogue(s), eligibility criteria, cohort construction, inclusion/exclusion, duplicates/repeated observations and observational roles/strata must be frozen before execution.",BAII4E0077;BAII4E0078;BAII4E0079,workflows/phase3a/ENTRY_CONTRACT.md,Phase 3A scientific role; Required prospective design,The work addresses a related observational/methodological dimension but does not duplicate the full prospective F3A design.
BAII4O0026,BAIIW0055,F3A,F3A_COHORT_UNIVERSE,PARTIAL,"Radio-star catalog crossmatched with TESS; reported scale 1537 catalog radio stars + 98 survey radio stars and 12,155 flares on 856 stars + 3992 flares on 86 stars flares.","Prospectively defined catalogue-scale observational cohort; source catalogue(s), eligibility criteria, cohort construction, inclusion/exclusion, duplicates/repeated observations and observational roles/strata must be frozen before execution.",BAII4E0081;BAII4E0082;BAII4E0083,workflows/phase3a/ENTRY_CONTRACT.md,Phase 3A scientific role; Required prospective design,The work addresses a related observational/methodological dimension but does not duplicate the full prospective F3A design.
BAII4O0027,BAIIW0057,F3A,F3A_COHORT_UNIVERSE,PARTIAL,Wide noninteracting binaries in TESS Cycle 3; reported scale 3912 binaries and NOT_REPORTED flares.,"Prospectively defined catalogue-scale observational cohort; source catalogue(s), eligibility criteria, cohort construction, inclusion/exclusion, duplicates/repeated observations and observational roles/strata must be frozen before execution.",BAII4E0085;BAII4E0086;BAII4E0087,workflows/phase3a/ENTRY_CONTRACT.md,Phase 3A scientific role; Required prospective design,The work addresses a related observational/methodological dimension but does not duplicate the full prospective F3A design.
BAII4O0028,BAIIW0065,F3A,F3A_COHORT_UNIVERSE,PARTIAL,β Pictoris and AB Doradus moving-group low-mass stars; reported scale NOT_REPORTED and NOT_REPORTED flares.,"Prospectively defined catalogue-scale observational cohort; source catalogue(s), eligibility criteria, cohort construction, inclusion/exclusion, duplicates/repeated observations and observational roles/strata must be frozen before execution.",BAII4E0089;BAII4E0090;BAII4E0091,workflows/phase3a/ENTRY_CONTRACT.md,Phase 3A scientific role; Required prospective design,The work addresses a related observational/methodological dimension but does not duplicate the full prospective F3A design.
BAII4O0029,BAIIW0071,F3A,F3A_COHORT_UNIVERSE,PARTIAL,"TESS Continuous Viewing Zone long-baseline short-cadence survey; reported scale >14,000 stars and NOT_REPORTED flares.","Prospectively defined catalogue-scale observational cohort; source catalogue(s), eligibility criteria, cohort construction, inclusion/exclusion, duplicates/repeated observations and observational roles/strata must be frozen before execution.",BAII4E0093;BAII4E0094;BAII4E0095,workflows/phase3a/ENTRY_CONTRACT.md,Phase 3A scientific role; Required prospective design,The work addresses a related observational/methodological dimension but does not duplicate the full prospective F3A design.
BAII4O0030,BAIIW0071,F3B,F3B_INJECTION_RECOVERY,DIRECT,Injection–recovery=YES; completeness=YES; false-selection=NOT_REPORTED.,Phase 3B is reserved for realistic injection-recovery and independent held-out validation.,BAII4E0094;BAII4E0095;BAII4E0096,workflows/phase3b/README.md,Phase 3B,The work directly evaluates a validation element reserved for F3B.
BAII4O0031,BAIIW0071,F3B,F3B_SELECTION_FUNCTION,DIRECT,Selection function=YES; completeness=YES; false-selection=NOT_REPORTED.,Any correction/performance program requires explicit known truth and prospectively defined success criteria; selection/recovery performance belongs to Phase 3B rather than observational F3A.,BAII4E0094;BAII4E0095;BAII4E0096,foundation/f0-f2/phase2/fase2_tarea06_phase3_entry_requirements.csv,B003-B004,The work directly evaluates a validation element reserved for F3B.
BAII4O0032,BAIIW0098,F3A,F3A_QPP_CLASSIFICATION_REFERENCE,PARTIAL,QPP/detection reference: Fully convolutional neural network (FCN) QPP classifier; selection description: Fully convolutional network classifies exponentially decaying harmonic QPP presence.,"QPP-labelled/comparison-event provenance and selection rules must be independent of the F3A output; F3A cannot establish physical truth, sensitivity/specificity, observational false-positive rate or true-negative status.",BAII4E0097;BAII4E0098;BAII4E0099,workflows/phase3a/ENTRY_CONTRACT.md,Candidate discovery; Prohibited Phase 3A interpretations,The work addresses a related observational/methodological dimension but does not duplicate the full prospective F3A design.
BAII4O0033,BAIIW0098,F3B,F3B_SYNTHETIC_GROUND_TRUTH,DIRECT,Synthetic data=YES; ground truth known=YES; signal family=Exponentially decaying harmonic QPP versus no-QPP synthetic flare families..,Explicit synthetic ground truth is required for classification and period; observational roles must not be treated as physical truth.,BAII4E0098;BAII4E0099;BAII4E0100,foundation/f0-f2/phase2/fase2_tarea06_phase3_entry_requirements.csv,B003,The work directly evaluates a validation element reserved for F3B.
BAII4O0034,BAIIW0098,F3B,F3B_BASELINE_COMPARISON,DIRECT,"Method/validation reference: Fully convolutional neural network (FCN) QPP classifier; validation conclusion: 90,000 synthetic with/without-QPP flares provide known truth; reported synthetic test accuracy is 87.2%, followed by real-data checks..",Any new rule must be compared with the frozen baseline without modifying historical baseline results.,BAII4E0098;BAII4E0099;BAII4E0100,foundation/f0-f2/phase2/fase2_tarea06_phase3_entry_requirements.csv,B005,The work directly evaluates a validation element reserved for F3B.
BAII4O0035,BAIIW0100,F3A,F3A_PROCESSING_ROBUSTNESS,PARTIAL,Processing/detrending robustness: detrending=NOT_REPORTED; tested=YES; primary method=Fourier + EEMD + wavelet QPP analysis.,Dependence on processing choices is a primary observational-robustness dimension; processing profiles must be explicitly frozen prospectively.,BAII4E0101;BAII4E0102;BAII4E0103,workflows/phase3a/ENTRY_CONTRACT.md,Phase 3A scientific role; Required prospective design,The work addresses a related observational/methodological dimension but does not duplicate the full prospective F3A design.
BAII4O0036,BAIIW0102,F3A,F3A_QPP_CLASSIFICATION_REFERENCE,CONTEXT_ONLY,QPP/detection reference: Fourier transform + empirical mode decomposition; selection description: Fourier transform and empirical mode decomposition.,"QPP-labelled/comparison-event provenance and selection rules must be independent of the F3A output; F3A cannot establish physical truth, sensitivity/specificity, observational false-positive rate or true-negative status.",BAII4E0105;BAII4E0106;BAII4E0107,workflows/phase3a/ENTRY_CONTRACT.md,Candidate discovery; Prohibited Phase 3A interpretations,The work informs the dimension contextually without using the same prospective TESS catalogue-scale design.
BAII4O0037,BAIIW0110,F3A,F3A_PROCESSING_ROBUSTNESS,PARTIAL,Processing/detrending robustness: detrending=NOT_REPORTED; tested=YES; primary method=Time-frequency QPP analysis.,Dependence on processing choices is a primary observational-robustness dimension; processing profiles must be explicitly frozen prospectively.,BAII4E0109;BAII4E0110;BAII4E0111,workflows/phase3a/ENTRY_CONTRACT.md,Phase 3A scientific role; Required prospective design,The work addresses a related observational/methodological dimension but does not duplicate the full prospective F3A design.
BAII4O0038,BAIIW0145,F3A,F3A_COHORT_UNIVERSE,PARTIAL,"Main-sequence TESS flare catalogue across Sectors 1–69; reported scale ~14,000 flare stars and ~120,000 flares.","Prospectively defined catalogue-scale observational cohort; source catalogue(s), eligibility criteria, cohort construction, inclusion/exclusion, duplicates/repeated observations and observational roles/strata must be frozen before execution.",BAII4E0113;BAII4E0114;BAII4E0115,workflows/phase3a/ENTRY_CONTRACT.md,Phase 3A scientific role; Required prospective design,The work addresses a related observational/methodological dimension but does not duplicate the full prospective F3A design.
BAII4O0039,BAIIW0145,F3A,F3A_EVENT_SELECTION,PARTIAL,Target/flare/QPP selection: TESS 2-min main-sequence sample across Sectors 1–69. Retrained flatwrm2 LSTM with strict filtering/manual vetting. NOT_APPLICABLE,"Event eligibility, cohort construction, inclusion/exclusion, duplicate handling and provenance/selection of QPP-labelled or comparison events must be defined prospectively; candidate discovery is not authorized.",BAII4E0113;BAII4E0114;BAII4E0115,workflows/phase3a/ENTRY_CONTRACT.md,Required prospective design; Candidate discovery,The work addresses a related observational/methodological dimension but does not duplicate the full prospective F3A design.
BAII4O0040,BAIIW0147,F3A,F3A_PROCESSING_ROBUSTNESS,PARTIAL,Processing/detrending robustness: detrending=YES; tested=YES; primary method=Wavelet-based denoising + flare detection.,Dependence on processing choices is a primary observational-robustness dimension; processing profiles must be explicitly frozen prospectively.,BAII4E0117;BAII4E0118;BAII4E0119,workflows/phase3a/ENTRY_CONTRACT.md,Phase 3A scientific role; Required prospective design,The work addresses a related observational/methodological dimension but does not duplicate the full prospective F3A design.
BAII4O0041,BAIIW0147,F3B,F3B_INJECTION_RECOVERY,DIRECT,Injection–recovery=YES; completeness=YES; false-selection=NOT_REPORTED.,Phase 3B is reserved for realistic injection-recovery and independent held-out validation.,BAII4E0118;BAII4E0119;BAII4E0120,workflows/phase3b/README.md,Phase 3B,The work directly evaluates a validation element reserved for F3B.
BAII4O0042,BAIIW0147,F3B,F3B_SELECTION_FUNCTION,DIRECT,Selection function=YES; completeness=YES; false-selection=NOT_REPORTED.,Any correction/performance program requires explicit known truth and prospectively defined success criteria; selection/recovery performance belongs to Phase 3B rather than observational F3A.,BAII4E0118;BAII4E0119;BAII4E0120,foundation/f0-f2/phase2/fase2_tarea06_phase3_entry_requirements.csv,B003-B004,The work directly evaluates a validation element reserved for F3B.
BAII4O0043,BAIIW0149,F3A,F3A_COHORT_UNIVERSE,PARTIAL,TESS exoplanet-host flare survey with simulated injection tests; reported scale NOT_REPORTED and NOT_REPORTED flares.,"Prospectively defined catalogue-scale observational cohort; source catalogue(s), eligibility criteria, cohort construction, inclusion/exclusion, duplicates/repeated observations and observational roles/strata must be frozen before execution.",BAII4E0121;BAII4E0122;BAII4E0123,workflows/phase3a/ENTRY_CONTRACT.md,Phase 3A scientific role; Required prospective design,The work addresses a related observational/methodological dimension but does not duplicate the full prospective F3A design.
BAII4O0044,BAIIW0149,F3A,F3A_EVENT_SELECTION,PARTIAL,Target/flare/QPP selection: TESS exoplanet hosts selected for potentially sub-Alfvénic planet passages plus TOI planet-candidate hosts. ardor multitier flare pipeline; successive detection/vetting tiers. NOT_APPLICABLE,"Event eligibility, cohort construction, inclusion/exclusion, duplicate handling and provenance/selection of QPP-labelled or comparison events must be defined prospectively; candidate discovery is not authorized.",BAII4E0121;BAII4E0122;BAII4E0123,workflows/phase3a/ENTRY_CONTRACT.md,Required prospective design; Candidate discovery,The work addresses a related observational/methodological dimension but does not duplicate the full prospective F3A design.
BAII4O0045,BAIIW0149,F3B,F3B_INJECTION_RECOVERY,DIRECT,Injection–recovery=YES; completeness=YES; false-selection=YES.,Phase 3B is reserved for realistic injection-recovery and independent held-out validation.,BAII4E0122;BAII4E0123;BAII4E0124,workflows/phase3b/README.md,Phase 3B,The work directly evaluates a validation element reserved for F3B.
BAII4O0046,BAIIW0149,F3B,F3B_SELECTION_FUNCTION,DIRECT,Selection function=YES; completeness=YES; false-selection=YES.,Any correction/performance program requires explicit known truth and prospectively defined success criteria; selection/recovery performance belongs to Phase 3B rather than observational F3A.,BAII4E0122;BAII4E0123;BAII4E0124,foundation/f0-f2/phase2/fase2_tarea06_phase3_entry_requirements.csv,B003-B004,The work directly evaluates a validation element reserved for F3B.
BAII4O0047,BAIIW0150,F3A,F3A_COHORT_UNIVERSE,PARTIAL,Combined TESS+CHEOPS M-dwarf sample; reported scale 110 M dwarfs and 5620 flares.,"Prospectively defined catalogue-scale observational cohort; source catalogue(s), eligibility criteria, cohort construction, inclusion/exclusion, duplicates/repeated observations and observational roles/strata must be frozen before execution.",BAII4E0125;BAII4E0126;BAII4E0127,workflows/phase3a/ENTRY_CONTRACT.md,Phase 3A scientific role; Required prospective design,The work addresses a related observational/methodological dimension but does not duplicate the full prospective F3A design.
BAII4O0048,BAIIW0150,F3B,F3B_SELECTION_FUNCTION,PARTIAL,Selection function=YES; completeness=YES; false-selection=NOT_REPORTED.,Any correction/performance program requires explicit known truth and prospectively defined success criteria; selection/recovery performance belongs to Phase 3B rather than observational F3A.,BAII4E0126;BAII4E0127;BAII4E0128,foundation/f0-f2/phase2/fase2_tarea06_phase3_entry_requirements.csv,B003-B004,The work provides a partial validation/selection analogue relevant to prospective F3B design.
BAII4O0049,BAIIW0154,F3A,F3A_QPP_CLASSIFICATION_REFERENCE,PARTIAL,QPP/detection reference: Logistic regression + FRED template flare detection; selection description: NOT_APPLICABLE,"QPP-labelled/comparison-event provenance and selection rules must be independent of the F3A output; F3A cannot establish physical truth, sensitivity/specificity, observational false-positive rate or true-negative status.",BAII4E0129;BAII4E0130;BAII4E0131,workflows/phase3a/ENTRY_CONTRACT.md,Candidate discovery; Prohibited Phase 3A interpretations,The work addresses a related observational/methodological dimension but does not duplicate the full prospective F3A design.
BAII4O0050,BAIIW0154,F3B,F3B_INJECTION_RECOVERY,DIRECT,Injection–recovery=YES; completeness=YES; false-selection=NOT_REPORTED.,Phase 3B is reserved for realistic injection-recovery and independent held-out validation.,BAII4E0130;BAII4E0131;BAII4E0132,workflows/phase3b/README.md,Phase 3B,The work directly evaluates a validation element reserved for F3B.
BAII4O0051,BAIIW0154,F3B,F3B_SELECTION_FUNCTION,DIRECT,Selection function=YES; completeness=YES; false-selection=NOT_REPORTED.,Any correction/performance program requires explicit known truth and prospectively defined success criteria; selection/recovery performance belongs to Phase 3B rather than observational F3A.,BAII4E0130;BAII4E0131;BAII4E0132,foundation/f0-f2/phase2/fase2_tarea06_phase3_entry_requirements.csv,B003-B004,The work directly evaluates a validation element reserved for F3B.
BAII4O0052,BAIIW0156,F3A,F3A_QPP_CLASSIFICATION_REFERENCE,PARTIAL,QPP/detection reference: flarenet 1D convolutional neural network; selection description: NOT_APPLICABLE,"QPP-labelled/comparison-event provenance and selection rules must be independent of the F3A output; F3A cannot establish physical truth, sensitivity/specificity, observational false-positive rate or true-negative status.",BAII4E0133;BAII4E0134;BAII4E0135,workflows/phase3a/ENTRY_CONTRACT.md,Candidate discovery; Prohibited Phase 3A interpretations,The work addresses a related observational/methodological dimension but does not duplicate the full prospective F3A design.
BAII4O0053,BAIIW0156,F3A,F3A_QUALITY_AND_GAPS,PARTIAL,Quality/gap handling: quality=YES; gaps=YES; quality robustness=YES; gap robustness=YES.,Admissibility and failed/missing execution handling must remain explicit; input inadmissibility is not non-selection. The future design must freeze an admissibility contract and missingness/failed-execution handling.,BAII4E0133;BAII4E0134;BAII4E0135,workflows/phase3a/ENTRY_CONTRACT.md,Frozen scientific inheritance; Required prospective design,The work addresses a related observational/methodological dimension but does not duplicate the full prospective F3A design.
BAII4O0054,BAIIW0156,F3B,F3B_INJECTION_RECOVERY,DIRECT,Injection–recovery=YES; completeness=YES; false-selection=YES.,Phase 3B is reserved for realistic injection-recovery and independent held-out validation.,BAII4E0134;BAII4E0135;BAII4E0136,workflows/phase3b/README.md,Phase 3B,The work directly evaluates a validation element reserved for F3B.
