evidence_id,work_id,version_id,extraction_field,normalized_value,evidence_source_level,source_locator,evidence_paraphrase,verification_status,notes
BAII4E0011,BAIIW0003,BAIIV0006,validation_and_robustness,window=NOT_REPORTED; processing=NOT_REPORTED; injection=NOT_REPORTED; ground_truth=NOT_REPORTED; selection_function=NOT_REPORTED; heldout=NOT_REPORTED,ABSTRACT,journal abstract/provider record,"Available source reports validation/robustness state: window robustness NOT_REPORTED, processing robustness NOT_REPORTED, injection–recovery NOT_REPORTED, known ground truth NOT_REPORTED, selection-function characterization NOT_REPORTED, held-out validation NOT_REPORTED.",VERIFIED_WITH_SOURCE_ACCESS_LIMITATION,No long verbatim quotation retained. Fields not resolved from the available source remain explicitly NOT_REPORTED.
BAII4E0012,BAIIW0003,BAIIV0006,reported_conclusions_and_limitations,"methodological=A neural-network QPP classifier is applied at very large TESS-catalogue scale.; catalog=The study reports 208,280 flares and a large set of M-star flare light curves classified as showing QPP features.; validation=Detailed classifier validation must be taken from the full article; it is not sufficiently resolved by the provider-level evidence used here.",ABSTRACT,journal abstract/provider record,Authors/source-level conclusions were paraphrased as: A neural-network QPP classifier is applied at very large TESS-catalogue scale. Validation context: Detailed classifier validation must be taken from the full article; it is not sufficiently resolved by the provider-level evidence used here. Limitations: The accessible provider-level evidence does not resolve the complete classifier-training/validation protocol.,VERIFIED_WITH_SOURCE_ACCESS_LIMITATION,No long verbatim quotation retained. Fields not resolved from the available source remain explicitly NOT_REPORTED.
BAII4E0013,BAIIW0004,BAIIV0008,population_and_sample,TESS=YES; sample=Single-star multi-sector TESS time series (GJ 3512); sample_size=1 star; flares=~1 flare/day; ~5 flares in Sector 60; QPP_candidates=1 recurrent 70–100 min signal,FULL_TEXT,"Sections 2, 4 and 6 of publisher HTML","Available source identifies the observational/sample scope as Single-star multi-sector TESS time series (GJ 3512); reported scale: 1 star, flares: ~1 flare/day; ~5 flares in Sector 60, QPP candidates: 1 recurrent 70–100 min signal.",VERIFIED_FROM_AVAILABLE_SOURCE,No long verbatim quotation retained. Fields not resolved from the available source remain explicitly NOT_REPORTED.
BAII4E0014,BAIIW0004,BAIIV0008,detection_method_and_processing,primary=Morlet continuous wavelet transform; additional=15-point moving-mean preprocessing; control-star instrumental check; inverse wavelet-band reconstruction; AFINO=NO; wavelet=YES; Bayesian=NO; gaps=YES,FULL_TEXT,"Sections 2, 4 and 6 of publisher HTML",Available source describes the primary analysis as Morlet continuous wavelet transform; additional processing/method information: 15-point moving-mean preprocessing; control-star instrumental check; inverse wavelet-band reconstruction.,VERIFIED_FROM_AVAILABLE_SOURCE,No long verbatim quotation retained. Fields not resolved from the available source remain explicitly NOT_REPORTED.
BAII4E0015,BAIIW0004,BAIIV0008,validation_and_robustness,window=YES; processing=YES; injection=NO; ground_truth=NO; selection_function=NO; heldout=NO,FULL_TEXT,"Sections 2, 4 and 6 of publisher HTML","Available source reports validation/robustness state: window robustness YES, processing robustness YES, injection–recovery NO, known ground truth NO, selection-function characterization NO, held-out validation NO.",VERIFIED_FROM_AVAILABLE_SOURCE,No long verbatim quotation retained. Fields not resolved from the available source remain explicitly NOT_REPORTED.
BAII4E0016,BAIIW0004,BAIIV0008,reported_conclusions_and_limitations,"methodological=A 70–100 min wavelet signal recurs across separate TESS sectors and survives instrumental/control checks.; catalog=The study is a one-star time-series analysis rather than a catalogue survey.; validation=Cross-sector recurrence, a same-CCD control star and smoothing-window checks support an intrinsic signal; no synthetic ground truth is used.",FULL_TEXT,"Sections 2, 4 and 6 of publisher HTML","Authors/source-level conclusions were paraphrased as: A 70–100 min wavelet signal recurs across separate TESS sectors and survives instrumental/control checks. Validation context: Cross-sector recurrence, a same-CCD control star and smoothing-window checks support an intrinsic signal; no synthetic ground truth is used. Limitations: Sector 60 detection is marginal and lower activity may reduce detectability; a physical coronal interpretation remains to be confirmed.",VERIFIED_FROM_AVAILABLE_SOURCE,No long verbatim quotation retained. Fields not resolved from the available source remain explicitly NOT_REPORTED.
BAII4E0017,BAIIW0006,BAIIV0011,population_and_sample,TESS=NO; sample=High-speed U-band dM-flare observations; sample_size=157 observed flares; 44 analyzed flares; flares=157 observed; 44 used for QPP analysis; QPP_candidates=13,ABSTRACT,conference article abstract,"Available source identifies the observational/sample scope as High-speed U-band dM-flare observations; reported scale: 157 observed flares; 44 analyzed flares, flares: 157 observed; 44 used for QPP analysis, QPP candidates: 13.",VERIFIED_FROM_AVAILABLE_SOURCE,No long verbatim quotation retained. Fields not resolved from the available source remain explicitly NOT_REPORTED.
BAII4E0018,BAIIW0006,BAIIV0011,detection_method_and_processing,primary=Fourier transform + empirical mode decomposition; additional=QPP envelope/amplitude classification; AFINO=NO; wavelet=NO; Bayesian=NO; gaps=NOT_REPORTED,ABSTRACT,conference article abstract,Available source describes the primary analysis as Fourier transform + empirical mode decomposition; additional processing/method information: QPP envelope/amplitude classification.,VERIFIED_FROM_AVAILABLE_SOURCE,No long verbatim quotation retained. Fields not resolved from the available source remain explicitly NOT_REPORTED.
BAII4E0019,BAIIW0006,BAIIV0011,validation_and_robustness,window=NOT_REPORTED; processing=NOT_REPORTED; injection=NO; ground_truth=NO; selection_function=NO; heldout=NO,ABSTRACT,conference article abstract,"Available source reports validation/robustness state: window robustness NOT_REPORTED, processing robustness NOT_REPORTED, injection–recovery NO, known ground truth NO, selection-function characterization NO, held-out validation NO.",VERIFIED_FROM_AVAILABLE_SOURCE,No long verbatim quotation retained. Fields not resolved from the available source remain explicitly NOT_REPORTED.
BAII4E0020,BAIIW0006,BAIIV0011,reported_conclusions_and_limitations,methodological=Fourier and EMD searches identify short-period stellar-flare QPPs in high-time-resolution ground data.; catalog=13 QPPs are reported among 44 analyzed flares.; validation=No injection–recovery or held-out validation is described in the conference abstract.,ABSTRACT,conference article abstract,Authors/source-level conclusions were paraphrased as: Fourier and EMD searches identify short-period stellar-flare QPPs in high-time-resolution ground data. Validation context: No injection–recovery or held-out validation is described in the conference abstract. Limitations: The analyzed flare subset and detection thresholds are not fully specified in the abstract.,VERIFIED_FROM_AVAILABLE_SOURCE,No long verbatim quotation retained. Fields not resolved from the available source remain explicitly NOT_REPORTED.
BAII4E0021,BAIIW0008,BAIIV0014,population_and_sample,TESS=NOT_APPLICABLE; sample=Review article; sample_size=NOT_APPLICABLE; flares=NOT_APPLICABLE; QPP_candidates=NOT_APPLICABLE,ABSTRACT,arXiv abstract,"Available source identifies the observational/sample scope as Review article; reported scale: NOT_APPLICABLE, flares: NOT_APPLICABLE, QPP candidates: NOT_APPLICABLE.",VERIFIED_FROM_AVAILABLE_SOURCE,No long verbatim quotation retained. Fields not resolved from the available source remain explicitly NOT_REPORTED.
BAII4E0022,BAIIW0008,BAIIV0014,detection_method_and_processing,"primary=Review of Fourier, wavelet, AFINO and related QPP techniques; additional=Comparative solar/stellar QPP synthesis; AFINO=NOT_APPLICABLE; wavelet=NOT_APPLICABLE; Bayesian=NOT_APPLICABLE; gaps=NOT_APPLICABLE",ABSTRACT,arXiv abstract,"Available source describes the primary analysis as Review of Fourier, wavelet, AFINO and related QPP techniques; additional processing/method information: Comparative solar/stellar QPP synthesis.",VERIFIED_FROM_AVAILABLE_SOURCE,No long verbatim quotation retained. Fields not resolved from the available source remain explicitly NOT_REPORTED.
BAII4E0023,BAIIW0008,BAIIV0014,validation_and_robustness,window=NOT_APPLICABLE; processing=NOT_APPLICABLE; injection=NOT_APPLICABLE; ground_truth=NOT_APPLICABLE; selection_function=NOT_APPLICABLE; heldout=NOT_APPLICABLE,ABSTRACT,arXiv abstract,"Available source reports validation/robustness state: window robustness NOT_APPLICABLE, processing robustness NOT_APPLICABLE, injection–recovery NOT_APPLICABLE, known ground truth NOT_APPLICABLE, selection-function characterization NOT_APPLICABLE, held-out validation NOT_APPLICABLE.",VERIFIED_FROM_AVAILABLE_SOURCE,No long verbatim quotation retained. Fields not resolved from the available source remain explicitly NOT_REPORTED.
BAII4E0024,BAIIW0008,BAIIV0014,reported_conclusions_and_limitations,methodological=The review emphasizes method diversity and common solar/stellar scaling despite different observing bands and characteristic periods.; catalog=NOT_APPLICABLE; validation=NOT_APPLICABLE,ABSTRACT,arXiv abstract,Authors/source-level conclusions were paraphrased as: The review emphasizes method diversity and common solar/stellar scaling despite different observing bands and characteristic periods. Validation context: NOT_APPLICABLE Limitations: Review-level synthesis is contextual and does not itself provide a new validation dataset.,VERIFIED_FROM_AVAILABLE_SOURCE,No long verbatim quotation retained. Fields not resolved from the available source remain explicitly NOT_REPORTED.
BAII4E0025,BAIIW0023,BAIIV0036,population_and_sample,"TESS=YES; sample=TESS 2-min all-sky machine-learning flare catalogue, Sectors 1–72; sample_size=1.3 million light curves; ~18,000 flare stars; flares=~250,000; QPP_candidates=NOT_APPLICABLE",ABSTRACT,arXiv abstract,"Available source identifies the observational/sample scope as TESS 2-min all-sky machine-learning flare catalogue, Sectors 1–72; reported scale: 1.3 million light curves; ~18,000 flare stars, flares: ~250,000, QPP candidates: NOT_APPLICABLE.",VERIFIED_FROM_AVAILABLE_SOURCE,No long verbatim quotation retained. Fields not resolved from the available source remain explicitly NOT_REPORTED.
BAII4E0026,BAIIW0023,BAIIV0036,detection_method_and_processing,primary=DNN / Random Forest / XGBoost flare identification; additional=Cross-validation against previously reported TESS M-dwarf flares; AFINO=NO; wavelet=NO; Bayesian=NO; gaps=NOT_REPORTED,ABSTRACT,arXiv abstract,Available source describes the primary analysis as DNN / Random Forest / XGBoost flare identification; additional processing/method information: Cross-validation against previously reported TESS M-dwarf flares.,VERIFIED_FROM_AVAILABLE_SOURCE,No long verbatim quotation retained. Fields not resolved from the available source remain explicitly NOT_REPORTED.
BAII4E0027,BAIIW0023,BAIIV0036,validation_and_robustness,window=NOT_APPLICABLE; processing=NOT_REPORTED; injection=NOT_REPORTED; ground_truth=NOT_REPORTED; selection_function=YES; heldout=NOT_REPORTED,ABSTRACT,arXiv abstract,"Available source reports validation/robustness state: window robustness NOT_APPLICABLE, processing robustness NOT_REPORTED, injection–recovery NOT_REPORTED, known ground truth NOT_REPORTED, selection-function characterization YES, held-out validation NOT_REPORTED.",VERIFIED_FROM_AVAILABLE_SOURCE,No long verbatim quotation retained. Fields not resolved from the available source remain explicitly NOT_REPORTED.
BAII4E0028,BAIIW0023,BAIIV0036,reported_conclusions_and_limitations,"methodological=Three ML algorithms achieve >94% standard classification metrics and recover >92% of previously reported TESS M-dwarf flares.; catalog=Processing 1.3 million light curves yields ~18,000 flare stars and ~250,000 flares.; validation=Validation against prior TESS flare identifications demonstrates recovery and added sensitivity; the abstract does not establish a held-out synthetic truth benchmark.",ABSTRACT,arXiv abstract,Authors/source-level conclusions were paraphrased as: Three ML algorithms achieve >94% standard classification metrics and recover >92% of previously reported TESS M-dwarf flares. Validation context: Validation against prior TESS flare identifications demonstrates recovery and added sensitivity; the abstract does not establish a held-out synthetic truth benchmark. Limitations: The abstract explicitly notes low-amplitude incompleteness affecting flare-frequency uncertainties.,VERIFIED_FROM_AVAILABLE_SOURCE,No long verbatim quotation retained. Fields not resolved from the available source remain explicitly NOT_REPORTED.
BAII4E0029,BAIIW0024,BAIIV0038,population_and_sample,TESS=YES; sample=Method-development study with simulation/injection-recovery and one TESS example; sample_size=1 TESS example star plus synthetic experiments; flares=NOT_REPORTED; QPP_candidates=NOT_APPLICABLE,ABSTRACT,arXiv abstract,"Available source identifies the observational/sample scope as Method-development study with simulation/injection-recovery and one TESS example; reported scale: 1 TESS example star plus synthetic experiments, flares: NOT_REPORTED, QPP candidates: NOT_APPLICABLE.",VERIFIED_FROM_AVAILABLE_SOURCE,No long verbatim quotation retained. Fields not resolved from the available source remain explicitly NOT_REPORTED.
BAII4E0030,BAIIW0024,BAIIV0038,detection_method_and_processing,primary=Three-state hidden Markov model with celerite baseline; additional=Simultaneous detrending and flare detection; sigma-clipping comparison; AFINO=NO; wavelet=NO; Bayesian=YES; gaps=NOT_REPORTED,ABSTRACT,arXiv abstract,Available source describes the primary analysis as Three-state hidden Markov model with celerite baseline; additional processing/method information: Simultaneous detrending and flare detection; sigma-clipping comparison.,VERIFIED_FROM_AVAILABLE_SOURCE,No long verbatim quotation retained. Fields not resolved from the available source remain explicitly NOT_REPORTED.
BAII4E0031,BAIIW0024,BAIIV0038,validation_and_robustness,window=NOT_APPLICABLE; processing=YES; injection=YES; ground_truth=YES; selection_function=YES; heldout=NOT_REPORTED,ABSTRACT,arXiv abstract,"Available source reports validation/robustness state: window robustness NOT_APPLICABLE, processing robustness YES, injection–recovery YES, known ground truth YES, selection-function characterization YES, held-out validation NOT_REPORTED.",VERIFIED_FROM_AVAILABLE_SOURCE,No long verbatim quotation retained. Fields not resolved from the available source remain explicitly NOT_REPORTED.
BAII4E0032,BAIIW0024,BAIIV0038,reported_conclusions_and_limitations,methodological=A joint HMM+celerite model detects flares while accounting for quasi-periodic stellar variability and can reduce multistage detrending bias.; catalog=NOT_APPLICABLE; validation=Injection–recovery evaluates detection/characterization; the method identifies fainter/lower-energy flares than sigma clipping in the reported tests.,ABSTRACT,arXiv abstract,Authors/source-level conclusions were paraphrased as: A joint HMM+celerite model detects flares while accounting for quasi-periodic stellar variability and can reduce multistage detrending bias. Validation context: Injection–recovery evaluates detection/characterization; the method identifies fainter/lower-energy flares than sigma clipping in the reported tests. Limitations: Independent held-out validation and a formal development/held-out split are not reported in the abstract.,VERIFIED_FROM_AVAILABLE_SOURCE,No long verbatim quotation retained. Fields not resolved from the available source remain explicitly NOT_REPORTED.
BAII4E0033,BAIIW0025,BAIIV0040,population_and_sample,TESS=YES; sample=Known active M dwarfs plus a volume-limited 15 pc M-dwarf sample; sample_size=538 M dwarfs within 15 pc (276 flaring) plus an active comparison population; flares=NOT_REPORTED; QPP_candidates=NOT_APPLICABLE,ABSTRACT,arXiv abstract,"Available source identifies the observational/sample scope as Known active M dwarfs plus a volume-limited 15 pc M-dwarf sample; reported scale: 538 M dwarfs within 15 pc (276 flaring) plus an active comparison population, flares: NOT_REPORTED, QPP candidates: NOT_APPLICABLE.",VERIFIED_FROM_AVAILABLE_SOURCE,No long verbatim quotation retained. Fields not resolved from the available source remain explicitly NOT_REPORTED.
BAII4E0034,BAIIW0025,BAIIV0040,detection_method_and_processing,primary=TESS flare detection and flare-frequency distributions; additional=FFD power-law comparison by activity level; AFINO=NO; wavelet=NO; Bayesian=NOT_REPORTED; gaps=NOT_REPORTED,ABSTRACT,arXiv abstract,Available source describes the primary analysis as TESS flare detection and flare-frequency distributions; additional processing/method information: FFD power-law comparison by activity level.,VERIFIED_FROM_AVAILABLE_SOURCE,No long verbatim quotation retained. Fields not resolved from the available source remain explicitly NOT_REPORTED.
BAII4E0035,BAIIW0025,BAIIV0040,validation_and_robustness,window=NOT_APPLICABLE; processing=NOT_REPORTED; injection=NOT_REPORTED; ground_truth=NO; selection_function=NOT_REPORTED; heldout=NO,ABSTRACT,arXiv abstract,"Available source reports validation/robustness state: window robustness NOT_APPLICABLE, processing robustness NOT_REPORTED, injection–recovery NOT_REPORTED, known ground truth NO, selection-function characterization NOT_REPORTED, held-out validation NO.",VERIFIED_FROM_AVAILABLE_SOURCE,No long verbatim quotation retained. Fields not resolved from the available source remain explicitly NOT_REPORTED.
BAII4E0036,BAIIW0025,BAIIV0040,reported_conclusions_and_limitations,methodological=The study compares cumulative FFDs across activity groups in TESS M dwarfs.; catalog=Flares are found in 276 of 538 M dwarfs in the 15 pc sample; FFD slopes are similar across high- and low-activity groups.; validation=No explicit injection–recovery or held-out validation is reported in the abstract.,ABSTRACT,arXiv abstract,Authors/source-level conclusions were paraphrased as: The study compares cumulative FFDs across activity groups in TESS M dwarfs. Validation context: No explicit injection–recovery or held-out validation is reported in the abstract. Limitations: The abstract does not describe the flare-detection completeness function.,VERIFIED_FROM_AVAILABLE_SOURCE,No long verbatim quotation retained. Fields not resolved from the available source remain explicitly NOT_REPORTED.
BAII4E0037,BAIIW0027,BAIIV0043,population_and_sample,"TESS=YES; sample=TESS flaring-star sample with inclination information; sample_size=1510 flaring stars; flares=~27,000; QPP_candidates=NOT_APPLICABLE",ABSTRACT,arXiv abstract,"Available source identifies the observational/sample scope as TESS flaring-star sample with inclination information; reported scale: 1510 flaring stars, flares: ~27,000, QPP candidates: NOT_APPLICABLE.",VERIFIED_FROM_AVAILABLE_SOURCE,No long verbatim quotation retained. Fields not resolved from the available source remain explicitly NOT_REPORTED.
BAII4E0038,BAIIW0027,BAIIV0043,detection_method_and_processing,primary=Population flare statistics versus stellar inclination and rotation; additional=Spectroscopic crossmatch; AFINO=NO; wavelet=NO; Bayesian=NO; gaps=NOT_REPORTED,ABSTRACT,arXiv abstract,Available source describes the primary analysis as Population flare statistics versus stellar inclination and rotation; additional processing/method information: Spectroscopic crossmatch.,VERIFIED_FROM_AVAILABLE_SOURCE,No long verbatim quotation retained. Fields not resolved from the available source remain explicitly NOT_REPORTED.
BAII4E0039,BAIIW0027,BAIIV0043,validation_and_robustness,window=NOT_APPLICABLE; processing=NOT_REPORTED; injection=NO; ground_truth=NO; selection_function=NOT_REPORTED; heldout=NO,ABSTRACT,arXiv abstract,"Available source reports validation/robustness state: window robustness NOT_APPLICABLE, processing robustness NOT_REPORTED, injection–recovery NO, known ground truth NO, selection-function characterization NOT_REPORTED, held-out validation NO.",VERIFIED_FROM_AVAILABLE_SOURCE,No long verbatim quotation retained. Fields not resolved from the available source remain explicitly NOT_REPORTED.
BAII4E0040,BAIIW0027,BAIIV0043,reported_conclusions_and_limitations,"methodological=Flare occurrence versus inclination is used to infer the latitude distribution of active regions.; catalog=~27,000 flares on 1510 TESS flaring stars are reported.; validation=No injection–recovery/held-out validation is reported in the abstract.",ABSTRACT,arXiv abstract,Authors/source-level conclusions were paraphrased as: Flare occurrence versus inclination is used to infer the latitude distribution of active regions. Validation context: No injection–recovery/held-out validation is reported in the abstract. Limitations: Detection dependence on inclination is itself part of the scientific result and should not be conflated with a calibrated detection completeness function.,VERIFIED_FROM_AVAILABLE_SOURCE,No long verbatim quotation retained. Fields not resolved from the available source remain explicitly NOT_REPORTED.
BAII4E0041,BAIIW0028,BAIIV0044,population_and_sample,TESS=YES; sample=RS CVn candidates crossmatched to TESS/LAMOST; sample_size=1812 RS CVn candidates; TESS subset reported in article; flares=1254 flares in 144 flare stars; QPP_candidates=NOT_APPLICABLE,ABSTRACT,journal abstract,"Available source identifies the observational/sample scope as RS CVn candidates crossmatched to TESS/LAMOST; reported scale: 1812 RS CVn candidates; TESS subset reported in article, flares: 1254 flares in 144 flare stars, QPP candidates: NOT_APPLICABLE.",VERIFIED_FROM_AVAILABLE_SOURCE,No long verbatim quotation retained. Fields not resolved from the available source remain explicitly NOT_REPORTED.
BAII4E0042,BAIIW0028,BAIIV0044,detection_method_and_processing,primary=TESS flare-catalogue statistics; additional=LAMOST activity indicators; AFINO=NO; wavelet=NO; Bayesian=NOT_REPORTED; gaps=NOT_REPORTED,ABSTRACT,journal abstract,Available source describes the primary analysis as TESS flare-catalogue statistics; additional processing/method information: LAMOST activity indicators.,VERIFIED_FROM_AVAILABLE_SOURCE,No long verbatim quotation retained. Fields not resolved from the available source remain explicitly NOT_REPORTED.
BAII4E0043,BAIIW0028,BAIIV0044,validation_and_robustness,window=NOT_APPLICABLE; processing=NOT_REPORTED; injection=NO; ground_truth=NO; selection_function=NOT_REPORTED; heldout=NO,ABSTRACT,journal abstract,"Available source reports validation/robustness state: window robustness NOT_APPLICABLE, processing robustness NOT_REPORTED, injection–recovery NO, known ground truth NO, selection-function characterization NOT_REPORTED, held-out validation NO.",VERIFIED_FROM_AVAILABLE_SOURCE,No long verbatim quotation retained. Fields not resolved from the available source remain explicitly NOT_REPORTED.
BAII4E0044,BAIIW0028,BAIIV0044,reported_conclusions_and_limitations,methodological=TESS flare statistics are combined with LAMOST indicators for RS CVn activity characterization.; catalog=The TESS subset contains 1254 flares in 144 flare-active RS CVn systems.; validation=No synthetic/held-out validation is resolved from the abstract.,ABSTRACT,journal abstract,Authors/source-level conclusions were paraphrased as: TESS flare statistics are combined with LAMOST indicators for RS CVn activity characterization. Validation context: No synthetic/held-out validation is resolved from the abstract. Limitations: Detailed detection-completeness treatment is not resolved in the abstract evidence.,VERIFIED_FROM_AVAILABLE_SOURCE,No long verbatim quotation retained. Fields not resolved from the available source remain explicitly NOT_REPORTED.
BAII4E0045,BAIIW0029,BAIIV0045,population_and_sample,"TESS=YES; sample=Single M dwarf (Wolf 359) across multiple TESS sectors; sample_size=1 star; flares=48;46;32 flares across Sectors 45,46,72; QPP_candidates=2 complex flare events with reported oscillations",ABSTRACT,journal abstract/provider record,"Available source identifies the observational/sample scope as Single M dwarf (Wolf 359) across multiple TESS sectors; reported scale: 1 star, flares: 48;46;32 flares across Sectors 45,46,72, QPP candidates: 2 complex flare events with reported oscillations.",VERIFIED_WITH_SOURCE_ACCESS_LIMITATION,No long verbatim quotation retained. Fields not resolved from the available source remain explicitly NOT_REPORTED.
BAII4E0046,BAIIW0029,BAIIV0045,detection_method_and_processing,primary=TESS flare/starspot time-series analysis; additional=QPP characterization in two complex flares; AFINO=NO; wavelet=NOT_REPORTED; Bayesian=NOT_REPORTED; gaps=NOT_REPORTED,ABSTRACT,journal abstract/provider record,Available source describes the primary analysis as TESS flare/starspot time-series analysis; additional processing/method information: QPP characterization in two complex flares.,VERIFIED_WITH_SOURCE_ACCESS_LIMITATION,No long verbatim quotation retained. Fields not resolved from the available source remain explicitly NOT_REPORTED.
BAII4E0047,BAIIW0029,BAIIV0045,validation_and_robustness,window=NOT_REPORTED; processing=NOT_REPORTED; injection=NO; ground_truth=NO; selection_function=NO; heldout=NO,ABSTRACT,journal abstract/provider record,"Available source reports validation/robustness state: window robustness NOT_REPORTED, processing robustness NOT_REPORTED, injection–recovery NO, known ground truth NO, selection-function characterization NO, held-out validation NO.",VERIFIED_WITH_SOURCE_ACCESS_LIMITATION,No long verbatim quotation retained. Fields not resolved from the available source remain explicitly NOT_REPORTED.
