work_id,preferred_version_id,relevance_labels,direct_f3a_overlap,direct_f3b_overlap,catalog_overlap_summary,method_overlap_summary,robustness_overlap_summary,validation_overlap_summary,f3a_design_impact,f3b_design_impact,manuscript1_positioning_impact,comparator_candidate,comparator_candidate_reason,design_issue_description,design_issue_evidence_ids,assessment_status,notes
BAIIW0028,BAIIV0044,CATALOG_RELEVANT,PARTIAL,CONTEXT_ONLY,RS CVn candidates crossmatched to TESS/LAMOST; reported scale 1812 RS CVn candidates; TESS subset reported in article; TESS=YES.,TESS flare-catalogue statistics; additional methods: LAMOST activity indicators.,Window robustness=NOT_APPLICABLE; processing robustness=NOT_REPORTED; quality robustness=NOT_REPORTED; gap robustness=NOT_REPORTED; optimizer stability=NOT_APPLICABLE.,Synthetic data=NO; injection–recovery=NO; ground truth=NO; selection function=NOT_REPORTED; completeness=NOT_REPORTED; held-out=NO.,NO_DESIGN_IMPACT,NO_DESIGN_IMPACT,NO_DESIGN_IMPACT,false,NOT_APPLICABLE,No concrete prospective design change is indicated by the available evidence; the work remains contextual for the frozen comparison dimensions.,NOT_APPLICABLE,COMPLETE,Prospective overlap/impact assessment only; F3A/F3B are not modified and no novelty claim or final BAII.5 gate decision is made.
BAIIW0029,BAIIV0045,CATALOG_RELEVANT,PARTIAL,CONTEXT_ONLY,Single M dwarf (Wolf 359) across multiple TESS sectors; reported scale 1 star; TESS=YES.,TESS flare/starspot time-series analysis; additional methods: QPP characterization in two complex flares.,Window robustness=NOT_REPORTED; processing robustness=NOT_REPORTED; quality robustness=NOT_REPORTED; gap robustness=NOT_REPORTED; optimizer stability=NOT_APPLICABLE.,Synthetic data=NO; injection–recovery=NO; ground truth=NO; selection function=NO; completeness=NO; held-out=NO.,NO_DESIGN_IMPACT,NO_DESIGN_IMPACT,POSITIONING_ONLY,false,NOT_APPLICABLE,The work should be reflected in Manuscript 1 background/positioning without treating this assessment as a novelty verdict.,BAII4E0045;BAII4E0046;BAII4E0047;BAII4E0048,COMPLETE_WITH_ACCESS_LIMITATION,Prospective overlap/impact assessment only; F3A/F3B are not modified and no novelty claim or final BAII.5 gate decision is made.
BAIIW0033,BAIIV0053,CATALOG_RELEVANT,PARTIAL,CONTEXT_ONLY,Ultra-cool dwarfs M4–L4; reported scale 208 UCDs; TESS=YES.,TESS rotation and flare-frequency analysis; additional methods: Bolometric flare energies and FFDs.,Window robustness=NOT_APPLICABLE; processing robustness=YES; quality robustness=NOT_REPORTED; gap robustness=NOT_REPORTED; optimizer stability=NOT_APPLICABLE.,Synthetic data=NO; injection–recovery=NO; ground truth=NO; selection function=NOT_REPORTED; completeness=NOT_REPORTED; held-out=NO.,NO_DESIGN_IMPACT,NO_DESIGN_IMPACT,NO_DESIGN_IMPACT,false,NOT_APPLICABLE,No concrete prospective design change is indicated by the available evidence; the work remains contextual for the frozen comparison dimensions.,NOT_APPLICABLE,COMPLETE,Prospective overlap/impact assessment only; F3A/F3B are not modified and no novelty claim or final BAII.5 gate decision is made.
BAIIW0035,BAIIV0057,CATALOG_RELEVANT,PARTIAL,CONTEXT_ONLY,Kepler/TESS star–planet systems; reported scale 1811 systems searched; 25 single stars with ≥3 flares; TESS=YES.,Orbital-phase clustering of stellar flares; additional methods: Comparison with theoretical magnetic-interaction power.,Window robustness=NOT_APPLICABLE; processing robustness=NOT_REPORTED; quality robustness=NOT_REPORTED; gap robustness=NOT_REPORTED; optimizer stability=NOT_APPLICABLE.,Synthetic data=NO; injection–recovery=NO; ground truth=NO; selection function=NO; completeness=NO; held-out=NO.,NO_DESIGN_IMPACT,NO_DESIGN_IMPACT,NO_DESIGN_IMPACT,false,NOT_APPLICABLE,No concrete prospective design change is indicated by the available evidence; the work remains contextual for the frozen comparison dimensions.,NOT_APPLICABLE,COMPLETE,Prospective overlap/impact assessment only; F3A/F3B are not modified and no novelty claim or final BAII.5 gate decision is made.
BAIIW0037,BAIIV0060,DETECTION_METHOD_RELEVANT;ROBUSTNESS_RELEVANT,PARTIAL,CONTEXT_ONLY,Method study demonstrated on three TESS stars; reported scale 3 exemplar stars; TESS=YES.,Time-varying harmonic trend + ARMA/GARCH flare detection; additional methods: Threshold-dependent flare characterization and power-law energy/peak-flux distributions.,Window robustness=NOT_APPLICABLE; processing robustness=YES; quality robustness=NOT_REPORTED; gap robustness=NOT_REPORTED; optimizer stability=NOT_REPORTED.,Synthetic data=NOT_REPORTED; injection–recovery=NOT_REPORTED; ground truth=NOT_REPORTED; selection function=NOT_REPORTED; completeness=NOT_REPORTED; held-out=NOT_REPORTED.,F3A_DESIGN_ADJUSTMENT_POSSIBLE,NO_DESIGN_IMPACT,POSITIONING_ONLY,true,The source describes a sufficiently concrete procedure (Time-varying harmonic trend + ARMA/GARCH flare detection) to support a prospective method comparison; incorporation is not decided in BAII.4.,"A concrete catalogue, processing, robustness or comparator choice from this work should be considered prospectively before F3A freeze. The work should be reflected in Manuscript 1 background/positioning without treating this assessment as a novelty verdict.",BAII4E0057;BAII4E0058;BAII4E0059;BAII4E0060,COMPLETE,Prospective overlap/impact assessment only; F3A/F3B are not modified and no novelty claim or final BAII.5 gate decision is made.
BAIIW0040,BAIIV0064,CATALOG_RELEVANT,PARTIAL,CONTEXT_ONLY,Solar-type superflare stars; reported scale 711 selected TESS superflare stars; 401 with KWS records; TESS=YES.,Long-term activity-cycle analysis combining TESS selection and archival ground photometry; additional methods: NOT_REPORTED.,Window robustness=NOT_APPLICABLE; processing robustness=NOT_REPORTED; quality robustness=NOT_REPORTED; gap robustness=NOT_REPORTED; optimizer stability=NOT_APPLICABLE.,Synthetic data=NO; injection–recovery=NO; ground truth=NO; selection function=NO; completeness=NO; held-out=NO.,NO_DESIGN_IMPACT,NO_DESIGN_IMPACT,NO_DESIGN_IMPACT,false,NOT_APPLICABLE,No concrete prospective design change is indicated by the available evidence; the work remains contextual for the frozen comparison dimensions.,NOT_APPLICABLE,COMPLETE,Prospective overlap/impact assessment only; F3A/F3B are not modified and no novelty claim or final BAII.5 gate decision is made.
BAIIW0041,BAIIV0066,CATALOG_RELEVANT,PARTIAL,CONTEXT_ONLY,26 young moving groups/clusters/associations (<300 Myr); reported scale 3157 flaring stars; rotation periods for 1847; TESS=YES.,TESS population flare-rate/FFD analysis; additional methods: Rotation and annual flare-rate variability.,Window robustness=NOT_APPLICABLE; processing robustness=NOT_REPORTED; quality robustness=NOT_REPORTED; gap robustness=NOT_REPORTED; optimizer stability=NOT_APPLICABLE.,Synthetic data=NO; injection–recovery=NO; ground truth=NO; selection function=NOT_REPORTED; completeness=NOT_REPORTED; held-out=NO.,NO_DESIGN_IMPACT,NO_DESIGN_IMPACT,NO_DESIGN_IMPACT,false,NOT_APPLICABLE,No concrete prospective design change is indicated by the available evidence; the work remains contextual for the frozen comparison dimensions.,NOT_APPLICABLE,COMPLETE,Prospective overlap/impact assessment only; F3A/F3B are not modified and no novelty claim or final BAII.5 gate decision is made.
BAIIW0043,BAIIV0068,CATALOG_RELEVANT,PARTIAL,CONTEXT_ONLY,eRASS1 X-ray stars crossmatched with TESS and LAMOST; reported scale 1430 flare-active stars reported in accessible abstract summary; TESS=YES.,TESS flare survey of X-ray-selected stars; additional methods: LAMOST spectroscopy/eROSITA context.,Window robustness=NOT_APPLICABLE; processing robustness=NOT_REPORTED; quality robustness=NOT_REPORTED; gap robustness=NOT_REPORTED; optimizer stability=NOT_APPLICABLE.,Synthetic data=NOT_REPORTED; injection–recovery=NOT_REPORTED; ground truth=NOT_REPORTED; selection function=NOT_REPORTED; completeness=NOT_REPORTED; held-out=NOT_REPORTED.,NO_DESIGN_IMPACT,NO_DESIGN_IMPACT,NO_DESIGN_IMPACT,false,NOT_APPLICABLE,No concrete prospective design change is indicated by the available evidence; the work remains contextual for the frozen comparison dimensions.,NOT_APPLICABLE,COMPLETE_WITH_ACCESS_LIMITATION,Prospective overlap/impact assessment only; F3A/F3B are not modified and no novelty claim or final BAII.5 gate decision is made.
BAIIW0050,BAIIV0080,CATALOG_RELEVANT,PARTIAL,CONTEXT_ONLY,Sample of active M dwarfs; reported scale NOT_REPORTED; TESS=YES.,TESS flare occurrence + FFD + rotation/starspot/spectroscopic activity analysis; additional methods: Hα and chromospheric indicators.,Window robustness=NOT_APPLICABLE; processing robustness=NOT_REPORTED; quality robustness=NOT_REPORTED; gap robustness=NOT_REPORTED; optimizer stability=NOT_APPLICABLE.,Synthetic data=NO; injection–recovery=NO; ground truth=NO; selection function=NOT_REPORTED; completeness=NOT_REPORTED; held-out=NO.,NO_DESIGN_IMPACT,NO_DESIGN_IMPACT,NO_DESIGN_IMPACT,false,NOT_APPLICABLE,No concrete prospective design change is indicated by the available evidence; the work remains contextual for the frozen comparison dimensions.,NOT_APPLICABLE,COMPLETE,Prospective overlap/impact assessment only; F3A/F3B are not modified and no novelty claim or final BAII.5 gate decision is made.
BAIIW0053,BAIIV0085,CATALOG_RELEVANT,PARTIAL,CONTEXT_ONLY,Three nearby young solar-type stars over ~7 years; reported scale 3 stars; TESS=YES.,"Sector-level flare frequency, starspot area and rotation analysis; additional methods: Time-resolved correlation across sectors.",Window robustness=YES; processing robustness=NOT_REPORTED; quality robustness=NOT_REPORTED; gap robustness=NOT_REPORTED; optimizer stability=NOT_APPLICABLE.,Synthetic data=NO; injection–recovery=NO; ground truth=NO; selection function=NO; completeness=NO; held-out=NO.,NO_DESIGN_IMPACT,NO_DESIGN_IMPACT,NO_DESIGN_IMPACT,false,NOT_APPLICABLE,No concrete prospective design change is indicated by the available evidence; the work remains contextual for the frozen comparison dimensions.,NOT_APPLICABLE,COMPLETE,Prospective overlap/impact assessment only; F3A/F3B are not modified and no novelty claim or final BAII.5 gate decision is made.
BAIIW0055,BAIIV0088,CATALOG_RELEVANT,PARTIAL,CONTEXT_ONLY,Radio-star catalog crossmatched with TESS; reported scale 1537 catalog radio stars + 98 survey radio stars; TESS=YES.,Repeated fitting for flare/background separation; additional methods: LAMOST/Gaia/radio activity comparison.,Window robustness=NOT_APPLICABLE; processing robustness=NOT_REPORTED; quality robustness=NOT_REPORTED; gap robustness=NOT_REPORTED; optimizer stability=NOT_APPLICABLE.,Synthetic data=NO; injection–recovery=NO; ground truth=NO; selection function=NOT_REPORTED; completeness=NOT_REPORTED; held-out=NO.,NO_DESIGN_IMPACT,NO_DESIGN_IMPACT,NO_DESIGN_IMPACT,false,NOT_APPLICABLE,No concrete prospective design change is indicated by the available evidence; the work remains contextual for the frozen comparison dimensions.,NOT_APPLICABLE,COMPLETE,Prospective overlap/impact assessment only; F3A/F3B are not modified and no novelty claim or final BAII.5 gate decision is made.
BAIIW0057,BAIIV0090,CATALOG_RELEVANT,PARTIAL,CONTEXT_ONLY,Wide noninteracting binaries in TESS Cycle 3; reported scale 3912 binaries; TESS=YES.,AltaiPony flare detection; additional methods: Flare frequency/equivalent duration vs rotation.,Window robustness=NOT_APPLICABLE; processing robustness=NOT_REPORTED; quality robustness=NOT_REPORTED; gap robustness=NOT_REPORTED; optimizer stability=NOT_APPLICABLE.,Synthetic data=NO; injection–recovery=NO; ground truth=NO; selection function=NOT_REPORTED; completeness=NOT_REPORTED; held-out=NO.,NO_DESIGN_IMPACT,NO_DESIGN_IMPACT,NO_DESIGN_IMPACT,false,NOT_APPLICABLE,No concrete prospective design change is indicated by the available evidence; the work remains contextual for the frozen comparison dimensions.,NOT_APPLICABLE,COMPLETE,Prospective overlap/impact assessment only; F3A/F3B are not modified and no novelty claim or final BAII.5 gate decision is made.
BAIIW0065,BAIIV0101,CATALOG_RELEVANT,PARTIAL,CONTEXT_ONLY,β Pictoris and AB Doradus moving-group low-mass stars; reported scale NOT_REPORTED; TESS=YES.,Outlier detection + morphology-informed machine learning; additional methods: Flare rate/energy versus stellar properties.,Window robustness=NOT_APPLICABLE; processing robustness=NOT_REPORTED; quality robustness=YES; gap robustness=NOT_REPORTED; optimizer stability=NOT_APPLICABLE.,Synthetic data=NO; injection–recovery=NO; ground truth=NO; selection function=NOT_REPORTED; completeness=NOT_REPORTED; held-out=NO.,NO_DESIGN_IMPACT,NO_DESIGN_IMPACT,NO_DESIGN_IMPACT,false,NOT_APPLICABLE,No concrete prospective design change is indicated by the available evidence; the work remains contextual for the frozen comparison dimensions.,NOT_APPLICABLE,COMPLETE,Prospective overlap/impact assessment only; F3A/F3B are not modified and no novelty claim or final BAII.5 gate decision is made.
BAIIW0071,BAIIV0113,DIRECT_F3B_OVERLAP;CATALOG_RELEVANT;SELECTION_FUNCTION_RELEVANT,PARTIAL,DIRECT,"TESS Continuous Viewing Zone long-baseline short-cadence survey; reported scale >14,000 stars; TESS=YES.",Long-term flare-rate monitoring with per-star injection–recovery; additional methods: Completeness limits and activity-cycle search.,Window robustness=YES; processing robustness=NOT_REPORTED; quality robustness=NOT_REPORTED; gap robustness=NOT_REPORTED; optimizer stability=NOT_APPLICABLE.,Synthetic data=YES; injection–recovery=YES; ground truth=YES; selection function=YES; completeness=YES; held-out=NOT_REPORTED.,F3A_DESIGN_ADJUSTMENT_POSSIBLE,F3B_DESIGN_ADJUSTMENT_POSSIBLE,POSITIONING_ONLY,false,NOT_APPLICABLE,"A concrete catalogue, processing, robustness or comparator choice from this work should be considered prospectively before F3A freeze. The reported simulation/injection/selection framework provides a concrete consideration for Phase 3B validation design. The work should be reflected in Manuscript 1 background/positioning without treating this assessment as a novelty verdict.",BAII4E0093;BAII4E0094;BAII4E0095;BAII4E0096,COMPLETE,Prospective overlap/impact assessment only; F3A/F3B are not modified and no novelty claim or final BAII.5 gate decision is made.
BAIIW0098,BAIIV0156,DIRECT_F3B_OVERLAP;DETECTION_METHOD_RELEVANT;SELECTION_FUNCTION_RELEVANT,PARTIAL,DIRECT,"Synthetic QPP/non-QPP training set + Kepler flare validation/application; reported scale 90,000 synthetic flare light curves; 2274-event Kepler catalogue application; TESS=NO.",Fully convolutional neural network (FCN) QPP classifier; additional methods: Synthetic train/test + known-QPP real-data check.,Window robustness=NOT_REPORTED; processing robustness=NOT_REPORTED; quality robustness=NOT_REPORTED; gap robustness=NOT_REPORTED; optimizer stability=NOT_REPORTED.,Synthetic data=YES; injection–recovery=YES; ground truth=YES; selection function=YES; completeness=YES; held-out=YES.,F3A_DESIGN_ADJUSTMENT_POSSIBLE,F3B_DESIGN_ADJUSTMENT_POSSIBLE,POSITIONING_ONLY,true,The source describes a sufficiently concrete procedure (Fully convolutional neural network (FCN) QPP classifier) to support a prospective method comparison; incorporation is not decided in BAII.4.,"A concrete catalogue, processing, robustness or comparator choice from this work should be considered prospectively before F3A freeze. The reported simulation/injection/selection framework provides a concrete consideration for Phase 3B validation design. The work should be reflected in Manuscript 1 background/positioning without treating this assessment as a novelty verdict.",BAII4E0097;BAII4E0098;BAII4E0099;BAII4E0100,COMPLETE,Prospective overlap/impact assessment only; F3A/F3B are not modified and no novelty claim or final BAII.5 gate decision is made.
BAIIW0100,BAIIV0160,DETECTION_METHOD_RELEVANT;ROBUSTNESS_RELEVANT;PHYSICAL_CONTEXT,PARTIAL,CONTEXT_ONLY,"Solar EUV brightenings at 1-s cadence; reported scale >500,000 active-region and ~300,000 quiet-Sun brightenings; TESS=NO.",Fourier + EEMD + wavelet QPP analysis; additional methods: Automated EUV brightening detection.,Window robustness=NOT_REPORTED; processing robustness=YES; quality robustness=NOT_REPORTED; gap robustness=NOT_REPORTED; optimizer stability=NOT_APPLICABLE.,Synthetic data=NO; injection–recovery=NO; ground truth=NO; selection function=NO; completeness=NO; held-out=NO.,NO_DESIGN_IMPACT,NO_DESIGN_IMPACT,POSITIONING_ONLY,false,NOT_APPLICABLE,The work should be reflected in Manuscript 1 background/positioning without treating this assessment as a novelty verdict.,BAII4E0101;BAII4E0102;BAII4E0103;BAII4E0104,COMPLETE,Prospective overlap/impact assessment only; F3A/F3B are not modified and no novelty claim or final BAII.5 gate decision is made.
