occurrence_id,manuscript_version,term,section_or_artifact,paragraph_id,claim_ids,evidence_planes,occurrence_count,scope_explicit,qualification_present,context_class,status,excerpt
M14V2L011,V2,PRIORITY,1,M1P0004,M1C028,M1EP06,1,true,true,PRIORITY_FIREWALL_OR_ORDINAL_CONTEXT,PASS,"The observational starting point is the published 20-second-cadence TESS flare analysis that motivated the reproduction cohort. Related TESS studies demonstrate that QPP catalogue construction and classification are already active methodological areas, while adjacent flare and QPP work contains injection-recovery and known-truth evaluation analogues. These precedents make two boundaries important. First, observational reference labels cannot be promoted to physical ground truth merely because th"
M14V2L012,V2,ROBUSTNESS,1,M1P0006,M1C028,M1EP06,1,true,true,SCOPE_PRESENT_IN_TRACE_CONTEXT,PASS,"Within those boundaries, the manuscript asks a narrower methodological question: what can be established when one fixed public AFINO implementation is followed from observational reproduction through controlled robustness tests to synthetic known-truth evaluation, without collapsing the different truth conditions? The resulting evidence is deliberately layered. The study can describe whether published reference classifications reproduce, whether classifications change under prospectively specifi"
M14V2L013,V2,STABILITY,1,M1P0006,M1C028,M1EP06,1,true,true,SCOPE_PRESENT_IN_TRACE_CONTEXT,PASS,"Within those boundaries, the manuscript asks a narrower methodological question: what can be established when one fixed public AFINO implementation is followed from observational reproduction through controlled robustness tests to synthetic known-truth evaluation, without collapsing the different truth conditions? The resulting evidence is deliberately layered. The study can describe whether published reference classifications reproduce, whether classifications change under prospectively specifi"
M14V2L014,V2,CORRECTION,1,M1P0006,M1C028,M1EP06,1,true,true,SCOPE_PRESENT_IN_TRACE_CONTEXT,PASS,"Within those boundaries, the manuscript asks a narrower methodological question: what can be established when one fixed public AFINO implementation is followed from observational reproduction through controlled robustness tests to synthetic known-truth evaluation, without collapsing the different truth conditions? The resulting evidence is deliberately layered. The study can describe whether published reference classifications reproduce, whether classifications change under prospectively specifi"
M14V2L015,V2,ROBUSTNESS,1,M1P0053,M1C028,M1EP06,1,true,true,SCOPE_PRESENT_IN_TRACE_CONTEXT,PASS,"A central practical difficulty is that apparently similar QPP detections can arise from pipelines with different temporal support, preprocessing, stochastic-background assumptions, and decision rules. A catalogue-level agreement or disagreement is therefore ambiguous unless the underlying implementation and input contract are specified. The frozen literature audit supports this methodological framing without implying that one existing technique is preferred. It also motivates the prospective str"
M14V2L016,V2,ROBUSTNESS,2,M1P0007,M1C029,M1EP01;M1EP02;M1EP03;M1EP04;M1EP05,2,true,true,SCOPE_PRESENT_IN_TRACE_CONTEXT,PASS,The analysis is organized into five primary evidence planes with distinct truth conditions. F0 is observational reproduction: it asks whether a frozen public-code protocol can reproduce selected published TESS reference classifications. F1 is a synthetic/numerical benchmark with known truth inside a designed domain. F2 is a small observational robustness pilot in which repeated methodological perturbations are applied to frozen reference events. F3A extends that robustness design to catalogue sc
M14V2L017,V2,VALIDATION,2,M1P0008,M1C029,M1EP05,3,true,true,SYNTHETIC_GROUND_TRUTH_SCOPE_EXPLICIT,PASS,"This separation governs the terminology used throughout the paper. Reproduction means agreement with a frozen observational reference under a specified public-code protocol; it does not mean physical validation. Robustness means stability or change of a reference classification under repeated perturbations; it does not imply a confusion matrix when truth is unknown. Synthetic-ground-truth performance refers only to the designed simulation domain. Finally, held-out validation is used only with an"
M14V2L018,V2,GROUND_TRUTH,2,M1P0008,M1C029,M1EP05,2,true,true,SCOPE_PRESENT_IN_TRACE_CONTEXT,PASS,"This separation governs the terminology used throughout the paper. Reproduction means agreement with a frozen observational reference under a specified public-code protocol; it does not mean physical validation. Robustness means stability or change of a reference classification under repeated perturbations; it does not imply a confusion matrix when truth is unknown. Synthetic-ground-truth performance refers only to the designed simulation domain. Finally, held-out validation is used only with an"
M14V2L019,V2,ROBUSTNESS,2,M1P0008,M1C029,M1EP05,1,true,true,SCOPE_PRESENT_IN_TRACE_CONTEXT,PASS,"This separation governs the terminology used throughout the paper. Reproduction means agreement with a frozen observational reference under a specified public-code protocol; it does not mean physical validation. Robustness means stability or change of a reference classification under repeated perturbations; it does not imply a confusion matrix when truth is unknown. Synthetic-ground-truth performance refers only to the designed simulation domain. Finally, held-out validation is used only with an"
M14V2L020,V2,STABILITY,2,M1P0008,M1C029,M1EP05,1,true,true,SCOPE_PRESENT_IN_TRACE_CONTEXT,PASS,"This separation governs the terminology used throughout the paper. Reproduction means agreement with a frozen observational reference under a specified public-code protocol; it does not mean physical validation. Robustness means stability or change of a reference classification under repeated perturbations; it does not imply a confusion matrix when truth is unknown. Synthetic-ground-truth performance refers only to the designed simulation domain. Finally, held-out validation is used only with an"
M14V2L021,V2,ROBUSTNESS,3.1,M1P0009,M1C001,M1EP01,1,true,true,SCOPE_PRESENT_IN_TRACE_CONTEXT,PASS,"The observational baseline used the public AFINO release at the frozen repository commit and package version 0.5. The effective TESS protocol was reconstructed empirically before downstream robustness analyses. Primary inputs used PDCSAP flux with finite values retained, an inclusive cadence-index window anchored to the nearest time markers, and time expressed relative to the first included cadence. The public preprocessing normalized by the mean, applied a Hann window, computed the Fourier spec"
M14V2L022,V2,PRIORITY,3.1,M1P0009,M1C001,M1EP01,1,true,true,PRIORITY_FIREWALL_OR_ORDINAL_CONTEXT,PASS,"The observational baseline used the public AFINO release at the frozen repository commit and package version 0.5. The effective TESS protocol was reconstructed empirically before downstream robustness analyses. Primary inputs used PDCSAP flux with finite values retained, an inclusive cadence-index window anchored to the nearest time markers, and time expressed relative to the first included cadence. The public preprocessing normalized by the mean, applied a Hann window, computed the Fourier spec"
M14V2L023,V2,STABILITY,3.1,M1P0010,M1C001,M1EP01,1,true,true,SCOPE_PRESENT_IN_TRACE_CONTEXT,PASS,"The QPP decision required both BIC contrasts to exceed the frozen threshold: the QPP model had to improve on the simple background and on the broken-power-law alternative. The operational rule was strict, with both delta-BIC quantities greater than 10. Candidate periods were constrained to the empirically reconstructed 40--300 s range. External optimizer seeds were reset before each model fit and used to characterize decision stability, while formal optimizer convergence remained unauditable bec"
M14V2L024,V2,STABILITY,3.2,M1P0014,M1C003,M1EP02,1,true,true,SCOPE_PRESENT_IN_TRACE_CONTEXT,PASS,"Numerical diagnostics were recorded independently of the binary classifier. The frozen analyses tracked model bounds, warnings, variation of BIC across external optimizer seeds, and multiplicity flags for the broken-power-law model. A stable binary decision across seeds was not treated as evidence of a unique global optimum. Likewise, a warning or bound contact was not used post hoc to accept or reject a scientific decision. This separation was maintained because the public implementation did no"
M14V2L025,V2,ROBUSTNESS,3.2,M1P0056,M1C002;M1C003,M1EP02,1,true,true,SCOPE_PRESENT_IN_TRACE_CONTEXT,PASS,"The synthetic benchmark was used primarily as a map of operating behavior rather than as a single score. Conditions were examined in their frozen strata so that support, signal period, signal fraction, and red-noise properties remained visible. This mattered because the selection rule requires simultaneous evidence against two backgrounds and the limiting comparison can change with the observed support. The nested experiment further showed why a longer segment cannot be interpreted as a clean in"
M14V2L026,V2,ROBUSTNESS,3.3,M1P0015,M1C004,M1EP03,1,true,true,SCOPE_PRESENT_IN_TRACE_CONTEXT,PASS,"F2 translated the synthetic motivation into a prospective observational robustness pilot. The frozen cohort contained 10 events organized as five pairs, with one published-QPP reference and one matched not-selected reference per pair. Each event was evaluated over 13 temporal windows and six processing profiles, yielding the frozen perturbation matrix per event. The profiles covered finite-flux, quality-filtered, SAP/PDCSAP, detrending, and quality-zero variants defined before execution. Repeate"
M14V2L027,V2,ROBUSTNESS,3.3,M1P0016,M1C004,M1EP03,1,true,true,SCOPE_PRESENT_IN_TRACE_CONTEXT,PASS,"Input admissibility was an explicit outcome. Variants that violated sampling, cadence-count, or peak-retention requirements were labeled INPUT_INADMISSIBLE rather than recoded as non-selections. Classification transitions were defined relative to a frozen W00/P00 baseline for each event, while additional temporal and processing contrasts used their own local references. Period robustness was computed only when both compared states remained selected and had an available selected-period output. Se"
M14V2L028,V2,STABILITY,3.3,M1P0016,M1C004,M1EP03,1,true,true,SCOPE_PRESENT_IN_TRACE_CONTEXT,PASS,"Input admissibility was an explicit outcome. Variants that violated sampling, cadence-count, or peak-retention requirements were labeled INPUT_INADMISSIBLE rather than recoded as non-selections. Classification transitions were defined relative to a frozen W00/P00 baseline for each event, while additional temporal and processing contrasts used their own local references. Period robustness was computed only when both compared states remained selected and had an available selected-period output. Se"
M14V2L029,V2,GROUND_TRUTH,3.3,M1P0057,M1C004,M1EP03,1,true,true,SCOPE_PRESENT_IN_TRACE_CONTEXT,PASS,"The F2 analysis treated input admissibility as part of methodological robustness because preprocessing can change whether the AFINO input contract is satisfied. A quality filter can remove a flare peak, a shortened window can leave too few cadences, and filtering can create irregular sampling. Recording these cases explicitly prevents a methodological perturbation from appearing artificially conservative simply because problematic inputs disappear from the analyzed denominator. The same principl"
M14V2L030,V2,ROBUSTNESS,3.3,M1P0057,M1C004,M1EP03,1,true,true,SCOPE_PRESENT_IN_TRACE_CONTEXT,PASS,"The F2 analysis treated input admissibility as part of methodological robustness because preprocessing can change whether the AFINO input contract is satisfied. A quality filter can remove a flare peak, a shortened window can leave too few cadences, and filtering can create irregular sampling. Recording these cases explicitly prevents a methodological perturbation from appearing artificially conservative simply because problematic inputs disappear from the analyzed denominator. The same principl"
M14V2L031,V2,ROBUSTNESS,3.4,M1P0017,M1C005;M1C006,M1EP04,1,true,true,SCOPE_PRESENT_IN_TRACE_CONTEXT,PASS,"F3A scaled the same prospective 13 x 6 robustness architecture to 122 observational references, split evenly between published-QPP references and published not-selected references. The full plan therefore contained 9516 methodological variants. Before transition analysis, every event passed through a baseline-reproduction gate using W00/P00 and external seed 0. Only baseline-concordant references were eligible for retained/lost or retained/gained transition interpretation. Baseline mismatch and "
M14V2L032,V2,ROBUSTNESS,3.4,M1P0019,M1C011,M1EP04,1,true,true,SCOPE_PRESENT_IN_TRACE_CONTEXT,PASS,"The catalogue-scale numerical-stability plane was again separated from methodological transitions. Input-eligible W00/P00 events were rerun across a frozen external-seed grid, and the binary decision was summarized by event. Distinct fitted parameter payloads, warnings, bound contacts, and unavailable formal convergence diagnostics remained numerical evidence rather than classification truth. Period robustness was separately restricted to baseline-comparable selected-to-selected variants; no per"
M14V2L033,V2,STABILITY,3.4,M1P0019,M1C011,M1EP04,1,true,true,SCOPE_PRESENT_IN_TRACE_CONTEXT,PASS,"The catalogue-scale numerical-stability plane was again separated from methodological transitions. Input-eligible W00/P00 events were rerun across a frozen external-seed grid, and the binary decision was summarized by event. Distinct fitted parameter payloads, warnings, bound contacts, and unavailable formal convergence diagnostics remained numerical evidence rather than classification truth. Period robustness was separately restricted to baseline-comparable selected-to-selected variants; no per"
M14V2L034,V2,ROBUSTNESS,3.4,M1P0058,M1C005;M1C006;M1C008,M1EP04,2,true,true,SCOPE_PRESENT_IN_TRACE_CONTEXT,PASS,"F3A was therefore analyzed in two stages: reference reproduction first, perturbation robustness second. This ordering was not cosmetic. If the frozen baseline does not reproduce an event's reference state, then a subsequent perturbed classification cannot be described coherently as retained or lost relative to that reference without changing the meaning of the transition. The explicit gate ensures that transition labels remain conditional on a reproduced starting point. Mismatch and inadmissibil"
M14V2L035,V2,PRIORITY,3.4,M1P0058,M1C005;M1C006;M1C008,M1EP04,1,true,true,PRIORITY_FIREWALL_OR_ORDINAL_CONTEXT,PASS,"F3A was therefore analyzed in two stages: reference reproduction first, perturbation robustness second. This ordering was not cosmetic. If the frozen baseline does not reproduce an event's reference state, then a subsequent perturbed classification cannot be described coherently as retained or lost relative to that reference without changing the meaning of the transition. The explicit gate ensures that transition labels remain conditional on a reproduced starting point. Mismatch and inadmissibil"
M14V2L036,V2,GROUND_TRUTH,3.5,M1P0020,M1C012;M1C018,M1EP05,1,true,true,SCOPE_PRESENT_IN_TRACE_CONTEXT,PASS,"F3B was designed to answer the known-truth performance question that F2 and F3A could not answer. DEVELOPMENT and HELDOUT were separated prospectively, with the final decision rule frozen before HELDOUT truth was consumed. The classifier plane used synthetic QPP-present and synthetic QPP-absent series that were eligible for AFINO under the frozen design. The untouched baseline rule remained delta-BIC01 greater than 10 and delta-BIC21 greater than 10 with strict comparison. All performance statem"
M14V2L037,V2,SENSITIVITY,3.5,M1P0021,M1C017;M1C018,M1EP05,1,true,true,METHODOLOGICAL_OR_NEGATED_CONTEXT,PASS,"Threshold development was confined to DEVELOPMENT. A single preregistered candidate emerging from that search improved balanced accuracy and sensitivity relative to the baseline but incurred a large specificity loss. Promotion required all four frozen criteria to pass. The candidate passed three criteria but failed the specificity-preservation criterion, so it was not promoted. Runner-up rescue, alternate post hoc candidate searches, and threshold retuning after HELDOUT were prohibited. Conseque"
M14V2L038,V2,SPECIFICITY,3.5,M1P0021,M1C017;M1C018,M1EP05,2,true,true,SYNTHETIC_METRIC_OR_GATE_CONTEXT,PASS,"Threshold development was confined to DEVELOPMENT. A single preregistered candidate emerging from that search improved balanced accuracy and sensitivity relative to the baseline but incurred a large specificity loss. Promotion required all four frozen criteria to pass. The candidate passed three criteria but failed the specificity-preservation criterion, so it was not promoted. Runner-up rescue, alternate post hoc candidate searches, and threshold retuning after HELDOUT were prohibited. Conseque"
M14V2L039,V2,ACCURACY,3.5,M1P0021,M1C017;M1C018,M1EP05,1,true,true,SCOPE_PRESENT_IN_TRACE_CONTEXT,PASS,"Threshold development was confined to DEVELOPMENT. A single preregistered candidate emerging from that search improved balanced accuracy and sensitivity relative to the baseline but incurred a large specificity loss. Promotion required all four frozen criteria to pass. The candidate passed three criteria but failed the specificity-preservation criterion, so it was not promoted. Runner-up rescue, alternate post hoc candidate searches, and threshold retuning after HELDOUT were prohibited. Conseque"
M14V2L040,V2,GROUND_TRUTH,3.5,M1P0022,M1C012;M1C018,M1EP05,1,true,true,SCOPE_PRESENT_IN_TRACE_CONTEXT,PASS,"The independent HELDOUT split was single-use. Once the frozen baseline metrics, stratified selection surface, and conditional period-recovery outputs were produced, the split was considered consumed and unavailable for later threshold development. Classification metrics used known synthetic truth; the selection surface retained structural no-exposure cells instead of treating them as zero selection; and period recovery was computed only for selected true positives with finite recovered periods. "
M14V2L041,V2,SELECTION_FUNCTION,3.5,M1P0022,M1C012;M1C018,M1EP05,2,true,true,SCOPE_PRESENT_IN_TRACE_CONTEXT,PASS,"The independent HELDOUT split was single-use. Once the frozen baseline metrics, stratified selection surface, and conditional period-recovery outputs were produced, the split was considered consumed and unavailable for later threshold development. Classification metrics used known synthetic truth; the selection surface retained structural no-exposure cells instead of treating them as zero selection; and period recovery was computed only for selected true positives with finite recovered periods. "
M14V2L042,V2,GROUND_TRUTH,3.5,M1P0059,M1C012;M1C017;M1C018,M1EP05,1,true,true,SCOPE_PRESENT_IN_TRACE_CONTEXT,PASS,"The DEVELOPMENT/HELDOUT firewall was designed to make a failed promotion gate informative rather than inconvenient. DEVELOPMENT could support threshold exploration under the preregistered policy, but the result could reach HELDOUT only if every promotion criterion was satisfied. Once the candidate failed that gate, the protocol prohibited searching for a more favorable substitute. This preserved the original baseline as the only admissible held-out target. The later HELDOUT result therefore eval"
M14V2L043,V2,GROUND_TRUTH,4.1,M1P0023,M1C001,M1EP01,1,true,true,SCOPE_PRESENT_IN_TRACE_CONTEXT,PASS,"The F0 public-code baseline reproduced all five published QPP detections in the frozen reproduction cohort and preserved the non-selected status of the five paired comparison events. In the positive reference events, the double-BIC decision was stable across the external seed checks used in the reproduction phase. This establishes an operational public baseline that can be reproduced on the examined cohort. It does not establish that the public implementation is documentarily identical to the au"
M14V2L044,V2,STABILITY,4.1,M1P0023,M1C001,M1EP01,1,true,true,SCOPE_PRESENT_IN_TRACE_CONTEXT,PASS,"The F0 public-code baseline reproduced all five published QPP detections in the frozen reproduction cohort and preserved the non-selected status of the five paired comparison events. In the positive reference events, the double-BIC decision was stable across the external seed checks used in the reproduction phase. This establishes an operational public baseline that can be reproduced on the examined cohort. It does not establish that the public implementation is documentarily identical to the au"
M14V2L045,V2,SENSITIVITY,4.2,M1P0027,M1C004,M1EP03,1,true,true,CLASSIFIER_METRIC_SCOPE_EXPLICIT,PASS,"Temporal-window and processing contrasts also contained local classification changes, confirming that the global baseline summary did not conceal all direction changes. Because each event contributed repeated windows and processing profiles, these transition counts are not independent trials. The pilot therefore supports a qualitative robustness conclusion: prospectively specified methodological choices can change the reference classification of individual observational events. It does not provi"
M14V2L046,V2,SPECIFICITY,4.2,M1P0027,M1C004,M1EP03,1,true,true,SYNTHETIC_METRIC_OR_GATE_CONTEXT,PASS,"Temporal-window and processing contrasts also contained local classification changes, confirming that the global baseline summary did not conceal all direction changes. Because each event contributed repeated windows and processing profiles, these transition counts are not independent trials. The pilot therefore supports a qualitative robustness conclusion: prospectively specified methodological choices can change the reference classification of individual observational events. It does not provi"
M14V2L047,V2,FPR,4.2,M1P0027,M1C004,M1EP03,1,true,true,DENOMINATOR_DOMAIN_EXPLICIT_OR_NEGATED,PASS,"Temporal-window and processing contrasts also contained local classification changes, confirming that the global baseline summary did not conceal all direction changes. Because each event contributed repeated windows and processing profiles, these transition counts are not independent trials. The pilot therefore supports a qualitative robustness conclusion: prospectively specified methodological choices can change the reference classification of individual observational events. It does not provi"
M14V2L048,V2,ROBUSTNESS,4.2,M1P0027,M1C004,M1EP03,1,true,true,SCOPE_PRESENT_IN_TRACE_CONTEXT,PASS,"Temporal-window and processing contrasts also contained local classification changes, confirming that the global baseline summary did not conceal all direction changes. Because each event contributed repeated windows and processing profiles, these transition counts are not independent trials. The pilot therefore supports a qualitative robustness conclusion: prospectively specified methodological choices can change the reference classification of individual observational events. It does not provi"
M14V2L049,V2,ROBUSTNESS,4.3,M1P0028,M1C005;M1C006,M1EP04,1,true,true,SCOPE_PRESENT_IN_TRACE_CONTEXT,PASS,"F3A expanded the robustness design to 122 observational references and 9516 planned variants, of which 6422 were eligible and 3094 were inadmissible. The baseline gate materially changed the interpretation relative to F2: only 65 references were concordant with their frozen reference state, 51 were baseline mismatches, and six were baseline-inadmissible. All mismatches occurred in the published-QPP reference role. Among 61 QPP references, eight were concordant, 51 mismatched, and two were inadmi"
M14V2L050,V2,FPR,4.3,M1P0030,M1C008;M1C009,M1EP04,1,true,true,DENOMINATOR_DOMAIN_EXPLICIT_OR_NEGATED,PASS,"Within the transition-eligible baseline-concordant scope, F3A contained 295 selected-retained transitions and 171 selection losses for QPP references. The not-selected reference scope contained 3178 not-selected-retained transitions and zero selection gains. These are cell-level repeated measures from the frozen perturbation matrix. The coexistence of retained and lost QPP selections supports catalogue-scale dependence of reference classifications on methodological perturbations. Conversely, the"
M14V2L051,V2,ROBUSTNESS,4.3,M1P0030,M1C008;M1C009,M1EP04,1,true,true,SCOPE_PRESENT_IN_TRACE_CONTEXT,PASS,"Within the transition-eligible baseline-concordant scope, F3A contained 295 selected-retained transitions and 171 selection losses for QPP references. The not-selected reference scope contained 3178 not-selected-retained transitions and zero selection gains. These are cell-level repeated measures from the frozen perturbation matrix. The coexistence of retained and lost QPP selections supports catalogue-scale dependence of reference classifications on methodological perturbations. Conversely, the"
M14V2L052,V2,ACCURACY,4.3,M1P0062,M1C005;M1C006;M1C008;M1C009,M1EP04,1,true,true,SCOPE_PRESENT_IN_TRACE_CONTEXT,PASS,"Catalogue scale changes the evidential emphasis. The perturbation matrix remains useful, but the dominant methodological finding becomes the baseline gate itself: most published-QPP references are not transition-eligible because their reference state is not reproduced. The robustness results therefore describe a narrower conditional population than the original QPP-reference cohort. By contrast, the not-selected reference role is largely baseline-concordant and remains stable under the frozen pe"
M14V2L053,V2,ROBUSTNESS,4.3,M1P0062,M1C005;M1C006;M1C008;M1C009,M1EP04,1,true,true,SCOPE_PRESENT_IN_TRACE_CONTEXT,PASS,"Catalogue scale changes the evidential emphasis. The perturbation matrix remains useful, but the dominant methodological finding becomes the baseline gate itself: most published-QPP references are not transition-eligible because their reference state is not reproduced. The robustness results therefore describe a narrower conditional population than the original QPP-reference cohort. By contrast, the not-selected reference role is largely baseline-concordant and remains stable under the frozen pe"
M14V2L054,V2,STABILITY,4.3,M1P0062,M1C005;M1C006;M1C008;M1C009,M1EP04,1,true,true,SCOPE_PRESENT_IN_TRACE_CONTEXT,PASS,"Catalogue scale changes the evidential emphasis. The perturbation matrix remains useful, but the dominant methodological finding becomes the baseline gate itself: most published-QPP references are not transition-eligible because their reference state is not reproduced. The robustness results therefore describe a narrower conditional population than the original QPP-reference cohort. By contrast, the not-selected reference role is largely baseline-concordant and remains stable under the frozen pe"
M14V2L055,V2,STABILITY,4.4,M1P0031,M1C003,M1EP02,4,true,true,SCOPE_PRESENT_IN_TRACE_CONTEXT,PASS,"F1 separated binary-decision stability from numerical uniqueness. None of the 111 primary benchmark conditions changed the binary decision across the external seeds used for the stability analysis, yet 97 of 111 conditions met the preregistered broken-power-law multiplicity criterion based on BIC variation. In the nested benchmark, the same qualitative separation persisted: binary decisions were seed-stable in the examined stability conditions while M2 multiplicity remained common. Frequent boun"
M14V2L056,V2,STABILITY,4.4,M1P0032,M1C011,M1EP04,2,true,true,SCOPE_PRESENT_IN_TRACE_CONTEXT,PASS,"F3A provided a larger observational stability check. All 116 input-eligible W00/P00 events preserved their binary classification across the frozen seed grid, corresponding to 1160 seed decisions and zero seed-discordant events. At the same time, each event retained multiple fitted parameter payloads and formal convergence remained unauditable. The supported conclusion is therefore seed stability of the binary output in this frozen scope, not convergence to a unique numerical solution."
M14V2L057,V2,ACCURACY,4.4,M1P0033,M1C011,M1EP04,1,true,true,SCOPE_PRESENT_IN_TRACE_CONTEXT,PASS,"Conditional period robustness in F3A was evaluated only where the baseline and perturbed variant were both selected and comparable. The frozen table contained 295 such rows. This quantity is not a catalogue-wide period-accuracy denominator: selection losses, not-selected states, and input-inadmissible variants do not contribute a recovered-period comparison. The period plane therefore complements, rather than replaces, the classification-robustness plane."
M14V2L058,V2,ROBUSTNESS,4.4,M1P0033,M1C011,M1EP04,2,true,true,SCOPE_PRESENT_IN_TRACE_CONTEXT,PASS,"Conditional period robustness in F3A was evaluated only where the baseline and perturbed variant were both selected and comparable. The frozen table contained 295 such rows. This quantity is not a catalogue-wide period-accuracy denominator: selection losses, not-selected states, and input-inadmissible variants do not contribute a recovered-period comparison. The period plane therefore complements, rather than replaces, the classification-robustness plane."
