work_id,preferred_version_id,title_abstract_decision,final_screening_decision,screening_basis,inclusion_criteria_met,primary_exclusion_criterion,secondary_exclusion_criteria,decision_evidence_text,decision_evidence_locator,full_text_required,full_text_accessed,full_text_source,full_text_sha256_if_local,decision_status,notes
BAIIW0012,BAIIV0021,EXCLUDE_TITLE_ABSTRACT,EXCLUDE,TITLE_ABSTRACT_METADATA,,E3,,The work uses TESS/related time-series data but does not present a pertinent stellar-flare/QPP analysis for this audit.,preferred_version=BAIIV0021; title+abstract+provider metadata; raw_hit_ids=BAII2H000013,false,false,,,RESOLVED,"No F3A/F3B impact, relevance-label, or novelty assessment performed."
BAIIW0013,BAIIV0023,EXCLUDE_TITLE_ABSTRACT,EXCLUDE,TITLE_ABSTRACT_METADATA,,E3,,The work uses TESS/related time-series data but does not present a pertinent stellar-flare/QPP analysis for this audit.,preferred_version=BAIIV0023; title+abstract+provider metadata; raw_hit_ids=BAII2H000014;BAII2H000190,false,false,,,RESOLVED,"No F3A/F3B impact, relevance-label, or novelty assessment performed."
BAIIW0014,BAIIV0024,EXCLUDE_TITLE_ABSTRACT,EXCLUDE,TITLE_ABSTRACT_METADATA,,E3,,The work uses TESS/related time-series data but does not present a pertinent stellar-flare/QPP analysis for this audit.,preferred_version=BAIIV0024; title+abstract+provider metadata; raw_hit_ids=BAII2H000015,false,false,,,RESOLVED,"No F3A/F3B impact, relevance-label, or novelty assessment performed."
BAIIW0015,BAIIV0026,EXCLUDE_TITLE_ABSTRACT,EXCLUDE,TITLE_ABSTRACT_METADATA,,E3,,The work uses TESS/related time-series data but does not present a pertinent stellar-flare/QPP analysis for this audit.,preferred_version=BAIIV0026; title+abstract+provider metadata; raw_hit_ids=BAII2H000016;BAII2H000201,false,false,,,RESOLVED,"No F3A/F3B impact, relevance-label, or novelty assessment performed."
BAIIW0016,BAIIV0027,EXCLUDE_TITLE_ABSTRACT,EXCLUDE,TITLE_ABSTRACT_METADATA,,E3,,The work uses TESS/related time-series data but does not present a pertinent stellar-flare/QPP analysis for this audit.,preferred_version=BAIIV0027; title+abstract+provider metadata; raw_hit_ids=BAII2H000017;BAII2H000204,false,false,,,RESOLVED,"No F3A/F3B impact, relevance-label, or novelty assessment performed."
BAIIW0017,BAIIV0028,EXCLUDE_TITLE_ABSTRACT,EXCLUDE,TITLE_ABSTRACT_METADATA,,E3,,The work uses TESS/related time-series data but does not present a pertinent stellar-flare/QPP analysis for this audit.,preferred_version=BAIIV0028; title+abstract+provider metadata; raw_hit_ids=BAII2H000018;BAII2H000211,false,false,,,RESOLVED,"No F3A/F3B impact, relevance-label, or novelty assessment performed."
BAIIW0018,BAIIV0029,EXCLUDE_TITLE_ABSTRACT,EXCLUDE,TITLE_ABSTRACT_METADATA,,E3,,The work uses TESS/related time-series data but does not present a pertinent stellar-flare/QPP analysis for this audit.,preferred_version=BAIIV0029; title+abstract+provider metadata; raw_hit_ids=BAII2H000019;BAII2H000194,false,false,,,RESOLVED,"No F3A/F3B impact, relevance-label, or novelty assessment performed."
BAIIW0019,BAIIV0030,EXCLUDE_TITLE_ABSTRACT,EXCLUDE,TITLE_ABSTRACT_METADATA,,E3,,The work uses TESS/related time-series data but does not present a pertinent stellar-flare/QPP analysis for this audit.,preferred_version=BAIIV0030; title+abstract+provider metadata; raw_hit_ids=BAII2H000020,false,false,,,RESOLVED,"No F3A/F3B impact, relevance-label, or novelty assessment performed."
BAIIW0020,BAIIV0031,EXCLUDE_TITLE_ABSTRACT,EXCLUDE,TITLE_ABSTRACT_METADATA,,E3,,The work uses TESS/related time-series data but does not present a pertinent stellar-flare/QPP analysis for this audit.,preferred_version=BAIIV0031; title+abstract+provider metadata; raw_hit_ids=BAII2H000021;BAII2H000203,false,false,,,RESOLVED,"No F3A/F3B impact, relevance-label, or novelty assessment performed."
BAIIW0021,BAIIV0032,EXCLUDE_TITLE_ABSTRACT,EXCLUDE,TITLE_ABSTRACT_METADATA,,E3,,The work uses TESS/related time-series data but does not present a pertinent stellar-flare/QPP analysis for this audit.,preferred_version=BAIIV0032; title+abstract+provider metadata; raw_hit_ids=BAII2H000022,false,false,,,RESOLVED,"No F3A/F3B impact, relevance-label, or novelty assessment performed."
BAIIW0022,BAIIV0034,EXCLUDE_TITLE_ABSTRACT,EXCLUDE,TITLE_ABSTRACT_METADATA,,E3,,The work uses TESS/related time-series data but does not present a pertinent stellar-flare/QPP analysis for this audit.,preferred_version=BAIIV0034; title+abstract+provider metadata; raw_hit_ids=BAII2H000023;BAII2H000206,false,false,,,RESOLVED,"No F3A/F3B impact, relevance-label, or novelty assessment performed."
BAIIW0023,BAIIV0036,PASS_TO_SCREENING,INCLUDE_FOR_BAII4,TITLE_ABSTRACT_METADATA,I2;I7,,,Uses a TESS stellar-flare sample or catalogue that is material to catalogue-scale comparison. Provides a recent close methodological or observational comparator for Manuscript 1.,preferred_version=BAIIV0036; title+abstract+provider metadata; raw_hit_ids=BAII2H000031;BAII2H000083;BAII2H000093;BAII2H000254,false,false,,,RESOLVED,"No F3A/F3B impact, relevance-label, or novelty assessment performed."
BAIIW0024,BAIIV0038,PASS_TO_SCREENING,INCLUDE_FOR_BAII4,TITLE_ABSTRACT_METADATA,I4;I5;I7,,,"Examines cadence, detrending, preprocessing, noise, or related robustness relevant to flare/QPP analysis. Uses injection–recovery, simulation, or completeness characterization relevant to validation/selection-function design. Provides a recent close methodological or observational comparator for Manuscript 1.",preferred_version=BAIIV0038; title+abstract+provider metadata; raw_hit_ids=BAII2H000032;BAII2H000080;BAII2H000248;BAII2H000300,false,false,,,RESOLVED,"No F3A/F3B impact, relevance-label, or novelty assessment performed."
BAIIW0025,BAIIV0040,PASS_TO_SCREENING,INCLUDE_FOR_BAII4,TITLE_ABSTRACT_METADATA,I2,,,Uses a TESS stellar-flare sample or catalogue that is material to catalogue-scale comparison.,preferred_version=BAIIV0040; title+abstract+provider metadata; raw_hit_ids=BAII2H000033;BAII2H000081,false,false,,,RESOLVED,"No F3A/F3B impact, relevance-label, or novelty assessment performed."
BAIIW0026,BAIIV0041,EXCLUDE_TITLE_ABSTRACT,EXCLUDE,TITLE_ABSTRACT_METADATA,,E6,,"The work is outside the catalogue, selection-function, robustness, or detection-method scope needed for F3A/F3B.",preferred_version=BAIIV0041; title+abstract+provider metadata; raw_hit_ids=BAII2H000035,false,false,,,RESOLVED,"No F3A/F3B impact, relevance-label, or novelty assessment performed."
BAIIW0027,BAIIV0043,PASS_TO_SCREENING,INCLUDE_FOR_BAII4,TITLE_ABSTRACT_METADATA,I2,,,Uses a TESS stellar-flare sample or catalogue that is material to catalogue-scale comparison.,preferred_version=BAIIV0043; title+abstract+provider metadata; raw_hit_ids=BAII2H000036,false,false,,,RESOLVED,"No F3A/F3B impact, relevance-label, or novelty assessment performed."
BAIIW0028,BAIIV0044,PASS_TO_SCREENING,INCLUDE_FOR_BAII4,TITLE_ABSTRACT_METADATA,I2,,,Uses a TESS stellar-flare sample or catalogue that is material to catalogue-scale comparison.,preferred_version=BAIIV0044; title+abstract+provider metadata; raw_hit_ids=BAII2H000037;BAII2H000099,false,false,,,RESOLVED,"No F3A/F3B impact, relevance-label, or novelty assessment performed."
BAIIW0029,BAIIV0045,PASS_TO_SCREENING,INCLUDE_FOR_BAII4,TITLE_ABSTRACT_METADATA,I1,,,Directly analyses QPPs in stellar flares observed by TESS.,preferred_version=BAIIV0045; title+abstract+provider metadata; raw_hit_ids=BAII2H000038;BAII2H000104,false,false,,,RESOLVED,"No F3A/F3B impact, relevance-label, or novelty assessment performed."
BAIIW0030,BAIIV0047,EXCLUDE_TITLE_ABSTRACT,EXCLUDE,TITLE_ABSTRACT_METADATA,,E3,,The work uses TESS/related time-series data but does not present a pertinent stellar-flare/QPP analysis for this audit.,preferred_version=BAIIV0047; title+abstract+provider metadata; raw_hit_ids=BAII2H000039,false,false,,,RESOLVED,"No F3A/F3B impact, relevance-label, or novelty assessment performed."
BAIIW0031,BAIIV0049,EXCLUDE_TITLE_ABSTRACT,EXCLUDE,TITLE_ABSTRACT_METADATA,,E6,,"The work is outside the catalogue, selection-function, robustness, or detection-method scope needed for F3A/F3B.",preferred_version=BAIIV0049; title+abstract+provider metadata; raw_hit_ids=BAII2H000041;BAII2H000091;BAII2H000100,false,false,,,RESOLVED,"No F3A/F3B impact, relevance-label, or novelty assessment performed."
BAIIW0032,BAIIV0051,BACKGROUND_ONLY,BACKGROUND_ONLY,TITLE_ABSTRACT_METADATA,,E6,,"Retained as useful stellar-flare/QPP physical or observational context, but it does not meet the frozen design/method/catalogue inclusion threshold.",preferred_version=BAIIV0051; title+abstract+provider metadata; raw_hit_ids=BAII2H000042;BAII2H000090;BAII2H000102,false,false,,,RESOLVED,"No F3A/F3B impact, relevance-label, or novelty assessment performed."
BAIIW0033,BAIIV0053,PASS_TO_SCREENING,INCLUDE_FOR_BAII4,TITLE_ABSTRACT_METADATA,I2,,,Uses a TESS stellar-flare sample or catalogue that is material to catalogue-scale comparison.,preferred_version=BAIIV0053; title+abstract+provider metadata; raw_hit_ids=BAII2H000043,false,false,,,RESOLVED,"No F3A/F3B impact, relevance-label, or novelty assessment performed."
BAIIW0034,BAIIV0055,EXCLUDE_TITLE_ABSTRACT,EXCLUDE,TITLE_ABSTRACT_METADATA,,E3,,The work uses TESS/related time-series data but does not present a pertinent stellar-flare/QPP analysis for this audit.,preferred_version=BAIIV0055; title+abstract+provider metadata; raw_hit_ids=BAII2H000045,false,false,,,RESOLVED,"No F3A/F3B impact, relevance-label, or novelty assessment performed."
BAIIW0035,BAIIV0057,PASS_TO_SCREENING,INCLUDE_FOR_BAII4,TITLE_ABSTRACT_METADATA,I2,,,Uses a TESS stellar-flare sample or catalogue that is material to catalogue-scale comparison.,preferred_version=BAIIV0057; title+abstract+provider metadata; raw_hit_ids=BAII2H000046;BAII2H000095,false,false,,,RESOLVED,"No F3A/F3B impact, relevance-label, or novelty assessment performed."
BAIIW0036,BAIIV0058,EXCLUDE_TITLE_ABSTRACT,EXCLUDE,TITLE_ABSTRACT_METADATA,,E6,,"The work is outside the catalogue, selection-function, robustness, or detection-method scope needed for F3A/F3B.",preferred_version=BAIIV0058; title+abstract+provider metadata; raw_hit_ids=BAII2H000047;BAII2H000098,false,false,,,RESOLVED,"No F3A/F3B impact, relevance-label, or novelty assessment performed."
BAIIW0037,BAIIV0060,PASS_TO_SCREENING,INCLUDE_FOR_BAII4,TITLE_ABSTRACT_METADATA,I4;I7,,,"Examines cadence, detrending, preprocessing, noise, or related robustness relevant to flare/QPP analysis. Provides a recent close methodological or observational comparator for Manuscript 1.",preferred_version=BAIIV0060; title+abstract+provider metadata; raw_hit_ids=BAII2H000049,false,false,,,RESOLVED,"No F3A/F3B impact, relevance-label, or novelty assessment performed."
BAIIW0038,BAIIV0062,EXCLUDE_TITLE_ABSTRACT,EXCLUDE,TITLE_ABSTRACT_METADATA,,E6,,"The work is outside the catalogue, selection-function, robustness, or detection-method scope needed for F3A/F3B.",preferred_version=BAIIV0062; title+abstract+provider metadata; raw_hit_ids=BAII2H000050;BAII2H000111,false,false,,,RESOLVED,"No F3A/F3B impact, relevance-label, or novelty assessment performed."
BAIIW0039,BAIIV0063,EXCLUDE_TITLE_ABSTRACT,EXCLUDE,TITLE_ABSTRACT_METADATA,,E1,,The work concerns compact-object or blazar/pulsar QPO/pulsation phenomena without a material methodological transfer to stellar flares.,preferred_version=BAIIV0063; title+abstract+provider metadata; raw_hit_ids=BAII2H000051;BAII2H000109,false,false,,,RESOLVED,"No F3A/F3B impact, relevance-label, or novelty assessment performed."
BAIIW0040,BAIIV0064,PASS_TO_SCREENING,INCLUDE_FOR_BAII4,TITLE_ABSTRACT_METADATA,I2,,,Uses a TESS stellar-flare sample or catalogue that is material to catalogue-scale comparison.,preferred_version=BAIIV0064; title+abstract+provider metadata; raw_hit_ids=BAII2H000052,false,false,,,RESOLVED,"No F3A/F3B impact, relevance-label, or novelty assessment performed."
BAIIW0041,BAIIV0066,PASS_TO_SCREENING,INCLUDE_FOR_BAII4,TITLE_ABSTRACT_METADATA,I2,,,Uses a TESS stellar-flare sample or catalogue that is material to catalogue-scale comparison.,preferred_version=BAIIV0066; title+abstract+provider metadata; raw_hit_ids=BAII2H000053;BAII2H000085;BAII2H000097,false,false,,,RESOLVED,"No F3A/F3B impact, relevance-label, or novelty assessment performed."
BAIIW0042,BAIIV0067,EXCLUDE_TITLE_ABSTRACT,EXCLUDE,TITLE_ABSTRACT_METADATA,,E3,,The work uses TESS/related time-series data but does not present a pertinent stellar-flare/QPP analysis for this audit.,preferred_version=BAIIV0067; title+abstract+provider metadata; raw_hit_ids=BAII2H000054;BAII2H000121,false,false,,,RESOLVED,"No F3A/F3B impact, relevance-label, or novelty assessment performed."
BAIIW0043,BAIIV0068,PASS_TO_SCREENING,INCLUDE_FOR_BAII4,TITLE_ABSTRACT_METADATA,I2,,,Uses a TESS stellar-flare sample or catalogue that is material to catalogue-scale comparison.,preferred_version=BAIIV0068; title+abstract+provider metadata; raw_hit_ids=BAII2H000056;BAII2H000113,false,false,,,RESOLVED,"No F3A/F3B impact, relevance-label, or novelty assessment performed."
BAIIW0044,BAIIV0069,EXCLUDE_TITLE_ABSTRACT,EXCLUDE,TITLE_ABSTRACT_METADATA,,E6,,"The work is outside the catalogue, selection-function, robustness, or detection-method scope needed for F3A/F3B.",preferred_version=BAIIV0069; title+abstract+provider metadata; raw_hit_ids=BAII2H000057;BAII2H000103,false,false,,,RESOLVED,"No F3A/F3B impact, relevance-label, or novelty assessment performed."
BAIIW0045,BAIIV0070,EXCLUDE_TITLE_ABSTRACT,EXCLUDE,TITLE_ABSTRACT_METADATA,,E6,,"The work is outside the catalogue, selection-function, robustness, or detection-method scope needed for F3A/F3B.",preferred_version=BAIIV0070; title+abstract+provider metadata; raw_hit_ids=BAII2H000058;BAII2H000114,false,false,,,RESOLVED,"No F3A/F3B impact, relevance-label, or novelty assessment performed."
BAIIW0046,BAIIV0072,EXCLUDE_TITLE_ABSTRACT,EXCLUDE,TITLE_ABSTRACT_METADATA,,E6,,"The work is outside the catalogue, selection-function, robustness, or detection-method scope needed for F3A/F3B.",preferred_version=BAIIV0072; title+abstract+provider metadata; raw_hit_ids=BAII2H000059,false,false,,,RESOLVED,"No F3A/F3B impact, relevance-label, or novelty assessment performed."
BAIIW0047,BAIIV0074,EXCLUDE_TITLE_ABSTRACT,EXCLUDE,TITLE_ABSTRACT_METADATA,,E6,,"The work is outside the catalogue, selection-function, robustness, or detection-method scope needed for F3A/F3B.",preferred_version=BAIIV0074; title+abstract+provider metadata; raw_hit_ids=BAII2H000060;BAII2H000110,false,false,,,RESOLVED,"No F3A/F3B impact, relevance-label, or novelty assessment performed."
BAIIW0048,BAIIV0076,EXCLUDE_TITLE_ABSTRACT,EXCLUDE,TITLE_ABSTRACT_METADATA,,E3,,The work uses TESS/related time-series data but does not present a pertinent stellar-flare/QPP analysis for this audit.,preferred_version=BAIIV0076; title+abstract+provider metadata; raw_hit_ids=BAII2H000061;BAII2H000125,false,false,,,RESOLVED,"No F3A/F3B impact, relevance-label, or novelty assessment performed."
BAIIW0049,BAIIV0077,EXCLUDE_TITLE_ABSTRACT,EXCLUDE,TITLE_ABSTRACT_METADATA,,E6,,"The work is outside the catalogue, selection-function, robustness, or detection-method scope needed for F3A/F3B.",preferred_version=BAIIV0077; title+abstract+provider metadata; raw_hit_ids=BAII2H000062,false,false,,,RESOLVED,"No F3A/F3B impact, relevance-label, or novelty assessment performed."
BAIIW0050,BAIIV0080,PASS_TO_SCREENING,INCLUDE_FOR_BAII4,TITLE_ABSTRACT_METADATA,I2,,,Uses a TESS stellar-flare sample or catalogue that is material to catalogue-scale comparison.,preferred_version=BAIIV0080; title+abstract+provider metadata; raw_hit_ids=BAII2H000063,false,false,,,RESOLVED,"No F3A/F3B impact, relevance-label, or novelty assessment performed."
BAIIW0051,BAIIV0082,EXCLUDE_TITLE_ABSTRACT,EXCLUDE,TITLE_ABSTRACT_METADATA,,E6,,"The work is outside the catalogue, selection-function, robustness, or detection-method scope needed for F3A/F3B.",preferred_version=BAIIV0082; title+abstract+provider metadata; raw_hit_ids=BAII2H000064;BAII2H000108,false,false,,,RESOLVED,"No F3A/F3B impact, relevance-label, or novelty assessment performed."
BAIIW0052,BAIIV0084,EXCLUDE_TITLE_ABSTRACT,EXCLUDE,TITLE_ABSTRACT_METADATA,,E6,,"The work is outside the catalogue, selection-function, robustness, or detection-method scope needed for F3A/F3B.",preferred_version=BAIIV0084; title+abstract+provider metadata; raw_hit_ids=BAII2H000065,false,false,,,RESOLVED,"No F3A/F3B impact, relevance-label, or novelty assessment performed."
BAIIW0053,BAIIV0085,PASS_TO_SCREENING,INCLUDE_FOR_BAII4,TITLE_ABSTRACT_METADATA,I2,,,Uses a TESS stellar-flare sample or catalogue that is material to catalogue-scale comparison.,preferred_version=BAIIV0085; title+abstract+provider metadata; raw_hit_ids=BAII2H000066;BAII2H000086;BAII2H000117,false,false,,,RESOLVED,"No F3A/F3B impact, relevance-label, or novelty assessment performed."
BAIIW0054,BAIIV0087,EXCLUDE_TITLE_ABSTRACT,EXCLUDE,TITLE_ABSTRACT_METADATA,,E6,,"The work is outside the catalogue, selection-function, robustness, or detection-method scope needed for F3A/F3B.",preferred_version=BAIIV0087; title+abstract+provider metadata; raw_hit_ids=BAII2H000067;BAII2H000088,false,false,,,RESOLVED,"No F3A/F3B impact, relevance-label, or novelty assessment performed."
BAIIW0055,BAIIV0088,PASS_TO_SCREENING,INCLUDE_FOR_BAII4,TITLE_ABSTRACT_METADATA,I2,,,Uses a TESS stellar-flare sample or catalogue that is material to catalogue-scale comparison.,preferred_version=BAIIV0088; title+abstract+provider metadata; raw_hit_ids=BAII2H000068;BAII2H000123,false,false,,,RESOLVED,"No F3A/F3B impact, relevance-label, or novelty assessment performed."
BAIIW0056,BAIIV0089,EXCLUDE_TITLE_ABSTRACT,EXCLUDE,TITLE_ABSTRACT_METADATA,,E6,,"The work is outside the catalogue, selection-function, robustness, or detection-method scope needed for F3A/F3B.",preferred_version=BAIIV0089; title+abstract+provider metadata; raw_hit_ids=BAII2H000069;BAII2H000115,false,false,,,RESOLVED,"No F3A/F3B impact, relevance-label, or novelty assessment performed."
BAIIW0057,BAIIV0090,PASS_TO_SCREENING,INCLUDE_FOR_BAII4,TITLE_ABSTRACT_METADATA,I2,,,Uses a TESS stellar-flare sample or catalogue that is material to catalogue-scale comparison.,preferred_version=BAIIV0090; title+abstract+provider metadata; raw_hit_ids=BAII2H000070;BAII2H000138,false,false,,,RESOLVED,"No F3A/F3B impact, relevance-label, or novelty assessment performed."
BAIIW0058,BAIIV0091,EXCLUDE_TITLE_ABSTRACT,EXCLUDE,TITLE_ABSTRACT_METADATA,,E3,,The work uses TESS/related time-series data but does not present a pertinent stellar-flare/QPP analysis for this audit.,preferred_version=BAIIV0091; title+abstract+provider metadata; raw_hit_ids=BAII2H000071,false,false,,,RESOLVED,"No F3A/F3B impact, relevance-label, or novelty assessment performed."
BAIIW0059,BAIIV0092,EXCLUDE_TITLE_ABSTRACT,EXCLUDE,TITLE_ABSTRACT_METADATA,,E6,,"The work is outside the catalogue, selection-function, robustness, or detection-method scope needed for F3A/F3B.",preferred_version=BAIIV0092; title+abstract+provider metadata; raw_hit_ids=BAII2H000072,false,false,,,RESOLVED,"No F3A/F3B impact, relevance-label, or novelty assessment performed."
BAIIW0060,BAIIV0093,BACKGROUND_ONLY,BACKGROUND_ONLY,TITLE_ABSTRACT_METADATA,,E6,,"Retained as useful stellar-flare/QPP physical or observational context, but it does not meet the frozen design/method/catalogue inclusion threshold.",preferred_version=BAIIV0093; title+abstract+provider metadata; raw_hit_ids=BAII2H000073,false,false,,,RESOLVED,"No F3A/F3B impact, relevance-label, or novelty assessment performed."
BAIIW0061,BAIIV0095,EXCLUDE_TITLE_ABSTRACT,EXCLUDE,TITLE_ABSTRACT_METADATA,,E6,,"The work is outside the catalogue, selection-function, robustness, or detection-method scope needed for F3A/F3B.",preferred_version=BAIIV0095; title+abstract+provider metadata; raw_hit_ids=BAII2H000074;BAII2H000106,false,false,,,RESOLVED,"No F3A/F3B impact, relevance-label, or novelty assessment performed."
BAIIW0062,BAIIV0097,EXCLUDE_TITLE_ABSTRACT,EXCLUDE,TITLE_ABSTRACT_METADATA,,E1,,The work concerns compact-object or blazar/pulsar QPO/pulsation phenomena without a material methodological transfer to stellar flares.,preferred_version=BAIIV0097; title+abstract+provider metadata; raw_hit_ids=BAII2H000075;BAII2H000122,false,false,,,RESOLVED,"No F3A/F3B impact, relevance-label, or novelty assessment performed."
BAIIW0063,BAIIV0099,EXCLUDE_TITLE_ABSTRACT,EXCLUDE,TITLE_ABSTRACT_METADATA,,E6,,"The work is outside the catalogue, selection-function, robustness, or detection-method scope needed for F3A/F3B.",preferred_version=BAIIV0099; title+abstract+provider metadata; raw_hit_ids=BAII2H000076;BAII2H000089,false,false,,,RESOLVED,"No F3A/F3B impact, relevance-label, or novelty assessment performed."
BAIIW0064,BAIIV0100,EXCLUDE_TITLE_ABSTRACT,EXCLUDE,TITLE_ABSTRACT_METADATA,,E6,,"The work is outside the catalogue, selection-function, robustness, or detection-method scope needed for F3A/F3B.",preferred_version=BAIIV0100; title+abstract+provider metadata; raw_hit_ids=BAII2H000077,false,false,,,RESOLVED,"No F3A/F3B impact, relevance-label, or novelty assessment performed."
BAIIW0065,BAIIV0101,PASS_TO_SCREENING,INCLUDE_FOR_BAII4,TITLE_ABSTRACT_METADATA,I2,,,Uses a TESS stellar-flare sample or catalogue that is material to catalogue-scale comparison.,preferred_version=BAIIV0101; title+abstract+provider metadata; raw_hit_ids=BAII2H000078;BAII2H000131,false,false,,,RESOLVED,"No F3A/F3B impact, relevance-label, or novelty assessment performed."
BAIIW0066,BAIIV0103,EXCLUDE_TITLE_ABSTRACT,EXCLUDE,TITLE_ABSTRACT_METADATA,,E6,,"The work is outside the catalogue, selection-function, robustness, or detection-method scope needed for F3A/F3B.",preferred_version=BAIIV0103; title+abstract+provider metadata; raw_hit_ids=BAII2H000079,false,false,,,RESOLVED,"No F3A/F3B impact, relevance-label, or novelty assessment performed."
