raw_hit_id,execution_id,query_id,source_database,source_record_id,work_id,version_id,mapping_basis,mapping_confidence,manual_adjudication_required,manual_adjudication_status,title,doi_normalized,arxiv_id_normalized,bibcode,is_preferred_version,mapping_status,error
BAII2H000011,BAII2E001,Q01_DIRECT_TESS_QPP,ADS_SCIX,2024eas..conf.2172B,BAIIW0002,BAIIV0005,AUTO_EXACT_PROVIDER_RECORD;MANUAL_CONFIRMED_SAME_WORK,HIGH_AFTER_MANUAL_ADJUDICATION,true,MANUAL_CONFIRMED_SAME_WORK,How well do we know the impact of stellar flares on exoplanets?,,,2024eas..conf.2172B,false,RESOLVED,
BAII2H000012,BAII2E001,Q01_DIRECT_TESS_QPP,ADS_SCIX,2024PASP..136h4201K,BAIIW0011,BAIIV0019,AUTO_EXACT_ARXIV;AUTO_EXACT_PROVIDER_RECORD,HIGH,false,,An Infrared Census of R Coronae Borealis Stars II—Spectroscopic Classifications and Implications for the Rate of Low-mass White Dwarf Mergers,10.1088/1538-3873/ad6210,2407.08653,2024PASP..136h4201K,true,RESOLVED,
BAII2H000013,BAII2E001,Q01_DIRECT_TESS_QPP,ADS_SCIX,2024A&A...691A.260L,BAIIW0012,BAIIV0021,AUTO_EXACT_PROVIDER_RECORD,HIGH,false,,Modelling of eclipsing binary systems with pulsating components and tertiary companions: BF Vel and RR Lep,10.1051/0004-6361/202450560,2409.04359,2024A&A...691A.260L,true,RESOLVED,
BAII2H000014,BAII2E001,Q01_DIRECT_TESS_QPP,ADS_SCIX,2024ApJ...962...20W,BAIIW0013,BAIIV0023,AUTO_EXACT_PROVIDER_RECORD,HIGH,false,,The Asteroseismological Richness of RCB and dLHdC Stars,10.3847/1538-4357/ad0cfa,2311.10158,2024ApJ...962...20W,true,RESOLVED,
BAII2H000015,BAII2E001,Q01_DIRECT_TESS_QPP,ADS_SCIX,2025ApJ...988...37M,BAIIW0014,BAIIV0024,AUTO_EXACT_PROVIDER_RECORD,HIGH,false,,Modeling of Two Low-amplitude Radially Pulsating δ Scuti Stars: KIC 12602250 and KIC 5768203,10.3847/1538-4357/add406,,2025ApJ...988...37M,true,RESOLVED,
BAII2H000016,BAII2E001,Q01_DIRECT_TESS_QPP,ADS_SCIX,2024PASJ...76..787C,BAIIW0015,BAIIV0026,AUTO_EXACT_PROVIDER_RECORD,HIGH,false,,A comprehensive study of an oscillating eclipsing Algol: Y Camelopardalis,10.1093/pasj/psae048,2405.06431,2024PASJ...76..787C,true,RESOLVED,
BAII2H000017,BAII2E001,Q01_DIRECT_TESS_QPP,ADS_SCIX,2024Ap&SS.369..105G,BAIIW0016,BAIIV0027,AUTO_EXACT_PROVIDER_RECORD,HIGH,false,,Investigative study of five low mass ratio semi-detached binaries,10.1007/s10509-024-04368-6,,2024Ap&SS.369..105G,true,RESOLVED,
BAII2H000018,BAII2E001,Q01_DIRECT_TESS_QPP,ADS_SCIX,2024CoSka..54b.194G,BAIIW0017,BAIIV0028,AUTO_EXACT_PROVIDER_RECORD,HIGH,false,,Spotted eclipsing binary KIC 7023917 with δ-Scuti pulsations,10.31577/caosp.2024.54.2.194,,2024CoSka..54b.194G,true,RESOLVED,
BAII2H000019,BAII2E001,Q01_DIRECT_TESS_QPP,ADS_SCIX,2025AAS...24524915O,BAIIW0018,BAIIV0029,AUTO_EXACT_PROVIDER_RECORD,HIGH,false,,"Detecting Stellar Companions through Pulsation Timing: Strengths, Limitations, and Comparisons with Radial Velocity",,,2025AAS...24524915O,true,RESOLVED,
BAII2H000020,BAII2E001,Q01_DIRECT_TESS_QPP,ADS_SCIX,2024arXiv241023936G,BAIIW0019,BAIIV0030,AUTO_EXACT_PROVIDER_RECORD,HIGH,false,,Abrupt Periodic Pulsation Resumptions in Deneb,,2410.23936,2024arXiv241023936G,true,RESOLVED,
BAII2H000021,BAII2E001,Q01_DIRECT_TESS_QPP,ADS_SCIX,2025AAS...24624106L,BAIIW0020,BAIIV0031,AUTO_EXACT_PROVIDER_RECORD,HIGH,false,,Photometric Analysis of Two β Cepheids and Their Host Cluster NGC 4755,,,2025AAS...24624106L,true,RESOLVED,
BAII2H000022,BAII2E001,Q01_DIRECT_TESS_QPP,ADS_SCIX,2025TJAA....6S.430G,BAIIW0021,BAIIV0032,AUTO_EXACT_PROVIDER_RECORD,HIGH,false,,γ Dor Type Pulsation Nature of the VZ CVn System,10.55064/tjaa.1593821,,2025TJAA....6S.430G,true,RESOLVED,
BAII2H000023,BAII2E001,Q01_DIRECT_TESS_QPP,ADS_SCIX,2025AAS...24540901S,BAIIW0022,BAIIV0034,AUTO_EXACT_PROVIDER_RECORD;MANUAL_CONFIRMED_SAME_WORK,HIGH_AFTER_MANUAL_ADJUDICATION,true,MANUAL_CONFIRMED_SAME_WORK,Chronicling Nearly Fifty Years of G29-38 Pulsations,,,2025AAS...24540901S,true,RESOLVED,
BAII2H000024,BAII2E002,Q01_DIRECT_TESS_QPP,ARXIV,2506.22131v1,BAIIW0001,BAIIV0001,AUTO_EXACT_ARXIV;AUTO_EXACT_DOI;AUTO_EXACT_PROVIDER_RECORD,HIGH,false,,Stationary quasi-periodic pulsations in 20-second cadence TESS flares,10.1051/0004-6361/202554820,2506.22131,,false,RESOLVED,
BAII2H000025,BAII2E002,Q01_DIRECT_TESS_QPP,ARXIV,2512.18086v1,BAIIW0004,BAIIV0007,AUTO_EXACT_ARXIV;AUTO_EXACT_PROVIDER_RECORD,HIGH,false,,A recurrent 70-100 minute quasi-periodic pulsation in the intermediate-aged mid-M dwarf GJ 3512,,2512.18086,,false,RESOLVED,
BAII2H000026,BAII2E002,Q01_DIRECT_TESS_QPP,ARXIV,2602.03499v1,BAIIW0008,BAIIV0014,AUTO_EXACT_ARXIV;AUTO_EXACT_PROVIDER_RECORD,HIGH,false,,Similarities and differences between solar and stellar flare pulsation processes,,2602.03499,,true,RESOLVED,
BAII2H000027,BAII2E002,Q01_DIRECT_TESS_QPP,ARXIV,2403.17065v1,BAIIW0002,BAIIV0003,AUTO_EXACT_ARXIV;AUTO_EXACT_PROVIDER_RECORD;MANUAL_CONFIRMED_SAME_WORK,HIGH_AFTER_MANUAL_ADJUDICATION,true,MANUAL_CONFIRMED_SAME_WORK,Detailed cool star flare morphology with CHEOPS and TESS,,2403.17065,,false,RESOLVED,
BAII2H000028,BAII2E002,Q01_DIRECT_TESS_QPP,ARXIV,2407.08653v1,BAIIW0011,BAIIV0018,AUTO_EXACT_ARXIV;AUTO_EXACT_PROVIDER_RECORD,HIGH,false,,An infrared census of R Coronae Borealis Stars II -- Spectroscopic classifications and implications for the rate of low-mass white dwarf mergers,,2407.08653,,false,RESOLVED,
BAII2H000029,BAII2E003,Q02_TESS_STELLAR_FLARE_PERIODICITY,ADS_SCIX,2025A&A...700A.178J,BAIIW0001,BAIIV0002,AUTO_EXACT_ARXIV;AUTO_EXACT_DOI;AUTO_EXACT_PROVIDER_RECORD,HIGH,false,,Stationary quasi-periodic pulsations in 20-second cadence TESS flares,10.1051/0004-6361/202554820,2506.22131,2025A&A...700A.178J,true,RESOLVED,
BAII2H000030,BAII2E003,Q02_TESS_STELLAR_FLARE_PERIODICITY,ADS_SCIX,2024A&A...686A.239B,BAIIW0002,BAIIV0004,AUTO_EXACT_ARXIV;AUTO_EXACT_PROVIDER_RECORD;MANUAL_CONFIRMED_SAME_WORK,HIGH_AFTER_MANUAL_ADJUDICATION,true,MANUAL_CONFIRMED_SAME_WORK,Detailed cool star flare morphology with CHEOPS and TESS***,10.1051/0004-6361/202348951,2403.17065,2024A&A...686A.239B,true,RESOLVED,
BAII2H000031,BAII2E003,Q02_TESS_STELLAR_FLARE_PERIODICITY,ADS_SCIX,2024AJ....168..234L,BAIIW0023,BAIIV0036,AUTO_EXACT_ARXIV;AUTO_EXACT_PROVIDER_RECORD,HIGH,false,,"Scalable, Advanced Machine Learning Based Approaches for Stellar Flare Identification: Application to TESS Short-cadence Data and Analysis of a New Flare Catalog",10.3847/1538-3881/ad7956,2409.02540,2024AJ....168..234L,true,RESOLVED,
BAII2H000032,BAII2E003,Q02_TESS_STELLAR_FLARE_PERIODICITY,ADS_SCIX,2025ApJ...979..141E,BAIIW0024,BAIIV0038,AUTO_EXACT_ARXIV;AUTO_EXACT_DOI;AUTO_EXACT_PROVIDER_RECORD,HIGH,false,,Detecting Stellar Flares in Photometric Data Using Hidden Markov Models,10.3847/1538-4357/ad95f6,2404.13145,2025ApJ...979..141E,true,RESOLVED,
BAII2H000033,BAII2E003,Q02_TESS_STELLAR_FLARE_PERIODICITY,ADS_SCIX,2026ApJ...998..173C,BAIIW0025,BAIIV0040,AUTO_EXACT_ARXIV;AUTO_EXACT_DOI;AUTO_EXACT_PROVIDER_RECORD,HIGH,false,,Stellar Flares in the TESS Light Curves of Planet-hosting M Dwarfs,10.3847/1538-4357/ae1ddf,2511.13716,2026ApJ...998..173C,true,RESOLVED,
BAII2H000034,BAII2E003,Q02_TESS_STELLAR_FLARE_PERIODICITY,ADS_SCIX,2025ApJS..281...52W,BAIIW0003,BAIIV0006,AUTO_EXACT_PROVIDER_RECORD,HIGH,false,,Properties of Flare Quasiperiodic Pulsations Based on a New TESS Flare Catalog,10.3847/1538-4365/ae1469,,2025ApJS..281...52W,true,RESOLVED,
BAII2H000035,BAII2E003,Q02_TESS_STELLAR_FLARE_PERIODICITY,ADS_SCIX,2025ApJ...990L..32L,BAIIW0026,BAIIV0041,AUTO_EXACT_PROVIDER_RECORD,HIGH,false,,Simultaneous Optical and Radio Observations of a Large Stellar Flare on EV Lac,10.3847/2041-8213/adfc5b,,2025ApJ...990L..32L,true,RESOLVED,
BAII2H000036,BAII2E003,Q02_TESS_STELLAR_FLARE_PERIODICITY,ADS_SCIX,2026ApJS..283...83Y,BAIIW0027,BAIIV0043,AUTO_EXACT_PROVIDER_RECORD,HIGH,false,,"The Solar-like Latitudinal Distribution of Flaring Activities Revealed by TESS, APOGEE, and GALAH",10.3847/1538-4365/ae50ec,2603.02524,2026ApJS..283...83Y,true,RESOLVED,
BAII2H000037,BAII2E003,Q02_TESS_STELLAR_FLARE_PERIODICITY,ADS_SCIX,2025A&A...699A.322X,BAIIW0028,BAIIV0044,AUTO_EXACT_PROVIDER_RECORD,HIGH,true,MANUAL_CONFIRMED_DISTINCT_WORKS,Magnetic activity of RS CVn stars based on TESS and LAMOST surveys,10.1051/0004-6361/202451962,,2025A&A...699A.322X,true,RESOLVED,
BAII2H000038,BAII2E003,Q02_TESS_STELLAR_FLARE_PERIODICITY,ADS_SCIX,2025ApJ...988..257R,BAIIW0029,BAIIV0045,AUTO_EXACT_PROVIDER_RECORD,HIGH,false,,Magnetic Activities of Wolf 359: Starspot Distribution and Quasiperiodic Pulsation Using TESS Data,10.3847/1538-4357/ade9a7,,2025ApJ...988..257R,true,RESOLVED,
BAII2H000039,BAII2E003,Q02_TESS_STELLAR_FLARE_PERIODICITY,ADS_SCIX,2024AJ....167...38B,BAIIW0030,BAIIV0047,AUTO_EXACT_PROVIDER_RECORD,HIGH,false,,Transient Corotating Clumps around Adolescent Low-mass Stars from Four Years of TESS,10.3847/1538-3881/ad0c4c,2309.06471,2024AJ....167...38B,true,RESOLVED,
BAII2H000040,BAII2E003,Q02_TESS_STELLAR_FLARE_PERIODICITY,ADS_SCIX,2026MNRAS.546f2256L,BAIIW0004,BAIIV0008,AUTO_EXACT_ARXIV;AUTO_EXACT_PROVIDER_RECORD,HIGH,false,,A recurrent 70─100 min quasi-periodic pulsation in the intermediate-aged mid-M dwarf GJ 3512,10.1093/mnras/staf2256,2512.18086,2026MNRAS.546f2256L,true,RESOLVED,
BAII2H000041,BAII2E003,Q02_TESS_STELLAR_FLARE_PERIODICITY,ADS_SCIX,2025JHEAp..45..105M,BAIIW0031,BAIIV0049,AUTO_EXACT_ARXIV;AUTO_EXACT_DOI;AUTO_EXACT_PROVIDER_RECORD,HIGH,false,,Superflare on a rapidly-rotating solar-type star captured in X-rays,10.1016/j.jheap.2024.11.016,2408.07442,2025JHEAp..45..105M,true,RESOLVED,
BAII2H000042,BAII2E003,Q02_TESS_STELLAR_FLARE_PERIODICITY,ADS_SCIX,2025A&A...699A.337P,BAIIW0032,BAIIV0051,AUTO_EXACT_ARXIV;AUTO_EXACT_DOI;AUTO_EXACT_PROVIDER_RECORD,HIGH,false,,Radio emission from flaring stars and brown dwarfs,10.1051/0004-6361/202555032,2506.21169,2025A&A...699A.337P,true,RESOLVED,
BAII2H000043,BAII2E003,Q02_TESS_STELLAR_FLARE_PERIODICITY,ADS_SCIX,2024MNRAS.527.8290P,BAIIW0033,BAIIV0053,AUTO_EXACT_PROVIDER_RECORD,HIGH,false,,Exploring the photometric variability of ultra-cool dwarfs with TESS,10.1093/mnras/stad3720,2311.13591,2024MNRAS.527.8290P,true,RESOLVED,
BAII2H000044,BAII2E003,Q02_TESS_STELLAR_FLARE_PERIODICITY,ADS_SCIX,2026arXiv260203499R,BAIIW0008,BAIIV0014,AUTO_EXACT_ARXIV;AUTO_EXACT_PROVIDER_RECORD,HIGH,false,,Similarities and differences between solar and stellar flare pulsation processes,,2602.03499,2026arXiv260203499R,true,RESOLVED,
BAII2H000045,BAII2E003,Q02_TESS_STELLAR_FLARE_PERIODICITY,ADS_SCIX,2024A&A...689A.288R,BAIIW0034,BAIIV0055,AUTO_EXACT_PROVIDER_RECORD,HIGH,false,,Searching for the stellar cycles of low-mass stars using TESS data,10.1051/0004-6361/202450523,2407.07607,2024A&A...689A.288R,true,RESOLVED,
BAII2H000046,BAII2E003,Q02_TESS_STELLAR_FLARE_PERIODICITY,ADS_SCIX,2024MNRAS.527.3395I,BAIIW0035,BAIIV0057,AUTO_EXACT_PROVIDER_RECORD,HIGH,false,,Planetary perturbers: flaring star-planet interactions in Kepler and TESS,10.1093/mnras/stad3398,2311.04316,2024MNRAS.527.3395I,true,RESOLVED,
BAII2H000047,BAII2E003,Q02_TESS_STELLAR_FLARE_PERIODICITY,ADS_SCIX,2025ApJ...980..196R,BAIIW0036,BAIIV0058,AUTO_EXACT_PROVIDER_RECORD,HIGH,false,,Magnetic Activities of AD Leonis: Flares in TESS Data and Optical Spectra,10.3847/1538-4357/adabc3,,2025ApJ...980..196R,true,RESOLVED,
BAII2H000048,BAII2E003,Q02_TESS_STELLAR_FLARE_PERIODICITY,ADS_SCIX,2024maeu.conf..496P,BAIIW0006,BAIIV0011,AUTO_EXACT_PROVIDER_RECORD,HIGH,true,MANUAL_CONFIRMED_DISTINCT_WORKS,Quasi-periodic pulsations in flares of UV Ceti-type stars,10.26119/vak2024.079,,2024maeu.conf..496P,true,RESOLVED,
BAII2H000049,BAII2E003,Q02_TESS_STELLAR_FLARE_PERIODICITY,ADS_SCIX,2026MNRAS.546ag235W,BAIIW0037,BAIIV0060,AUTO_EXACT_PROVIDER_RECORD,HIGH,false,,Detecting stellar flares in the presence of a deterministic trend and stochastic volatility,10.1093/mnras/stag235,2512.18559,2026MNRAS.546ag235W,true,RESOLVED,
BAII2H000050,BAII2E003,Q02_TESS_STELLAR_FLARE_PERIODICITY,ADS_SCIX,2025A&A...703A.122R,BAIIW0038,BAIIV0062,AUTO_EXACT_PROVIDER_RECORD,HIGH,false,,HiPERCAM and TESS observations of the rapidly rotating M7V star LP 89─187,10.1051/0004-6361/202554275,2509.15941,2025A&A...703A.122R,true,RESOLVED,
BAII2H000051,BAII2E003,Q02_TESS_STELLAR_FLARE_PERIODICITY,ADS_SCIX,2024ApJ...960...20Z,BAIIW0039,BAIIV0063,AUTO_EXACT_PROVIDER_RECORD,HIGH,false,,"Properties of PSR J1023+0038 Based on Kepler, TESS, and FAST",10.3847/1538-4357/ad0841,,2024ApJ...960...20Z,true,RESOLVED,
BAII2H000052,BAII2E003,Q02_TESS_STELLAR_FLARE_PERIODICITY,ADS_SCIX,2025ARep...69..983S,BAIIW0040,BAIIV0064,AUTO_EXACT_PROVIDER_RECORD,HIGH,true,MANUAL_CONFIRMED_DISTINCT_WORKS,Activity Cycles of Solar-Type Stars with Superflares,10.1134/s106377292570221x,,2025ARep...69..983S,true,RESOLVED,
BAII2H000053,BAII2E003,Q02_TESS_STELLAR_FLARE_PERIODICITY,ADS_SCIX,2024AJ....168...60F,BAIIW0041,BAIIV0066,AUTO_EXACT_ARXIV;AUTO_EXACT_PROVIDER_RECORD,HIGH,false,,Evolution of Flare Activity in GKM Stars Younger Than 300 Myr over Five Years of TESS Observations,10.3847/1538-3881/ad4edf,2405.00850,2024AJ....168...60F,true,RESOLVED,
BAII2H000054,BAII2E003,Q02_TESS_STELLAR_FLARE_PERIODICITY,ADS_SCIX,2025AAS...24540323N,BAIIW0042,BAIIV0067,AUTO_EXACT_PROVIDER_RECORD,HIGH,false,,Searching for Pulsation Signals in Low Mass Stars with TESS through Light Curve Analysis,,,2025AAS...24540323N,true,RESOLVED,
BAII2H000055,BAII2E003,Q02_TESS_STELLAR_FLARE_PERIODICITY,ADS_SCIX,2024eas..conf.2172B,BAIIW0002,BAIIV0005,AUTO_EXACT_PROVIDER_RECORD;MANUAL_CONFIRMED_SAME_WORK,HIGH_AFTER_MANUAL_ADJUDICATION,true,MANUAL_CONFIRMED_SAME_WORK,How well do we know the impact of stellar flares on exoplanets?,,,2024eas..conf.2172B,false,RESOLVED,
BAII2H000056,BAII2E003,Q02_TESS_STELLAR_FLARE_PERIODICITY,ADS_SCIX,2026ApJS..284...54X,BAIIW0043,BAIIV0068,AUTO_EXACT_PROVIDER_RECORD,HIGH,true,MANUAL_CONFIRMED_DISTINCT_WORKS,Magnetic Activity in X-Ray Stars from eROSITA: Insights from the TESS and LAMOST Surveys,10.3847/1538-4365/ae5d2d,,2026ApJS..284...54X,true,RESOLVED,
BAII2H000057,BAII2E003,Q02_TESS_STELLAR_FLARE_PERIODICITY,ADS_SCIX,2026ApJ..1001...24M,BAIIW0044,BAIIV0069,AUTO_EXACT_PROVIDER_RECORD,HIGH,false,,Flaring Behavior in the M Dwarf PM J11183+1347 from TESS Observations,10.3847/1538-4357/ae4c4a,,2026ApJ..1001...24M,true,RESOLVED,
BAII2H000058,BAII2E003,Q02_TESS_STELLAR_FLARE_PERIODICITY,ADS_SCIX,2025PASJ...77...74S,BAIIW0045,BAIIV0070,AUTO_EXACT_PROVIDER_RECORD,HIGH,false,,Flare from the secondary star of an extreme period binary,10.1093/pasj/psae100,,2025PASJ...77...74S,true,RESOLVED,
BAII2H000059,BAII2E003,Q02_TESS_STELLAR_FLARE_PERIODICITY,ADS_SCIX,2025ApJ...982...98G,BAIIW0046,BAIIV0072,AUTO_EXACT_PROVIDER_RECORD,HIGH,false,,Short-term Balmer Line Emission Variability in M Dwarfs,10.3847/1538-4357/adb615,2502.02568,2025ApJ...982...98G,true,RESOLVED,
BAII2H000060,BAII2E003,Q02_TESS_STELLAR_FLARE_PERIODICITY,ADS_SCIX,2025A&A...695A.182M,BAIIW0047,BAIIV0074,AUTO_EXACT_PROVIDER_RECORD,HIGH,false,,Ca II and Hα flaring M dwarfs detected with multi-filter photometry,10.1051/0004-6361/202452387,2503.22525,2025A&A...695A.182M,true,RESOLVED,
BAII2H000061,BAII2E003,Q02_TESS_STELLAR_FLARE_PERIODICITY,ADS_SCIX,2025A&A...698A...7F,BAIIW0048,BAIIV0076,AUTO_EXACT_PROVIDER_RECORD,HIGH,false,,LAMOST medium-resolution observations of the Pleiades,10.1051/0004-6361/202553673,2504.09031,2025A&A...698A...7F,true,RESOLVED,
BAII2H000062,BAII2E003,Q02_TESS_STELLAR_FLARE_PERIODICITY,ADS_SCIX,2024A&A...691A.208F,BAIIW0049,BAIIV0077,AUTO_EXACT_PROVIDER_RECORD,HIGH,false,,Coronal and chromospheric activity of Teegarden's star,10.1051/0004-6361/202451697,2504.02338,2024A&A...691A.208F,true,RESOLVED,
BAII2H000063,BAII2E003,Q02_TESS_STELLAR_FLARE_PERIODICITY,ADS_SCIX,2025A&A...704A.154R,BAIIW0050,BAIIV0080,AUTO_EXACT_PROVIDER_RECORD,HIGH,false,,Exploring stellar activity in a sample of active M dwarfs,10.1051/0004-6361/202554816,2510.02693,2025A&A...704A.154R,true,RESOLVED,
BAII2H000064,BAII2E003,Q02_TESS_STELLAR_FLARE_PERIODICITY,ADS_SCIX,2025AJ....170..249D,BAIIW0051,BAIIV0082,AUTO_EXACT_PROVIDER_RECORD,HIGH,false,,FUMES. IV. Optical and Far-ultraviolet Spectra of a Flare on the M Dwarf GJ 4334,10.3847/1538-3881/adff74,2508.18459,2025AJ....170..249D,true,RESOLVED,
BAII2H000065,BAII2E003,Q02_TESS_STELLAR_FLARE_PERIODICITY,ADS_SCIX,2026MNRAS.548ag681D,BAIIW0052,BAIIV0084,AUTO_EXACT_PROVIDER_RECORD,HIGH,false,,The puzzling story of flare inactive ultra-fast-rotating M dwarfs ─ III. Investigating X-ray activity,10.1093/mnras/stag681,2604.07976,2026MNRAS.548ag681D,true,RESOLVED,
BAII2H000066,BAII2E003,Q02_TESS_STELLAR_FLARE_PERIODICITY,ADS_SCIX,2026arXiv260711824H,BAIIW0053,BAIIV0085,AUTO_EXACT_ARXIV;AUTO_EXACT_PROVIDER_RECORD,HIGH,false,,Time-Resolved Connection between Starspots and Flares in Nearby Young Solar-type Stars Observed by TESS,,2607.11824,2026arXiv260711824H,true,RESOLVED,
BAII2H000067,BAII2E003,Q02_TESS_STELLAR_FLARE_PERIODICITY,ADS_SCIX,2026ApJ..1001...18I,BAIIW0054,BAIIV0087,AUTO_EXACT_ARXIV;AUTO_EXACT_PROVIDER_RECORD,HIGH,false,,"Multiwavelength Campaign Observations of a Young Solar-type Star, EK Draconis. III. Comparison between Starspot Mapping, Zeeman Doppler Imaging, and Multiwavelength Variability",10.3847/1538-4357/ae47eb,2602.15979,2026ApJ..1001...18I,true,RESOLVED,
BAII2H000068,BAII2E003,Q02_TESS_STELLAR_FLARE_PERIODICITY,ADS_SCIX,2024yCat..36860164W,BAIIW0055,BAIIV0088,AUTO_EXACT_PROVIDER_RECORD,HIGH,false,,"VizieR Online Data Catalog: Magnetic activity of radio stars (Wang+, 2024)",,,2024yCat..36860164W,true,RESOLVED,
BAII2H000069,BAII2E003,Q02_TESS_STELLAR_FLARE_PERIODICITY,ADS_SCIX,2025ARep...69..329S,BAIIW0056,BAIIV0089,AUTO_EXACT_PROVIDER_RECORD,HIGH,true,MANUAL_CONFIRMED_DISTINCT_WORKS,Spottedness and Flare Activity of Solar-Type Stars with Exoplanets,10.1134/s1063772925701768,,2025ARep...69..329S,true,RESOLVED,
BAII2H000070,BAII2E003,Q02_TESS_STELLAR_FLARE_PERIODICITY,ADS_SCIX,2025AAS...24535218M,BAIIW0057,BAIIV0090,AUTO_EXACT_PROVIDER_RECORD,HIGH,false,,Linking Stellar Activity with Rotation Rates Through Gyrochronology,,,2025AAS...24535218M,true,RESOLVED,
BAII2H000071,BAII2E003,Q02_TESS_STELLAR_FLARE_PERIODICITY,ADS_SCIX,2025AAS...24540321L,BAIIW0058,BAIIV0091,AUTO_EXACT_PROVIDER_RECORD,HIGH,false,,Oscillations and Magnetic Activity of Solar-Type Stars,,,2025AAS...24540321L,true,RESOLVED,
BAII2H000072,BAII2E003,Q02_TESS_STELLAR_FLARE_PERIODICITY,ADS_SCIX,2024AAS...24325928T,BAIIW0059,BAIIV0092,AUTO_EXACT_PROVIDER_RECORD,HIGH,false,,ESPEX: the Early Star and Planet Evolution Explorer mission concept,,,2024AAS...24325928T,true,RESOLVED,
